point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	22	P		
1	2			13	PU
1	3			00	
1	4			1	
1	5			77	
1	6			21	
1	7			00	
1	8			13	
1	9			7	
1	10			1	
1	11			00	
1	12			1	
1	13			21	
1	14	3	F		
1	15			00	
1	16			21	
1	17			77	G
2	1	43	P		
2	2			19	PU
2	3			6	
2	4	27	D		
2	5	27			
2	6	10			
2	7	00			
2	8	12	TD		
2	9			10	PU
2	10			19	
2	11			41	
2	12			19	
2	13			44	
2	14			41	
2	15			4	
2	16			14	
2	17			44	TD
2	18	43	PU		
2	19			44	HB
2	20			19	PU
2	21			44	G
3	1	13	OBP		
3	2			00	PU
3	3			21	
3	4			77	
3	5	13	D		
3	6	5	PU		
3	7	82			
3	8			77	D
3	9			77	
3	10			1	
3	11			3	
3	12			13	
3	13			21	
3	14			1	G
4	1	18	P		
4	2			18	PU
4	3			6	
4	4	14	PU		
4	5	18			
4	6	8			
4	7			6	PU
4	8			4	
4	9			26	
4	10			6	
4	11	14	F		
4	12	14	PU		
4	13	11			
4	14	18			
4	15	5	LG		
5	1	43	P		
5	2			26	PU
5	3			4	
5	4			6	TD
5	5	10	PU		
5	6	12			
5	7	27			
5	8	43			
5	9	64	L		
5	10	12			
5	11	10	G		
6	1	18	OBP		
6	2			47	PU
6	3			4	
6	4			38	
6	5	18	D		
6	6	14	PU		
6	7	8			
6	8			38	F
6	9	11			
6	10			21	D
6	11			38	PU
6	12	37	D		
6	13	8	PU		
6	14	5	G		
7	1	27	P		
7	2			41	PU
7	3			2	
7	4			4	
7	5			19	
7	6			6	
7	7			2	
7	8			4	G
8	1	13	P		
8	2			00	PU
8	3			13	
8	4			21	LG
9	1	11	P		
9	2			41	PU
9	3			18	
9	4	11	D		
9	5	14	PU		
9	6	35			
9	7	8			
9	8			19	D
9	9			4	PU
9	10			18	
9	11			1	
9	12			2	
9	13			26	
9	14			19	
9	15			18	G
10	1	81	P		
10	2			7	PU
10	3			00	
10	4	41	D		
11	1	43	P		
11	2			4	PU
11	3			2	
11	4			14	
11	5			2	
11	6			44	
11	7			14	
11	8			4	
11	9			6	
11	10			4	
11	11			41	G
12	1	22	P		
12	2			00	PU
12	3			7	
12	4			17	
12	5			9	LG
12	6	22	F		
13	1	18	P		
13	2			4	PU
13	3			19	
13	4			44	
13	5			6	
13	6	14	F		
13	7			14	
13	8			1	
13	9			4	
13	10			14	
13	11			19	
13	12			6	
13	13	14	TO		
13	14	13	PU		
13	15	00			
13	16	1			
13	17	21			
13	18	35	LG		
14	1	18	P		
14	2			26	PU
14	3			6	
14	4			18	
14	5	64	D		
14	6	10	PU		
14	7	12			
14	8	64			
14	9	29			
14	10	12	G		
15	1	18	P		
15	2			6	PU
15	3			14	
15	4			21	L
15	5			4	G
16	1	22	P		
16	2			13	PU
16	3			7	
16	4			77	TD
16	5	14	PU		
16	6	5			
16	7	82	TO		
16	8	6			
16	9	4			
16	10	2			
16	11	19			
16	12	14			
16	13			10	PU
16	14			43	
16	15	19	PU		
16	16	41			
16	17	19			
16	18	6			
16	19			10	PU
16	20			12	
16	21			10	
16	22			64	
16	23			29	TD
16	24	4	PU		
16	25	41	G		
17	1	81	P		
17	2			13	PU
17	3	22	D		
17	4	18	PU		
17	5	27			
17	6	18			
17	7	22			
17	8	81			
17	9	3			
17	10	22			
17	11	3	G		
18	1	22	P		
18	2			00	PU
18	3			13	
18	4	13	D		
18	5	15	PU		
18	6	22			
18	7	13			
18	8			7	D
18	9			7	PU
18	10	8	PU		
18	11	8			
18	12	15			
18	13	8			
18	14	15	TO		
18	15	6	PU		
18	16	44			
18	17			18	D
18	18			18	
18	19			11	
18	20			8	
18	21			18	
18	22			11	
18	23			18	
18	24			25	
18	25			8	
18	26			25	TO
18	27			7	PU
18	28			13	
18	29			00	
18	30			35	G
19	1	43	P		
19	2			4	PU
19	3			19	
19	4			41	
19	5	64	D		
19	6	4	PU		
20	1	22	P		
20	2			00	PU
20	3			13	
20	4			1	L
20	5			17	
20	6			1	
20	7			21	
20	8			00	
20	9			13	
20	10			77	G
21	1	43	P		
21	2			6	PU
21	3			19	
21	4			4	
21	5			2	
21	6			19	
21	7			41	
21	8			2	
21	9			19	
21	10			14	
21	11			19	
21	12	12	PU		
21	13	10			
21	14	12			
21	15	43			
21	16	29			
21	17	12			
21	18	27			
21	19			41	D
21	20			6	PU
21	21			4	
21	22			6	
21	23			14	
21	24			19	
21	25			44	
21	26			4	G
22	1	38	P		
22	2			00	PU
22	3			7	
22	4			21	
22	5			9	
22	6			17	
22	7			1	
22	8			00	
22	9			13	
22	10			1	
22	11			17	
22	12			21	G
23	1	18	P		
23	2			4	PU
23	3			19	
23	4			6	
23	5			14	TD
23	6	14	PU		
23	7	11			
23	8	18			
23	9			18	PU
23	10			4	
23	11			6	
23	12	14	PU		
23	13	88			
23	14	5			
23	15	18			
23	16	11	LG		
24	1	43	P		
24	2			26	PU
24	3			19	
24	4			4	
24	5			41	LG
25	1	22	P		
25	2			13	PU
25	3			7	
25	4			13	
25	5			1	
25	6			77	
25	7			13	
25	8			3	G
26	1	11	P		
26	2			26	PU
26	3			19	
26	4			2	
26	5			41	
26	6			26	
26	7			14	G
27	1	6	P		
27	2			00	PU
27	3			13	
27	4			9	
27	5			7	
27	6			1	
27	7			13	
27	8			00	
27	9			21	
27	10			17	
