period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	nykRM	1	1	1	bosWC	nykRM	22	P
1	1	nykRM	2	1	1	bosWC	bosWC	13	PU
1	1	nykRM	3	1	1	bosWC	bosWC	00	
1	1	nykRM	4	1	1	bosWC	bosWC	1	
1	1	nykRM	5	1	1	bosWC	bosWC	77	
1	1	nykRM	6	1	1	bosWC	bosWC	21	
1	1	nykRM	7	1	1	bosWC	bosWC	00	
1	1	nykRM	8	1	1	bosWC	bosWC	13	
1	1	nykRM	9	1	1	bosWC	bosWC	7	
1	1	nykRM	10	1	1	bosWC	bosWC	1	
1	1	nykRM	11	1	1	bosWC	bosWC	00	
1	1	nykRM	12	1	1	bosWC	bosWC	1	
1	1	nykRM	13	1	1	bosWC	bosWC	21	
1	1	nykRM	14	1	1	bosWC	nykRM	3	F
1	1	nykRM	15	1	1	bosWC	bosWC	00	
1	1	nykRM	16	1	1	bosWC	bosWC	21	A
1	1	nykRM	17	1	1	bosWC	bosWC	77	G
1	2	bosWC	1	2	1	nykRM	bosWC	43	P
1	2	bosWC	2	2	1	nykRM	nykRM	19	PU
1	2	bosWC	3	2	1	nykRM	nykRM	6	
1	2	bosWC	4	2	1	nykRM	bosWC	27	D
1	2	bosWC	5	3	2	bosWC	bosWC	27	
1	2	bosWC	6	3	2	bosWC	bosWC	10	
1	2	bosWC	7	3	2	bosWC	bosWC	00	
1	2	bosWC	8	3	2	bosWC	bosWC	12	TD
1	2	bosWC	9	4	3	nykRM	nykRM	10	PU
1	2	bosWC	10	4	3	nykRM	nykRM	19	
1	2	bosWC	11	4	3	nykRM	nykRM	41	
1	2	bosWC	12	4	3	nykRM	nykRM	19	
1	2	bosWC	13	4	3	nykRM	nykRM	44	
1	2	bosWC	14	4	3	nykRM	nykRM	41	
1	2	bosWC	15	4	3	nykRM	nykRM	4	
1	2	bosWC	16	4	3	nykRM	nykRM	14	
1	2	bosWC	17	4	3	nykRM	nykRM	44	TD
1	2	bosWC	18	5	4	bosWC	bosWC	43	PU
1	2	bosWC	19	5	4	bosWC	nykRM	44	HB
1	2	bosWC	20	6	5	nykRM	nykRM	19	PUA
1	2	bosWC	21	6	5	nykRM	nykRM	44	G
1	3	nykRM	1	7	1	bosWC	nykRM	13	OBP
1	3	nykRM	2	7	1	bosWC	bosWC	00	PU
1	3	nykRM	3	7	1	bosWC	bosWC	21	
1	3	nykRM	4	7	1	bosWC	bosWC	77	
1	3	nykRM	5	7	1	bosWC	nykRM	13	D
1	3	nykRM	6	8	2	nykRM	nykRM	5	PU
1	3	nykRM	7	8	2	nykRM	nykRM	82	
1	3	nykRM	8	8	2	nykRM	bosWC	77	D
1	3	nykRM	9	9	3	bosWC	bosWC	77	
1	3	nykRM	10	9	3	bosWC	bosWC	1	
1	3	nykRM	11	9	3	bosWC	bosWC	3	
1	3	nykRM	12	9	3	bosWC	bosWC	13	
1	3	nykRM	13	9	3	bosWC	bosWC	21	A
1	3	nykRM	14	9	3	bosWC	bosWC	1	G
1	4	bosWC	1	10	1	nykRM	bosWC	18	P
1	4	bosWC	2	10	1	nykRM	nykRM	18	PU
1	4	bosWC	3	10	1	nykRM	nykRM	6	
1	4	bosWC	4	11	2	bosWC	bosWC	14	PU
1	4	bosWC	5	11	2	bosWC	bosWC	18	
1	4	bosWC	6	11	2	bosWC	bosWC	8	
1	4	bosWC	7	12	3	nykRM	nykRM	6	PU
1	4	bosWC	8	12	3	nykRM	nykRM	4	
1	4	bosWC	9	12	3	nykRM	nykRM	26	
1	4	bosWC	10	12	3	nykRM	nykRM	6	
1	4	bosWC	11	12	3	nykRM	bosWC	14	F
1	4	bosWC	12	13	4	bosWC	bosWC	14	PU
1	4	bosWC	13	13	4	bosWC	bosWC	11	
1	4	bosWC	14	13	4	bosWC	bosWC	18	A
1	4	bosWC	15	13	4	bosWC	bosWC	5	LG
1	5	bosWC	1	14	1	nykRM	bosWC	43	P
1	5	bosWC	2	14	1	nykRM	nykRM	26	PU
1	5	bosWC	3	14	1	nykRM	nykRM	4	
1	5	bosWC	4	14	1	nykRM	nykRM	6	TD
1	5	bosWC	5	15	2	bosWC	bosWC	10	PU
1	5	bosWC	6	15	2	bosWC	bosWC	12	
1	5	bosWC	7	15	2	bosWC	bosWC	27	
1	5	bosWC	8	15	2	bosWC	bosWC	43	
1	5	bosWC	9	15	2	bosWC	bosWC	64	L
1	5	bosWC	10	15	2	bosWC	bosWC	12	A
1	5	bosWC	11	15	2	bosWC	bosWC	10	G
1	6	bosWC	1	16	1	nykRM	bosWC	18	OBP
1	6	bosWC	2	16	1	nykRM	nykRM	47	PU
1	6	bosWC	3	16	1	nykRM	nykRM	4	
1	6	bosWC	4	16	1	nykRM	nykRM	38	
1	6	bosWC	5	16	1	nykRM	bosWC	18	D
1	6	bosWC	6	17	2	bosWC	bosWC	14	PU
1	6	bosWC	7	17	2	bosWC	bosWC	8	
1	6	bosWC	8	17	2	bosWC	nykRM	38	F
1	6	bosWC	9	17	2	bosWC	bosWC	11	
1	6	bosWC	10	17	2	bosWC	nykRM	21	D
1	6	bosWC	11	18	3	nykRM	nykRM	38	PU
1	6	bosWC	12	18	3	nykRM	bosWC	37	D
1	6	bosWC	13	19	4	bosWC	bosWC	8	PUA
1	6	bosWC	14	19	4	bosWC	bosWC	5	G
1	7	bosWC	1	20	1	nykRM	bosWC	27	P
1	7	bosWC	2	20	1	nykRM	nykRM	41	PU
1	7	bosWC	3	20	1	nykRM	nykRM	2	
1	7	bosWC	4	20	1	nykRM	nykRM	4	
1	7	bosWC	5	20	1	nykRM	nykRM	19	
1	7	bosWC	6	20	1	nykRM	nykRM	6	
1	7	bosWC	7	20	1	nykRM	nykRM	2	A
1	7	bosWC	8	20	1	nykRM	nykRM	4	G
1	8	nykRM	1	21	1	bosWC	nykRM	13	P
1	8	nykRM	2	21	1	bosWC	bosWC	00	PU
1	8	nykRM	3	21	1	bosWC	bosWC	13	A
1	8	nykRM	4	21	1	bosWC	bosWC	21	LG
1	9	bosWC	1	22	1	nykRM	bosWC	11	P
1	9	bosWC	2	22	1	nykRM	nykRM	41	PU
1	9	bosWC	3	22	1	nykRM	nykRM	18	
1	9	bosWC	4	22	1	nykRM	bosWC	11	D
1	9	bosWC	5	23	2	bosWC	bosWC	14	PU
1	9	bosWC	6	23	2	bosWC	bosWC	35	
1	9	bosWC	7	23	2	bosWC	bosWC	8	
1	9	bosWC	8	23	2	bosWC	nykRM	19	D
1	9	bosWC	9	24	3	nykRM	nykRM	4	PU
1	9	bosWC	10	24	3	nykRM	nykRM	18	
1	9	bosWC	11	24	3	nykRM	nykRM	1	
1	9	bosWC	12	24	3	nykRM	nykRM	2	
1	9	bosWC	13	24	3	nykRM	nykRM	26	
1	9	bosWC	14	24	3	nykRM	nykRM	19	A
1	9	bosWC	15	24	3	nykRM	nykRM	18	G
1	10	nykRM	1	25	1	bosWC	nykRM	81	P
1	10	nykRM	2	25	1	bosWC	bosWC	7	PU
1	10	nykRM	3	25	1	bosWC	bosWC	00	
1	10	nykRM	4	25	1	bosWC	nykRM	41	D
2	11	bosWC	1	26	1	nykRM	bosWC	43	P
2	11	bosWC	2	26	1	nykRM	nykRM	4	PU
2	11	bosWC	3	26	1	nykRM	nykRM	2	
2	11	bosWC	4	26	1	nykRM	nykRM	14	
2	11	bosWC	5	26	1	nykRM	nykRM	2	
2	11	bosWC	6	26	1	nykRM	nykRM	44	
2	11	bosWC	7	26	1	nykRM	nykRM	14	
2	11	bosWC	8	26	1	nykRM	nykRM	4	
2	11	bosWC	9	26	1	nykRM	nykRM	6	
2	11	bosWC	10	26	1	nykRM	nykRM	4	A
2	11	bosWC	11	26	1	nykRM	nykRM	41	G
2	12	nykRM	1	27	1	bosWC	nykRM	22	P
2	12	nykRM	2	27	1	bosWC	bosWC	00	PU
2	12	nykRM	3	27	1	bosWC	bosWC	7	
2	12	nykRM	4	27	1	bosWC	bosWC	17	A
2	12	nykRM	5	27	1	bosWC	bosWC	9	LG
2	12	nykRM	6	27	1	bosWC	nykRM	22	F
2	13	bosWC	1	28	1	nykRM	bosWC	18	P
2	13	bosWC	2	28	1	nykRM	nykRM	4	PU
2	13	bosWC	3	28	1	nykRM	nykRM	19	
2	13	bosWC	4	28	1	nykRM	nykRM	44	
2	13	bosWC	5	28	1	nykRM	nykRM	6	
2	13	bosWC	6	28	1	nykRM	bosWC	14	F
2	13	bosWC	7	28	1	nykRM	nykRM	14	
2	13	bosWC	8	28	1	nykRM	nykRM	1	
2	13	bosWC	9	28	1	nykRM	nykRM	4	
2	13	bosWC	10	28	1	nykRM	nykRM	14	
2	13	bosWC	11	28	1	nykRM	nykRM	19	
2	13	bosWC	12	28	1	nykRM	nykRM	6	
2	13	bosWC	13	29	2	bosWC	bosWC	14	TO
2	13	bosWC	14	29	2	bosWC	bosWC	13	PU
2	13	bosWC	15	29	2	bosWC	bosWC	00	
2	13	bosWC	16	29	2	bosWC	bosWC	1	
2	13	bosWC	17	29	2	bosWC	bosWC	21	A
2	13	bosWC	18	29	2	bosWC	bosWC	35	LG
2	14	bosWC	1	30	1	nykRM	bosWC	18	P
2	14	bosWC	2	30	1	nykRM	nykRM	26	PU
2	14	bosWC	3	30	1	nykRM	nykRM	6	
2	14	bosWC	4	30	1	nykRM	nykRM	18	
2	14	bosWC	5	30	1	nykRM	bosWC	64	D
2	14	bosWC	6	31	2	bosWC	bosWC	10	PU
2	14	bosWC	7	31	2	bosWC	bosWC	12	
2	14	bosWC	8	31	2	bosWC	bosWC	64	
2	14	bosWC	9	31	2	bosWC	bosWC	29	A
2	14	bosWC	10	31	2	bosWC	bosWC	12	G
2	15	bosWC	1	32	1	nykRM	bosWC	18	P
2	15	bosWC	2	32	1	nykRM	nykRM	6	PU
2	15	bosWC	3	32	1	nykRM	nykRM	14	
2	15	bosWC	4	32	1	nykRM	nykRM	21	LA
2	15	bosWC	5	32	1	nykRM	nykRM	4	G
2	16	nykRM	1	33	1	bosWC	nykRM	22	P
2	16	nykRM	2	33	1	bosWC	bosWC	13	PU
2	16	nykRM	3	33	1	bosWC	bosWC	7	
2	16	nykRM	4	33	1	bosWC	bosWC	77	TD
2	16	nykRM	5	34	2	nykRM	nykRM	14	PU
2	16	nykRM	6	34	2	nykRM	nykRM	5	
2	16	nykRM	7	34	2	nykRM	nykRM	82	TO
2	16	nykRM	8	34	2	nykRM	nykRM	6	
2	16	nykRM	9	34	2	nykRM	nykRM	4	
2	16	nykRM	10	34	2	nykRM	nykRM	2	
2	16	nykRM	11	34	2	nykRM	nykRM	19	
2	16	nykRM	12	34	2	nykRM	nykRM	14	
