point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	nykRM
1	1	10:00:00	8:50:00	nykRM	1	bosWC	hold	1	0
2	1	8:50:00	7:54:00	bosWC	5	nykRM	hold	1	1
3	1	7:54:00	6:58:00	nykRM	3	bosWC	hold	2	1
4	1	6:58:00	4:27:00	bosWC	4	bosWC	break	3	1
5	1	4:27:00	3:34:00	bosWC	2	bosWC	break	4	1
6	1	3:34:00	2:13:00	bosWC	4	bosWC	break	5	1
7	1	2:13:00	1:38:00	bosWC	1	nykRM	hold	5	2
8	1	1:38:00	1:28:00	nykRM	1	bosWC	hold	6	2
9	1	1:28:00	0:09:00	bosWC	3	nykRM	hold	6	3
10	1	0:09:00	0:00:00	nykRM	NA	NA	NA	6	3
11	2	10:00:00	9:33:00	bosWC	1	nykRM	hold	6	4
12	2	9:33:00	9:19:00	nykRM	1	bosWC	hold	7	4
13	2	9:19:00	7:19:00	bosWC	2	bosWC	break	8	4
14	2	7:19:00	6:23:00	bosWC	2	bosWC	break	9	4
15	2	6:23:00	NA	bosWC	1	nykRM	hold	9	5
16	2	6:33:00	3:54:00	nykRM	6	nykRM	break	9	6
17	2	3:54:00	3:10:00	nykRM	2	nykRM	break	9	7
18	2	3:10:00	0:18:00	nykRM	5	bosWC	hold	10	7
19	2	0:18:00	0:00:00	bosWC	NA	NA	NA	10	7
20	3	10:00:00	9:22:00	nykRM	1	bosWC	hold	11	7
21	3	9:22:00	7:32:00	bosWC	3	nykRM	hold	11	8
22	3	7:32:00	6:57:00	nykRM	1	bosWC	hold	12	8
23	3	6:57:00	5:46:00	bosWC	4	bosWC	break	13	8
24	3	5:46:00	5:33:00	bosWC	1	nykRM	hold	13	9
25	3	5:33:00	5:04:00	nykRM	1	bosWC	hold	14	9
26	3	5:04:00	4:47:00	bosWC	1	nykRM	hold	14	10
27	3	4:47:00	4:18:00	nykRM	1	bosWC	hold	15	10
28	3	4:18:00	2:23:00	bosWC	4	bosWC	break	16	10
29	3	2:23:00	1:40:00	bosWC	2	bosWC	break	17	10
30	3	1:40:00	0:16:00	bosWC	4	bosWC	break	18	10
31	3	0:16:00	0:00:00	bosWC	NA	NA	NA	18	10
32	4	10:00:00	8:57:00	bosWC	1	nykRM	hold	18	11
33	4	8:57:00	8:06:00	nykRM	1	bosWC	hold	19	11
34	4	8:06:00	7:31:00	bosWC	1	nykRM	hold	19	12
35	4	7:31:00	6:07:00	nykRM	3	bosWC	hold	20	12
36	4	6:06:00	4:30:00	bosWC	1	nykRM	hold	20	13
37	4	4:30:00	3:34:00	nykRM	1	bosWC	hold	21	13
38	4	3:34:00	0:39:00	bosWC	6	bosWC	break	22	13
39	4	0:39:00	0:16:00	bosWC	1	nykRM	hold	22	14
40	4	0:16:00	0:00:00	nykRM	NA	NA	NA	22	14
