point	event	pullNum	pullCode	recvNum	recvCode
1	1	16	OBP		
1	2			20	PU
1	3			9	
1	4			20	
1	5			48	LG
2	1	35	P		
2	2			11	PU
2	3			5	
2	4			34	
2	5			11	
2	6			23	
2	7			11	
2	8	29	PU		
2	9	9	G		
3	1	35	P		
3	2			11	PU
3	3			5	
3	4			34	
3	5			40	G
4	1	16	P		
4	2			1	PU
4	3			3	
4	4			20	
4	5			51	
4	6			3	
4	7			6	
4	8	25	PU		
4	9	9			
4	10	16			
4	11	21			
4	12	16			
4	13	9			
4	14	83			
4	15	25	TD		
4	16			3	PU
4	17			18	
4	18			6	G
5	1	35	P		
5	2			57	PU
5	3			34	
5	4			13	
5	5			40	
5	6			13	
5	7			57	
5	8	28	D		
5	9	9	PU		
5	10	35			
5	11	21			
5	12	35			
5	13	29			
5	14			34	D
5	15			23	PU
5	16			34	
5	17			5	
5	18			13	
5	19			40	
5	20			23	
5	21			40	
5	22			5	
5	23			34	
5	24			23	
5	25			34	
5	26			23	
5	27			34	G
6	1	12	P		
6	2			1	PU
6	3			3	
6	4			48	TD
6	5	12	PU		
6	6	46			
6	7	12			
6	8	85			
6	9	18			
6	10	12			
6	11	18			
6	12			3	D
6	13			9	PU
6	14			20	
6	15			3	
6	16			20	
6	17			3	
6	18			20	TD
6	19	17	PU		
6	20	12			
6	21	37			
6	22	12			
6	23	18	G		
7	1	16	P		
7	2			1	PU
7	3			20	
7	4			9	
7	5			20	
7	6			3	
7	7			9	
7	8			1	G
8	1	35	P		
8	2			11	PU
8	3			34	
8	4			11	
8	5			40	
8	6			24	
8	7			23	
8	8			13	
8	9			34	G
9	1	12	P		
9	2			3	PU
9	3			17	
9	4	46	D		
9	5	12	PU		
9	6	37			
9	7	17			
9	8	18			
9	9	46			
9	10	17			
9	11	18			
9	12			3	F
9	13	46			
9	14	17	TD		
9	15			3	PU
9	16			20	
9	17			1	
9	18			20	
9	19			3	
9	20	12	PU		
9	21			3	PU
