period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	sfoDF	1	1	1	seaRM	sfoDF	16	OBP
1	1	sfoDF	2	1	1	seaRM	seaRM	20	PU
1	1	sfoDF	3	1	1	seaRM	seaRM	9	
1	1	sfoDF	4	1	1	seaRM	seaRM	20	A
1	1	sfoDF	5	1	1	seaRM	seaRM	48	LG
1	2	seaRM	1	2	1	sfoDF	seaRM	35	P
1	2	seaRM	2	2	1	sfoDF	sfoDF	11	PU
1	2	seaRM	3	2	1	sfoDF	sfoDF	5	
1	2	seaRM	4	2	1	sfoDF	sfoDF	34	
1	2	seaRM	5	2	1	sfoDF	sfoDF	11	
1	2	seaRM	6	2	1	sfoDF	sfoDF	23	
1	2	seaRM	7	2	1	sfoDF	sfoDF	11	
1	2	seaRM	8	3	2	seaRM	seaRM	29	PUA
1	2	seaRM	9	3	2	seaRM	seaRM	9	G
1	3	seaRM	1	4	1	sfoDF	seaRM	35	P
1	3	seaRM	2	4	1	sfoDF	sfoDF	11	PU
1	3	seaRM	3	4	1	sfoDF	sfoDF	5	
1	3	seaRM	4	4	1	sfoDF	sfoDF	34	A
1	3	seaRM	5	4	1	sfoDF	sfoDF	40	G
1	4	sfoDF	1	5	1	seaRM	sfoDF	16	P
1	4	sfoDF	2	5	1	seaRM	seaRM	1	PU
1	4	sfoDF	3	5	1	seaRM	seaRM	3	
1	4	sfoDF	4	5	1	seaRM	seaRM	20	
1	4	sfoDF	5	5	1	seaRM	seaRM	51	
1	4	sfoDF	6	5	1	seaRM	seaRM	3	
1	4	sfoDF	7	5	1	seaRM	seaRM	6	
1	4	sfoDF	8	6	2	sfoDF	sfoDF	25	PU
1	4	sfoDF	9	6	2	sfoDF	sfoDF	9	
1	4	sfoDF	10	6	2	sfoDF	sfoDF	16	
1	4	sfoDF	11	6	2	sfoDF	sfoDF	21	
1	4	sfoDF	12	6	2	sfoDF	sfoDF	16	
1	4	sfoDF	13	6	2	sfoDF	sfoDF	9	
1	4	sfoDF	14	6	2	sfoDF	sfoDF	83	
1	4	sfoDF	15	6	2	sfoDF	sfoDF	25	TD
1	4	sfoDF	16	7	3	seaRM	seaRM	3	PU
1	4	sfoDF	17	7	3	seaRM	seaRM	18	A
1	4	sfoDF	18	7	3	seaRM	seaRM	6	G
1	5	seaRM	1	8	1	sfoDF	seaRM	35	P
1	5	seaRM	2	8	1	sfoDF	sfoDF	57	PU
1	5	seaRM	3	8	1	sfoDF	sfoDF	34	
1	5	seaRM	4	8	1	sfoDF	sfoDF	13	
1	5	seaRM	5	8	1	sfoDF	sfoDF	40	
1	5	seaRM	6	8	1	sfoDF	sfoDF	13	
1	5	seaRM	7	8	1	sfoDF	sfoDF	57	
1	5	seaRM	8	8	1	sfoDF	seaRM	28	D
1	5	seaRM	9	9	2	seaRM	seaRM	9	PU
1	5	seaRM	10	9	2	seaRM	seaRM	35	
1	5	seaRM	11	9	2	seaRM	seaRM	21	
1	5	seaRM	12	9	2	seaRM	seaRM	35	
1	5	seaRM	13	9	2	seaRM	seaRM	29	
1	5	seaRM	14	9	2	seaRM	sfoDF	34	D
1	5	seaRM	15	10	3	sfoDF	sfoDF	23	PU
1	5	seaRM	16	10	3	sfoDF	sfoDF	34	
1	5	seaRM	17	10	3	sfoDF	sfoDF	5	
1	5	seaRM	18	10	3	sfoDF	sfoDF	13	
1	5	seaRM	19	10	3	sfoDF	sfoDF	40	
1	5	seaRM	20	10	3	sfoDF	sfoDF	23	
1	5	seaRM	21	10	3	sfoDF	sfoDF	40	
1	5	seaRM	22	10	3	sfoDF	sfoDF	5	
1	5	seaRM	23	10	3	sfoDF	sfoDF	34	
1	5	seaRM	24	10	3	sfoDF	sfoDF	23	
1	5	seaRM	25	10	3	sfoDF	sfoDF	34	
1	5	seaRM	26	10	3	sfoDF	sfoDF	23	A
1	5	seaRM	27	10	3	sfoDF	sfoDF	34	G
1	6	sfoDF	1	11	1	seaRM	sfoDF	12	P
1	6	sfoDF	2	11	1	seaRM	seaRM	1	PU
1	6	sfoDF	3	11	1	seaRM	seaRM	3	
1	6	sfoDF	4	11	1	seaRM	seaRM	48	TD
1	6	sfoDF	5	12	2	sfoDF	sfoDF	12	PU
1	6	sfoDF	6	12	2	sfoDF	sfoDF	46	
1	6	sfoDF	7	12	2	sfoDF	sfoDF	12	
1	6	sfoDF	8	12	2	sfoDF	sfoDF	85	
1	6	sfoDF	9	12	2	sfoDF	sfoDF	18	
1	6	sfoDF	10	12	2	sfoDF	sfoDF	12	
1	6	sfoDF	11	12	2	sfoDF	sfoDF	18	
1	6	sfoDF	12	12	2	sfoDF	seaRM	3	D
1	6	sfoDF	13	13	3	seaRM	seaRM	9	PU
1	6	sfoDF	14	13	3	seaRM	seaRM	20	
1	6	sfoDF	15	13	3	seaRM	seaRM	3	
1	6	sfoDF	16	13	3	seaRM	seaRM	20	
1	6	sfoDF	17	13	3	seaRM	seaRM	3	
1	6	sfoDF	18	13	3	seaRM	seaRM	20	TD
1	6	sfoDF	19	14	4	sfoDF	sfoDF	17	PU
1	6	sfoDF	20	14	4	sfoDF	sfoDF	12	
1	6	sfoDF	21	14	4	sfoDF	sfoDF	37	
1	6	sfoDF	22	14	4	sfoDF	sfoDF	12	A
1	6	sfoDF	23	14	4	sfoDF	sfoDF	18	G
1	7	sfoDF	1	15	1	seaRM	sfoDF	16	P
1	7	sfoDF	2	15	1	seaRM	seaRM	1	PU
1	7	sfoDF	3	15	1	seaRM	seaRM	20	
1	7	sfoDF	4	15	1	seaRM	seaRM	9	
1	7	sfoDF	5	15	1	seaRM	seaRM	20	
1	7	sfoDF	6	15	1	seaRM	seaRM	3	
1	7	sfoDF	7	15	1	seaRM	seaRM	9	A
1	7	sfoDF	8	15	1	seaRM	seaRM	1	G
1	8	seaRM	1	16	1	sfoDF	seaRM	35	P
1	8	seaRM	2	16	1	sfoDF	sfoDF	11	PU
1	8	seaRM	3	16	1	sfoDF	sfoDF	34	
1	8	seaRM	4	16	1	sfoDF	sfoDF	11	
1	8	seaRM	5	16	1	sfoDF	sfoDF	40	
1	8	seaRM	6	16	1	sfoDF	sfoDF	24	
1	8	seaRM	7	16	1	sfoDF	sfoDF	23	
