poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	seaRM-20		O-CTH	seaRM-9	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	seaRM-9		O-CTH	seaRM-20	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	seaRM-20		O-G	seaRM-48	TRUE	compl
2	1	2	2	3	ao	0	O-PU	sfoDF-11		O-CTH	sfoDF-5	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	sfoDF-5		O-CTH	sfoDF-34	TRUE	compl
2	1	2	4	5	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-11	TRUE	compl
2	1	2	5	6	ao	0	O-CTH	sfoDF-11		O-CTH	sfoDF-23	TRUE	compl
2	1	2	6	7	ao	0	O-CTH	sfoDF-23		O-CTH	sfoDF-11	TRUE	compl
2	1	2	7	7	an	-1	O-CTH	sfoDF-11		NA	sfoDF-11	TRUE	taway
3	2	2	8	9	ao	0	O-PU	seaRM-29		O-G	seaRM-9	TRUE	compl
4	1	3	2	3	ao	0	O-PU	sfoDF-11		O-CTH	sfoDF-5	TRUE	compl
4	1	3	3	4	ao	0	O-CTH	sfoDF-5		O-CTH	sfoDF-34	TRUE	compl
4	1	3	4	5	ao	0	O-CTH	sfoDF-34		O-G	sfoDF-40	TRUE	compl
5	1	4	2	3	ao	0	O-PU	seaRM-1		O-CTH	seaRM-3	TRUE	compl
5	1	4	3	4	ao	0	O-CTH	seaRM-3		O-CTH	seaRM-20	TRUE	compl
5	1	4	4	5	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-51	TRUE	compl
5	1	4	5	6	ao	0	O-CTH	seaRM-51		O-CTH	seaRM-3	TRUE	compl
5	1	4	6	7	ao	0	O-CTH	seaRM-3		O-CTH	seaRM-6	TRUE	compl
5	1	4	7	7	an	-1	O-CTH	seaRM-6		NA	seaRM-6	TRUE	taway
6	2	4	8	9	ao	0	O-PU	sfoDF-25		O-CTH	sfoDF-9	TRUE	compl
6	2	4	9	10	ao	0	O-CTH	sfoDF-9		O-CTH	sfoDF-16	TRUE	compl
6	2	4	10	11	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-21	TRUE	compl
6	2	4	11	12	ao	0	O-CTH	sfoDF-21		O-CTH	sfoDF-16	TRUE	compl
6	2	4	12	13	ao	0	O-CTH	sfoDF-16		O-CTH	sfoDF-9	TRUE	compl
6	2	4	13	14	ao	0	O-CTH	sfoDF-9		O-CTH	sfoDF-83	TRUE	compl
6	2	4	14	15	ao	0	O-CTH	sfoDF-83		O-TD	sfoDF-25	TRUE	drop
7	3	4	16	17	ao	0	O-PU	seaRM-3		O-CTH	seaRM-18	TRUE	compl
7	3	4	17	18	ao	0	O-CTH	seaRM-18		O-G	seaRM-6	TRUE	compl
8	1	5	2	3	ao	0	O-PU	sfoDF-57		O-CTH	sfoDF-34	TRUE	compl
8	1	5	3	4	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-13	TRUE	compl
8	1	5	4	5	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
8	1	5	5	6	ao	0	O-CTH	sfoDF-40		O-CTH	sfoDF-13	TRUE	compl
8	1	5	6	7	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-57	TRUE	compl
8	1	5	7	8	ao	0	O-CTH	sfoDF-57		D-D	seaRM-28	TRUE	defd
9	2	5	9	10	ao	0	O-PU	seaRM-9		O-CTH	seaRM-35	TRUE	compl
9	2	5	10	11	ao	0	O-CTH	seaRM-35		O-CTH	seaRM-21	TRUE	compl
9	2	5	11	12	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-35	TRUE	compl
9	2	5	12	13	ao	0	O-CTH	seaRM-35		O-CTH	seaRM-29	TRUE	compl
9	2	5	13	14	ao	0	O-CTH	seaRM-29		D-D	sfoDF-34	TRUE	defd
10	3	5	15	16	ao	0	O-PU	sfoDF-23		O-CTH	sfoDF-34	TRUE	compl
10	3	5	16	17	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-5	TRUE	compl
10	3	5	17	18	ao	0	O-CTH	sfoDF-5		O-CTH	sfoDF-13	TRUE	compl
10	3	5	18	19	ao	0	O-CTH	sfoDF-13		O-CTH	sfoDF-40	TRUE	compl
