game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-04-12_seaRM-at-sfoDF	seaRM-9	harkness	7	0.9	5	2	21	19	21	1	1	seaRM	9
2014-04-12_seaRM-at-sfoDF	seaRM-48	clark	6	0.8	6	0	5	4	11	1	1	seaRM	48
2014-04-12_seaRM-at-sfoDF	seaRM-6	trytiak	5	0.8	1	4	15	12	16	1	0	seaRM	6
2014-04-12_seaRM-at-sfoDF	seaRM-35	koss	3	0.75	1	2	24	18	17	2	2	seaRM	35
2014-04-12_seaRM-at-sfoDF	seaRM-29	feeley	3	0.83	1	2	6	5	5	0	0	seaRM	29
2014-04-12_seaRM-at-sfoDF	seaRM-1	mckibben	2	1	1	1	17	17	13	0	0	seaRM	1
2014-04-12_seaRM-at-sfoDF	seaRM-20	simon	2	0.94	0	2	35	33	24	1	2	seaRM	20
2014-04-12_seaRM-at-sfoDF	seaRM-17	zemel	1	0.77	1	0	22	17	21	0	3	seaRM	17
2014-04-12_seaRM-at-sfoDF	seaRM-3	o'brien	1	0.84	0	1	49	41	32	2	3	seaRM	3
2014-04-12_seaRM-at-sfoDF	seaRM-21	phan	1	0.67	0	1	3	2	3	1	0	seaRM	21
2014-04-12_seaRM-at-sfoDF	seaRM-18	uhrig-fox	1	0.67	0	1	6	4	6	0	1	seaRM	18
2014-04-12_seaRM-at-sfoDF	seaRM-15	beehner	0	NA	0	0	0	0	0	1	0	seaRM	15
2014-04-12_seaRM-at-sfoDF	seaRM-28	linn	0	1	0	0	1	1	1	1	0	seaRM	28
2014-04-12_seaRM-at-sfoDF	seaRM-13	sewell	0	0.6	0	0	5	3	5	0	1	seaRM	13
2014-04-12_seaRM-at-sfoDF	seaRM-24	duffel	0	1	0	0	1	1	1	0	0	seaRM	24
2014-04-12_seaRM-at-sfoDF	seaRM-51	entz	0	0.75	0	0	4	3	4	0	0	seaRM	51
2014-04-12_seaRM-at-sfoDF	sfoDF-34	Boucher	5	1	2	3	36	36	36	1	0	sfoDF	34
2014-04-12_seaRM-at-sfoDF	sfoDF-12	Bellinger	5	0.78	2	3	18	14	10	0	1	sfoDF	12
2014-04-12_seaRM-at-sfoDF	sfoDF-37	Hart	3	1	1	2	6	6	7	1	0	sfoDF	37
2014-04-12_seaRM-at-sfoDF	sfoDF-40	Taylor	3	0.86	1	2	21	18	21	0	1	sfoDF	40
2014-04-12_seaRM-at-sfoDF	sfoDF-5	Cascino	2	0.83	2	0	29	24	27	1	2	sfoDF	5
2014-04-12_seaRM-at-sfoDF	sfoDF-8	Pollard	2	0.9	2	0	10	9	12	0	0	sfoDF	8
2014-04-12_seaRM-at-sfoDF	sfoDF-13	Grant	2	0.78	1	1	9	7	10	0	0	sfoDF	13
2014-04-12_seaRM-at-sfoDF	sfoDF-17	Boyd-Meredith	2	0.86	1	1	14	12	8	0	0	sfoDF	17
2014-04-12_seaRM-at-sfoDF	sfoDF-18	Weaver	2	0.8	1	1	10	8	11	0	0	sfoDF	18
2014-04-12_seaRM-at-sfoDF	sfoDF-11	Lee	2	0.78	0	2	18	14	11	0	0	sfoDF	11
2014-04-12_seaRM-at-sfoDF	sfoDF-23	Jeffery	2	0.93	0	2	15	14	7	0	0	sfoDF	23
2014-04-12_seaRM-at-sfoDF	sfoDF-85	Brydon	1	0.8	1	0	5	4	5	2	0	sfoDF	85
2014-04-12_seaRM-at-sfoDF	sfoDF-10	Sugioka	1	1	1	0	1	1	2	1	0	sfoDF	10
2014-04-12_seaRM-at-sfoDF	sfoDF-2	Adamson	1	1	1	0	1	1	2	1	0	sfoDF	2
2014-04-12_seaRM-at-sfoDF	sfoDF-24	Caulfield	1	1	1	0	5	5	6	0	0	sfoDF	24
2014-04-12_seaRM-at-sfoDF	sfoDF-88	Kissmann	1	0.88	1	0	8	7	7	0	0	sfoDF	88
2014-04-12_seaRM-at-sfoDF	sfoDF-16	Yeager	1	0.8	0	1	5	4	5	0	1	sfoDF	16
2014-04-12_seaRM-at-sfoDF	sfoDF-46	McCarty	0	0.71	0	0	7	5	7	2	1	sfoDF	46
2014-04-12_seaRM-at-sfoDF	sfoDF-83	Husak	0	0.83	0	0	6	5	2	1	1	sfoDF	83
2014-04-12_seaRM-at-sfoDF	sfoDF-21	Stearns	0	1	0	0	2	2	3	0	0	sfoDF	21
2014-04-12_seaRM-at-sfoDF	sfoDF-25	Dixon	0	0.75	0	0	4	3	2	0	1	sfoDF	25
2014-04-12_seaRM-at-sfoDF	sfoDF-57	Meyer	0	0.86	0	0	7	6	3	0	0	sfoDF	57
2014-04-12_seaRM-at-sfoDF	sfoDF-7	Sheridan	0	0	0	0	1	0	1	0	0	sfoDF	7
2014-04-12_seaRM-at-sfoDF	sfoDF-9	Farren	0	1	0	0	3	3	3	0	0	sfoDF	9
