period	point	event	pl_team	pl_pnum	pl_code	poss_team
1	1	1	sfoDF	16	OBP	seaRM
1	1	2	seaRM	20	PU	seaRM
1	1	3	seaRM	9		seaRM
1	1	4	seaRM	20	A	seaRM
1	1	5	seaRM	48	LG	seaRM
1	2	1	seaRM	35	P	sfoDF
1	2	2	sfoDF	11	PU	sfoDF
1	2	3	sfoDF	5		sfoDF
1	2	4	sfoDF	34		sfoDF
1	2	5	sfoDF	11		sfoDF
1	2	6	sfoDF	23		sfoDF
1	2	7	sfoDF	11		sfoDF
1	2	8	seaRM	29	PUA	seaRM
1	2	9	seaRM	9	G	seaRM
1	3	1	seaRM	35	P	sfoDF
1	3	2	sfoDF	11	PU	sfoDF
1	3	3	sfoDF	5		sfoDF
1	3	4	sfoDF	34	A	sfoDF
1	3	5	sfoDF	40	G	sfoDF
1	4	1	sfoDF	16	P	seaRM
1	4	2	seaRM	1	PU	seaRM
1	4	3	seaRM	3		seaRM
1	4	4	seaRM	20		seaRM
1	4	5	seaRM	51		seaRM
1	4	6	seaRM	3		seaRM
1	4	7	seaRM	6		seaRM
1	4	8	sfoDF	25	PU	sfoDF
1	4	9	sfoDF	9		sfoDF
1	4	10	sfoDF	16		sfoDF
1	4	11	sfoDF	21		sfoDF
1	4	12	sfoDF	16		sfoDF
1	4	13	sfoDF	9		sfoDF
1	4	14	sfoDF	83		sfoDF
1	4	15	sfoDF	25	TD	sfoDF
1	4	16	seaRM	3	PU	seaRM
1	4	17	seaRM	18	A	seaRM
1	4	18	seaRM	6	G	seaRM
1	5	1	seaRM	35	P	sfoDF
1	5	2	sfoDF	57	PU	sfoDF
1	5	3	sfoDF	34		sfoDF
1	5	4	sfoDF	13		sfoDF
1	5	5	sfoDF	40		sfoDF
1	5	6	sfoDF	13		sfoDF
1	5	7	sfoDF	57		sfoDF
1	5	8	seaRM	28	D	sfoDF
1	5	9	seaRM	9	PU	seaRM
1	5	10	seaRM	35		seaRM
1	5	11	seaRM	21		seaRM
1	5	12	seaRM	35		seaRM
1	5	13	seaRM	29		seaRM
1	5	14	sfoDF	34	D	seaRM
1	5	15	sfoDF	23	PU	sfoDF
1	5	16	sfoDF	34		sfoDF
1	5	17	sfoDF	5		sfoDF
1	5	18	sfoDF	13		sfoDF
1	5	19	sfoDF	40		sfoDF
1	5	20	sfoDF	23		sfoDF
1	5	21	sfoDF	40		sfoDF
1	5	22	sfoDF	5		sfoDF
1	5	23	sfoDF	34		sfoDF
1	5	24	sfoDF	23		sfoDF
1	5	25	sfoDF	34		sfoDF
1	5	26	sfoDF	23	A	sfoDF
1	5	27	sfoDF	34	G	sfoDF
1	6	1	sfoDF	12	P	seaRM
1	6	2	seaRM	1	PU	seaRM
1	6	3	seaRM	3		seaRM
1	6	4	seaRM	48	TD	seaRM
1	6	5	sfoDF	12	PU	sfoDF
1	6	6	sfoDF	46		sfoDF
1	6	7	sfoDF	12		sfoDF
1	6	8	sfoDF	85		sfoDF
1	6	9	sfoDF	18		sfoDF
1	6	10	sfoDF	12		sfoDF
1	6	11	sfoDF	18		sfoDF
1	6	12	seaRM	3	D	sfoDF
1	6	13	seaRM	9	PU	seaRM
1	6	14	seaRM	20		seaRM
1	6	15	seaRM	3		seaRM
1	6	16	seaRM	20		seaRM
1	6	17	seaRM	3		seaRM
1	6	18	seaRM	20	TD	seaRM
1	6	19	sfoDF	17	PU	sfoDF
1	6	20	sfoDF	12		sfoDF
1	6	21	sfoDF	37		sfoDF
1	6	22	sfoDF	12	A	sfoDF
1	6	23	sfoDF	18	G	sfoDF
1	7	1	sfoDF	16	P	seaRM
1	7	2	seaRM	1	PU	seaRM
1	7	3	seaRM	20		seaRM
1	7	4	seaRM	9		seaRM
1	7	5	seaRM	20		seaRM
1	7	6	seaRM	3		seaRM
1	7	7	seaRM	9	A	seaRM
1	7	8	seaRM	1	G	seaRM
1	8	1	seaRM	35	P	sfoDF
1	8	2	sfoDF	11	PU	sfoDF
