game	player	points	goals	assists	Ds
2014-04-12_seaRM-at-sfoDF	seaRM-9-harkness	7	5	2	1
2014-04-12_seaRM-at-sfoDF	seaRM-48-clark	6	6	0	1
2014-04-12_seaRM-at-sfoDF	seaRM-6-trytiak	5	1	4	1
2014-04-12_seaRM-at-sfoDF	seaRM-35-koss	3	1	2	2
2014-04-12_seaRM-at-sfoDF	seaRM-29-feeley	3	1	2	0
2014-04-12_seaRM-at-sfoDF	seaRM-1-mckibben	2	1	1	0
2014-04-12_seaRM-at-sfoDF	seaRM-20-simon	2	0	2	1
2014-04-12_seaRM-at-sfoDF	seaRM-17-zemel	1	1	0	0
2014-04-12_seaRM-at-sfoDF	seaRM-3-o'brien	1	0	1	2
2014-04-12_seaRM-at-sfoDF	seaRM-21-phan	1	0	1	1
2014-04-12_seaRM-at-sfoDF	seaRM-18-uhrig-fox	1	0	1	0
2014-04-12_seaRM-at-sfoDF	seaRM-15-beehner	0	0	0	1
2014-04-12_seaRM-at-sfoDF	seaRM-28-linn	0	0	0	1
2014-04-12_seaRM-at-sfoDF	sfoDF-34-Boucher	5	2	3	1
2014-04-12_seaRM-at-sfoDF	sfoDF-12-Bellinger	5	2	3	0
2014-04-12_seaRM-at-sfoDF	sfoDF-37-Hart	3	1	2	1
2014-04-12_seaRM-at-sfoDF	sfoDF-40-Taylor	3	1	2	0
2014-04-12_seaRM-at-sfoDF	sfoDF-5-Cascino	2	2	0	1
2014-04-12_seaRM-at-sfoDF	sfoDF-8-Pollard	2	2	0	0
2014-04-12_seaRM-at-sfoDF	sfoDF-13-Grant	2	1	1	0
2014-04-12_seaRM-at-sfoDF	sfoDF-17-Boyd-Meredith	2	1	1	0
2014-04-12_seaRM-at-sfoDF	sfoDF-18-Weaver	2	1	1	0
2014-04-12_seaRM-at-sfoDF	sfoDF-11-Lee	2	0	2	0
2014-04-12_seaRM-at-sfoDF	sfoDF-23-Jeffery	2	0	2	0
2014-04-12_seaRM-at-sfoDF	sfoDF-85-Brydon	1	1	0	2
2014-04-12_seaRM-at-sfoDF	sfoDF-10-Sugioka	1	1	0	1
2014-04-12_seaRM-at-sfoDF	sfoDF-2-Adamson	1	1	0	1
2014-04-12_seaRM-at-sfoDF	sfoDF-24-Caulfield	1	1	0	0
2014-04-12_seaRM-at-sfoDF	sfoDF-88-Kissmann	1	1	0	0
2014-04-12_seaRM-at-sfoDF	sfoDF-16-Yeager	1	0	1	0
2014-04-12_seaRM-at-sfoDF	sfoDF-46-McCarty	0	0	0	2
2014-04-12_seaRM-at-sfoDF	sfoDF-83-Husak	0	0	0	1
