point	Offense	Defense
1		8P
1	7PU	
1	24	
1	13	
1	7	
1	24	
1		81D
1		81
1		18
1		45
1		31
1		8
1		81LG
2		11p
2	7PU	
2	11	
2	6	
2	16	
2	11	
2	16L	
2	6G	
3		8P
3	5PU	
3	72	
3	22	
3	98G	
4		8P
4	7PU	
4	13	
4	7	
4	11	
4	7	
4	11	
4	16TD	
4		4pu
4		18
4		27
4		31
4		81
4		13G
5		8P
5	7PU	
5	24	
5	21	
5	7	
5	24	
5	13	
5	7	
5	21	
5	42	
5	7G	
6		8P
6	91PU	
6	89	
6	91	
6	22	
6	98	
6	91	
6	89	
6	91	3F
6	22	
6	91	
6	89vtt	
6		88pu
6		17
6		21
6		3LG
7		8P
7	91PU	
7	89	
7	91	
7	8	
7	21	
7	89	
7	8	
7	98G	
8		33P
8	7PU	
8	24	
8	42	
8	7	
8	24	
8	13	
8	24	
8	16	
8	7	
8	42	
8	16	
8	7	
8	42G	
9		88p
9	5PU	
9	91	
9	89	
9	22	3F
9	21G	
9		
9		
9		
10		8P
10	24PU	
10	11	
10	24	
10	42	
10	13L	
10	16	
10	13G	
11		88P
11	91PU	
11	89	
11	5	
11	98	
11	5	
11	89	
11	91	
11	98	
11	91	
11	22G	
12		33P
12	24PU	
12	73	
12	24	
12	16	
12	2L	
12	7	
12	42G	
13		88P
13	91PU	
13	5	
13	91	
13	10	
13	22	
13		21D
13		88pu
13	91pu	
13	21	
13	91	
13	5	
13	22	
13	89	
13	5	
13	10TD	
13		88to
13		24pu
13		42
13		7
13		42
13		11
13		7
13	91d	
13	91	
13	33g	
14		8P
14	7PU	
14	13	
14	24td	
14		18PU
14		18vtt
14	11pu	
14	13LG	
15		6P
15	89PU	
15	5	
15	22F	
15		88pu
15		8L
15		6G
16		6P
16	89PU	
16	91	
16	89	
16	91	
16	89	
16	72td	
16		88pu
16		21
16		88
16		8
16		21
16		88
16		4G
17		42P
17	5PU	
17	8l	
18		6P
18	91PU	
18	89	
18	91	
18	22	
18	21	
18	98LG	
19		8P
19	7PU	
19	24	
19	7	
19	24	
19	7	
19	13	
19	2TD	
19		18pu
19		45
19		81
19		8
19		18
19		27
19		81
19		8
19		18G
20		33P
20	42PU	
20	24	
20	42	
20	2	
20	24	
20	42	
20	2	
20	7	
20	6	
20	42	
20	13	
20	2	
20		33to
20		91pu
20	3F	22
20		21lg
21		8P
21	42PU	
21	24	
21	10	
21	7	
