point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	pdxST	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	9:23:00	vanNH	2	vanNH	break	0	1	37	00:37
2	1	9:23:00	9:01:00	vanNH	1	pdxST	hold	1	1	22	00:22
3	1	9:01:00	8:49:00	pdxST	1	vanNH	hold	1	2	12	00:12
4	1	8:49:00	8:11:00	vanNH	2	vanNH	break	1	3	38	00:38
5	1	8:11:00	7:46:00	vanNH	1	pdxST	hold	2	3	25	00:25
6	1	7:46:00	6:40:00	pdxST	2	pdxST	break	3	3	66	01:06
7	1	6:40:00	6:16:00	pdxST	1	vanNH	hold	3	4	24	00:24
8	1	6:16:00	5:38:00	vanNH	1	pdxST	hold	4	4	38	00:38
9	1	5:38:00	5:08:00	pdxST	1	vanNH	hold	4	5	30	00:30
10	1	5:08:00	4:49:00	vanNH	1	pdxST	hold	5	5	19	00:19
11	1	4:49:00	4:12:00	pdxST	1	vanNH	hold	5	6	37	00:37
12	1	4:12:00	3:50:00	vanNH	1	pdxST	hold	6	6	22	00:22
13	1	3:50:00	1:33:00	pdxST	5	vanNH	hold	6	7	137	02:17
14	1	1:33:00	1:09:00	vanNH	3	pdxST	hold	7	7	24	00:24
15	1	1:09:00	0:53:00	pdxST	2	pdxST	break	8	7	16	00:16
16	1	0:53:00	0:01:00	pdxST	2	pdxST	break	9	7	52	00:52
17	1	0:01:00	0:00:00	pdxST	NA	NA	NA	9	7	1	00:01
18	2	10:00:00	9:44:00	pdxST	1	vanNH	hold	9	8	16	00:16
19	2	9:44:00	8:41:00	vanNH	2	vanNH	break	9	9	63	01:03
20	2	8:41:00	7:34:00	vanNH	2	vanNH	break	9	10	67	01:07
21	2	7:34:00	6:49:00	vanNH	1	pdxST	hold	10	10	45	00:45
22	2	6:49:00	4:13:00	pdxST	5	vanNH	hold	10	11	156	02:36
23	2	4:13:00	2:02:00	vanNH	2	vanNH	break	10	12	131	02:11
24	2	2:02:00	1:14:00	vanNH	1	pdxST	hold	11	12	48	00:48
25	2	1:14:00	0:45:00	pdxST	1	vanNH	hold	11	13	29	00:29
26	2	0:45:00	0:16:00	vanNH	1	pdxST	hold	12	13	29	00:29
27	2	0:16:00	0:00:00	pdxST	NA	NA	NA	12	13	16	00:16
28	3	10:00:00	9:38:00	vanNH	1	pdxST	hold	13	13	22	00:22
29	3	9:38:00	8:09:00	pdxST	4	pdxST	break	14	13	89	01:29
30	3	8:09:00	6:22:00	pdxST	4	pdxST	break	15	13	107	01:47
31	3	6:22:00	4:19:00	pdxST	2	pdxST	break	16	13	123	02:03
32	3	4:19:00	2:45:00	pdxST	3	vanNH	hold	16	14	94	01:34
33	3	2:45:00	2:22:00	vanNH	1	pdxST	hold	17	14	23	00:23
34	3	2:22:00	1:17:00	pdxST	2	pdxST	break	18	14	65	01:05
35	3	1:17:00	0:26:00	pdxST	3	vanNH	hold	18	15	51	00:51
36	3	0:26:00	0:00:00	vanNH	NA	NA	NA	18	15	26	00:26
37	4	10:00:00	9:21:00	pdxST	1	vanNH	hold	18	16	39	00:39
38	4	9:21:00	7:52:00	vanNH	2	vanNH	break	18	17	89	01:29
39	4	7:52:00	7:31:00	vanNH	1	pdxST	hold	19	17	21	00:21
40	4	7:31:00	7:11:00	pdxST	1	vanNH	hold	19	18	20	00:20
41	4	7:11:00	5:05:00	vanNH	1	pdxST	hold	20	18	126	02:06
42	4	5:05:00	4:53:00	pdxST	1	vanNH	hold	20	19	12	00:12
43	4	4:53:00	2:28:00	vanNH	5	pdxST	hold	21	19	145	02:25
44	4	2:28:00	2:03:00	pdxST	1	vanNH	hold	21	20	25	00:25
45	4	2:03:00	0:37:00	vanNH	1	pdxST	hold	22	20	86	01:26
46	4	0:37:00	0:19:00	pdxST	1	vanNH	hold	22	21	18	00:18
47	4	0:19:00	0:00:00	vanNH	1	pdxST	hold	23	21	19	00:19
