poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	pdxST-7		O-CTH	pdxST-24	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-13	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	pdxST-13		O-CTH	pdxST-7	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	pdxST-24		D-D	vanNH-81	TRUE	defd
2	2	1	8	9	ao	0	O-CTH	vanNH-81		O-CTH	vanNH-18	TRUE	compl
2	2	1	9	10	ao	0	O-CTH	vanNH-18		O-CTH	vanNH-45	TRUE	compl
2	2	1	10	11	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-31	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	vanNH-31		O-CTH	vanNH-8	TRUE	compl
2	2	1	12	13	ao	0	O-CTH	vanNH-8		O-G	vanNH-81	TRUE	compl
3	1	2	2	3	ao	0	O-PU	pdxST-7		O-CTH	pdxST-11	TRUE	compl
3	1	2	3	4	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-6	TRUE	compl
3	1	2	4	5	ao	0	O-CTH	pdxST-6		O-CTH	pdxST-16	TRUE	compl
3	1	2	5	6	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-11	TRUE	compl
3	1	2	6	7	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-16	TRUE	compl
3	1	2	7	8	ao	0	O-CTH	pdxST-16		O-G	pdxST-6	TRUE	compl
4	1	3	2	3	ao	0	O-PU	vanNH-5		O-CTH	vanNH-72	TRUE	compl
4	1	3	3	4	ao	0	O-CTH	vanNH-72		O-CTH	vanNH-22	TRUE	compl
4	1	3	4	5	ao	0	O-CTH	vanNH-22		O-G	vanNH-98	TRUE	compl
5	1	4	2	3	ao	0	O-PU	pdxST-7		O-CTH	pdxST-13	TRUE	compl
5	1	4	3	4	ao	0	O-CTH	pdxST-13		O-CTH	pdxST-7	TRUE	compl
5	1	4	4	5	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-11	TRUE	compl
5	1	4	5	6	ao	0	O-CTH	pdxST-11		O-CTH	pdxST-7	TRUE	compl
5	1	4	6	7	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-11	TRUE	compl
5	1	4	7	8	ao	0	O-CTH	pdxST-11		O-TD	pdxST-16	TRUE	drop
6	2	4	9	10	ao	0	O-PU	vanNH-4		O-CTH	vanNH-18	TRUE	compl
6	2	4	10	11	ao	0	O-CTH	vanNH-18		O-CTH	vanNH-27	TRUE	compl
6	2	4	11	12	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-31	TRUE	compl
6	2	4	12	13	ao	0	O-CTH	vanNH-31		O-CTH	vanNH-81	TRUE	compl
6	2	4	13	14	ao	0	O-CTH	vanNH-81		O-G	vanNH-13	TRUE	compl
7	1	5	2	3	ao	0	O-PU	pdxST-7		O-CTH	pdxST-24	TRUE	compl
7	1	5	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-21	TRUE	compl
7	1	5	4	5	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-7	TRUE	compl
7	1	5	5	6	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24	TRUE	compl
7	1	5	6	7	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-13	TRUE	compl
7	1	5	7	8	ao	0	O-CTH	pdxST-13		O-CTH	pdxST-7	TRUE	compl
7	1	5	8	9	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-21	TRUE	compl
7	1	5	9	10	ao	0	O-CTH	pdxST-21		O-CTH	pdxST-42	TRUE	compl
7	1	5	10	11	ao	0	O-CTH	pdxST-42		O-G	pdxST-7	TRUE	compl
8	1	6	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-89	TRUE	compl
8	1	6	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
8	1	6	4	5	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-22	TRUE	compl
8	1	6	5	6	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-98	TRUE	compl
8	1	6	6	7	ao	0	O-CTH	vanNH-98		O-CTH	vanNH-91	TRUE	compl
8	1	6	7	8	ao	0	O-CTH	vanNH-91		O-CTH	vanNH-89	TRUE	compl
8	1	6	8	9	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
8	1	6	9	11	ao	1	O-CTH	vanNH-91	D-F	O-CTH	vanNH-22	TRUE	compl
8	1	6	11	12	ao	0	O-CTH	vanNH-22		O-CTH	vanNH-91	TRUE	compl
8	1	6	12	13	ao	0	O-CTH	vanNH-91		O-OV	vanNH-89	TRUE	compl
9	2	6	14	15	ao	0	O-PU	pdxST-88		O-CTH	pdxST-17	TRUE	compl
9	2	6	15	16	ao	0	O-CTH	pdxST-17		O-CTH	pdxST-21	TRUE	compl
9	2	6	16	17	ao	0	O-CTH	pdxST-21		O-G	pdxST-3	TRUE	compl
10	1	7	2	3	ao	0	O-PU	vanNH-91		O-CTH	vanNH-89	TRUE	compl
10	1	7	3	4	ao	0	O-CTH	vanNH-89		O-CTH	vanNH-91	TRUE	compl
