game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-04-12_vanNH-at-pdxST	vanNH-22	berezan	8	0.94	3	5	18	17	21	1	0	vanNH	22
2014-04-12_vanNH-at-pdxST	vanNH-98	wong	7	0.82	5	2	11	9	16	0	1	vanNH	98
2014-04-12_vanNH-at-pdxST	vanNH-21	loach	4	0.8	2	2	15	12	17	0	1	vanNH	21
2014-04-12_vanNH-at-pdxST	vanNH-10	chatha	3	1	2	1	7	7	9	0	0	vanNH	10
2014-04-12_vanNH-at-pdxST	vanNH-8	hibbert	3	0.75	0	3	12	9	12	2	1	vanNH	8
2014-04-12_vanNH-at-pdxST	vanNH-91	savage	3	1	0	3	46	46	26	1	0	vanNH	91
2014-04-12_vanNH-at-pdxST	vanNH-72	leduc	2	1	2	0	4	4	6	0	0	vanNH	72
2014-04-12_vanNH-at-pdxST	vanNH-81	tejpar	2	1	1	1	7	7	8	2	0	vanNH	81
2014-04-12_vanNH-at-pdxST	vanNH-13	tessarolo	2	1	1	1	1	1	2	0	0	vanNH	13
2014-04-12_vanNH-at-pdxST	vanNH-75	bellavance	2	1	1	1	5	5	5	0	0	vanNH	75
2014-04-12_vanNH-at-pdxST	vanNH-31	saito	1	0.83	1	0	6	5	6	1	0	vanNH	31
2014-04-12_vanNH-at-pdxST	vanNH-33	collins	1	1	1	0	5	5	4	1	0	vanNH	33
2014-04-12_vanNH-at-pdxST	vanNH-18	menzies	1	1	1	0	9	9	8	0	0	vanNH	18
2014-04-12_vanNH-at-pdxST	vanNH-45	cowan	1	1	1	0	4	4	4	0	0	vanNH	45
2014-04-12_vanNH-at-pdxST	vanNH-89	underhill	1	0.9	0	1	30	27	25	1	1	vanNH	89
2014-04-12_vanNH-at-pdxST	vanNH-5	norris	1	0.84	0	1	31	26	25	0	3	vanNH	5
2014-04-12_vanNH-at-pdxST	vanNH-24	yu	0	1	0	0	2	2	2	0	0	vanNH	24
2014-04-12_vanNH-at-pdxST	vanNH-27	davis	0	1	0	0	3	3	3	0	0	vanNH	27
2014-04-12_vanNH-at-pdxST	vanNH-37	sinclair	0	1	0	0	2	2	2	0	0	vanNH	37
2014-04-12_vanNH-at-pdxST	vanNH-4	doyle	0	1	0	0	3	3	2	0	0	vanNH	4
2014-04-12_vanNH-at-pdxST	pdxST-13	Perston	10	0.88	9	1	24	21	33	0	2	pdxST	13
2014-04-12_vanNH-at-pdxST	pdxST-7	Friedman	6	0.98	2	4	55	54	40	0	0	pdxST	7
2014-04-12_vanNH-at-pdxST	pdxST-42	Lohre	5	0.93	3	2	27	25	27	0	0	pdxST	42
2014-04-12_vanNH-at-pdxST	pdxST-16	Burton	5	0.9	1	4	20	18	21	0	0	pdxST	16
2014-04-12_vanNH-at-pdxST	pdxST-6	Bjorklund	4	0.86	2	2	7	6	8	0	0	pdxST	6
2014-04-12_vanNH-at-pdxST	pdxST-10	Strout	3	0.97	1	2	31	30	31	0	1	pdxST	10
2014-04-12_vanNH-at-pdxST	pdxST-3	Ferrea	2	1	2	0	2	2	3	1	0	pdxST	3
2014-04-12_vanNH-at-pdxST	pdxST-11	Kenton	2	0.94	0	2	16	15	15	0	1	pdxST	11
2014-04-12_vanNH-at-pdxST	pdxST-24	Norden	2	0.98	0	2	63	62	56	0	0	pdxST	24
2014-04-12_vanNH-at-pdxST	pdxST-88	Suppnick	2	0.82	0	2	17	14	11	0	0	pdxST	88
2014-04-12_vanNH-at-pdxST	pdxST-17	Hayes	1	1	1	0	3	3	4	0	0	pdxST	17
2014-04-12_vanNH-at-pdxST	pdxST-2	Allison-Hall	1	0.89	1	0	19	17	20	0	0	pdxST	2
2014-04-12_vanNH-at-pdxST	pdxST-4	Blackman	1	1	1	0	7	7	8	0	0	pdxST	4
2014-04-12_vanNH-at-pdxST	pdxST-21	McGinn	1	1	0	1	11	11	9	2	0	pdxST	21
2014-04-12_vanNH-at-pdxST	pdxST-8	Davis	1	1	0	1	6	6	4	1	0	pdxST	8
2014-04-12_vanNH-at-pdxST	pdxST-22	Cole	0	1	0	0	4	4	4	1	0	pdxST	22
2014-04-12_vanNH-at-pdxST	pdxST-14	Adamson	0	1	0	0	4	4	4	0	0	pdxST	14
2014-04-12_vanNH-at-pdxST	pdxST-5	Woodside	0	NA	0	0	0	0	1	0	0	pdxST	5
2014-04-12_vanNH-at-pdxST	pdxST-73	King	0	1	0	0	1	1	1	0	0	pdxST	73
