point	Offense	Defense
1		22p
1	7pu	
1	20	
1	9td	
1		27pu
1		31
1		5
1		4
1		5
1		22
1		23
1		19
1		23
1		27
1		1
1		4
1		5
1		23
1		19g
2		15p
2	21pu	
2	71	
2	13	
2	71	
2	16	
2	64	
2	11	15f
2	16	
2	13	12f
2	71	
2		24d
2		12pu
2		7
2		15
2		12
2		15
2		24lg
3		27p
3	20pu	
3	27	
3	20	
3		27pu
3		5
3	9d	
3	1pu	
3		5d
3		5PU
3		23
3		4
3		23
3	7d	
3	20pu	27f
3	27	
3	32	
3	9g	
4		16p
4	90pu	
4	99	
4	88	
4	45	
4	8	
4	99td	
4		11pu
4		21
4		16
4		21
4		64
4		6
4		64
4		16
4	99pu	
4	88	
4	90	
4		16d
4		21pu
4		64
4		6
4		16
4		64
4		21
4		11lg
5		88obp
5	99pu	
5	90	
5	9	
5	8	
5	99	
5	9	
5	32	
5	8g	
6		15p
6	20pu	
6	7	
6	20	
6	13	
6	20	
6	27	
6	13	
6		12d
6		12PU
6		15
6		12
6		22
6	27d	
6	27pu	
6	20	
6	12to	19f
6	71pu	
6	27	
6	20	
6	7	
6	27td	
6		23pu
6		27
6		5
6		27
6		6
6		22g
7		15p
7	64pu	
7	13	
7	21	
7	13	
7	12	
7	11	
7	16	
7	21g	
8		11p
8	88pu	
8	99	
8	2	
8	90	
8	45	
8	99	
8	45	
8	9	
8	2td	
8		64pu
8	99pu	
8		22d
9		16p
9	88pu	
9	99	
9	8	
9	45lg	
10		5p
10	7pu	
10	20	
10	9	
10	14	
10	20	
10	27	
10	7	
10	20	
10	9	
10	20	
10	7	
10	20	
10	1	
10	32g	
11		11p
11	88pu	
11	99	
11	90	
11	8	
11	45	
11	2	
11	90g	
12		15p
12	1pu	
12	9l	
12	14g	
13		64p
13	88pu	
13	99	
13	2	
13	9	
13	8td	
13		16pu
13		11
13	88pu	
13	32l	11f
13	9g	
14		45p
14	20pu	
14	1	
14	27	
14	32	
14	27	
14	7	
14	27	
14	7	
14	41	
14	20	
14	32	
14	14	
14	20	
14	32	
14	20	
14	14g	
15		16p
15	99pu	
15	90	
15	99	
15	9	
15	32td	
15		21pu
15		64
15		11
15		16
15		31l
15		22g
16		16p
16	2pu	
16	90	
16	99l	
16	80g	
17		5p
17	13pu	
17	20	
17	13	
17		7d
17		23pu
17	7pu	
17	13	
17	27	
17	12	
17	20	
17		21to
17		99pu
17		90
17		99
17		9
17	21d	
17	21PU	
17	11	
17	71	
17	16g	
18		11p
18	99pu	
18	2	
18	90	
18	99	
18	32	
18	90l	
18	32g	
19		15p
19	7pu	
19	71td	
19		15pu
19		27
19	32d	
19	71pu	
19	7	
19	1	
19	71	
19	14	
19	71	
19	27td	
19		25pu
19		12
19		15
19		12
19		19
19		15
19	27d	
19	27PU	
19	7	
19		15d
19		15to
19		90pu
19		99
19		88
19		99
19		45
19		2
19	21pu	
19	64	
19	22	
19	16	
19	21	
19	6	
19	22	
19	31	
19	11	
19	21	
19	11	
19	16	
19		8d
19		8so
19		32si
19		99pu
19		90
19	6fb	
19	21pu	
19	64	
19	16	
19	64	
19	11	
19	21	
19	11	
19	6	
19	31	
19	21to	
19	71pu	
20		5p
20	7pu	
20	20	
20	14	
20	9	
20	20	
20		6d
20		23pu
20		1
20		23
20		5
20		1
20		23
20		1
20		6g
21		15p
21	71pu	
21	13	
21	71	
21	13	
21	21	
21	13	
21	71	
21		4d
21		4PU
21		22
21		4
21		15
21		27
21		25
21		22
21		19g
22		15p
22	20pu	
22	7	
22	1	
22	7	
22	20	
22	27	
22	32lg	
23		16p
23	2pu	
23	99	
23	8	
23	9	
23	2	
23		64fb
23		64pu
23		21
23		6
23		21
23		64l
23		6
23	99pu	
23	8	
23	2	
23	90	
23	2	
23	99	
23	8	
23	2	
23	88lg	
24		5p
24	20pu	
24	7	
24	9	
24	7	
24	20	
24	7	
24	14	
24	27	
24	14	
24	20	
24	9	
24	20	
24	7	
24	20	
24	27	
24	14	7f
24		4d
24	1so	4so
24	11si	90si
24	11f	90pu
24		23
24	32pu	
24	14	
24	20	
24	27	
24	20	
24	11	
24	32	
24	20	
24		90pu
24		21
24		31
24		23
24		5
24		7
24		5
24		23
24		90
24	7pu	
24	20	
24	9	
24	20to	
24	71pu	
24		15pu
24		12
24		15
24		25
24		15
24		12
24		22
24		15
24		19g
25		5p
25	21pu	
25	7	
25	21	
25	7	
25	21	
25	32	
25	7	
25	14	
25	7	
25	20	
25	27	
25	20	5f
25	32	
25	27	
25	6g	
26		16p
26	88pu	
26	99	
26	2	
26	32	
26	99	
26	45	
26	32	
26	99	
26	8g	
27		14p
27	13pu	
27	7	
27	1	
27	7	
27	13	
27	7	
27	13	
27	7	
27	1	
27	13	
27	7	
27	12	
27	7	
28		16p
28	2pu	
28	99	
28	90	
28	99	
28	90	
28	99	
28	90	
28	99	
28	2lg	
29		5p
29	20pu	
29	1	
29	27	
29	1	
29	14	
29	27	
29	20	
29	1	
29	20	
29	14g	
30		16p
30	90pu	
30	99	
30	8	
30	90	
30	99	
30	80	
30	90	
30	9g	
31		15p
31	7pu	
31	71	
31	7	
31	27	
31	7	
31	9	
31	71	27f
31	27lg	
32		88p
32	90pu	
32	99	
32	90	
32	99	
32		22d
32		64pu
32		21
32		88
32		32
32		21
32		11lg
33		16p
33	99pu	
33	2	
33	99	
33	2	
33	8	16f
33	32g	
34		15p
34	20pu	
34	7	
34	27	
34	20	
34	7	
34	9lg	
35		11obp
35	99pu	
35	90	
35		28pu
35		6
35		31
35		64
35		16g
36		16p
36	2pu	
36	99	
36	2vtt	
36		6pu
36		16
36		64
36		10
36		6
36		22
36		6
36	88d	
36	88PU	
36	99	
36	32lg	
37		5p
37	13pu	
37	7	
37	20	
37	32	
37	13	
37	20lg	
38		88p
38	88pu	
38	2	
38	88td	
38	88f	11pu
38		64
38		11to
38		7pu
38		2
38		7
38	23d	
38	15pu	
38	27	
38	27to	
38	15pu	
38	22	
38		11d
38		2pu
38		21
38		16
38		64
38		11lg
39		88p
39	88pu	
39	99	
39	32	
39	8	
39	45	
39	2	
39	32	
39	45	
39	99	
39	32	
39	99	
39	8g	
40		5p
40	20pu	
40	71	
40	20	
40	1	
40	20	
40	11	1f
40	11so	
40	21si	
40	21PU	
40	27	
40	1	
40	71g	
41		16p
41	32pu	
41	99	
41	2	
41	99	
41	2	
41	90	
41	2	
41	99	
41	2	
41	9	
41	8	
41	2	
41		2pu
41		6
41	99d	
41	99pu	
41	8	
41	99	
41	9	
41	8g	
42		22p
42	32pu	
42	20	
42	71	
42		27pu
42		23g
