period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	wdcCT	1	1	1	phlSP	wdcCT	22	P
1	1	wdcCT	2	1	1	phlSP	phlSP	7	PU
1	1	wdcCT	3	1	1	phlSP	phlSP	20	
1	1	wdcCT	4	1	1	phlSP	phlSP	9	TD
1	1	wdcCT	5	2	2	wdcCT	wdcCT	27	PU
1	1	wdcCT	6	2	2	wdcCT	wdcCT	31	
1	1	wdcCT	7	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	8	2	2	wdcCT	wdcCT	4	
1	1	wdcCT	9	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	10	2	2	wdcCT	wdcCT	22	
1	1	wdcCT	11	2	2	wdcCT	wdcCT	23	
1	1	wdcCT	12	2	2	wdcCT	wdcCT	19	
1	1	wdcCT	13	2	2	wdcCT	wdcCT	23	
1	1	wdcCT	14	2	2	wdcCT	wdcCT	27	
1	1	wdcCT	15	2	2	wdcCT	wdcCT	1	
1	1	wdcCT	16	2	2	wdcCT	wdcCT	4	
1	1	wdcCT	17	2	2	wdcCT	wdcCT	5	
1	1	wdcCT	18	2	2	wdcCT	wdcCT	23	A
1	1	wdcCT	19	2	2	wdcCT	wdcCT	19	G
1	2	wdcCT	1	3	1	phlSP	wdcCT	15	P
1	2	wdcCT	2	3	1	phlSP	phlSP	21	PU
1	2	wdcCT	3	3	1	phlSP	phlSP	71	
1	2	wdcCT	4	3	1	phlSP	phlSP	13	
1	2	wdcCT	5	3	1	phlSP	phlSP	71	
1	2	wdcCT	6	3	1	phlSP	phlSP	16	
1	2	wdcCT	7	3	1	phlSP	phlSP	64	
1	2	wdcCT	8	3	1	phlSP	phlSP	11	
1	2	wdcCT	9	3	1	phlSP	wdcCT	15	F
1	2	wdcCT	10	3	1	phlSP	phlSP	16	
1	2	wdcCT	11	3	1	phlSP	phlSP	13	
1	2	wdcCT	12	3	1	phlSP	wdcCT	12	F
1	2	wdcCT	13	3	1	phlSP	phlSP	71	
1	2	wdcCT	14	3	1	phlSP	wdcCT	24	D
1	2	wdcCT	15	4	2	wdcCT	wdcCT	12	PU
1	2	wdcCT	16	4	2	wdcCT	wdcCT	7	
1	2	wdcCT	17	4	2	wdcCT	wdcCT	15	
1	2	wdcCT	18	4	2	wdcCT	wdcCT	12	
1	2	wdcCT	19	4	2	wdcCT	wdcCT	15	A
1	2	wdcCT	20	4	2	wdcCT	wdcCT	24	LG
