period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	wdcCT	4	1	1	phlSP	phlSP	9	TD	4	FALSE	FALSE	NA	o_line	TD	off -
1	1	wdcCT	19	2	2	wdcCT	wdcCT	19	G	15	FALSE	TRUE	wdcCT	d_line	G	G
1	2	wdcCT	14	3	1	phlSP	wdcCT	24	D	14	FALSE	FALSE	NA	o_line	D	def +
1	2	wdcCT	20	4	2	wdcCT	wdcCT	24	LG	6	TRUE	TRUE	wdcCT	d_line	G	G
1	3	wdcCT	4	5	1	phlSP	phlSP	20	TA	4	FALSE	FALSE	NA	o_line	TA	off -
1	3	wdcCT	7	6	2	wdcCT	phlSP	9	D	3	FALSE	FALSE	NA	d_line	D	def +
1	3	wdcCT	9	7	3	phlSP	wdcCT	5	D	2	FALSE	FALSE	NA	o_line	D	def +
1	3	wdcCT	14	8	4	wdcCT	phlSP	7	D	5	FALSE	FALSE	NA	d_line	D	def +
1	3	wdcCT	19	9	5	phlSP	phlSP	9	G	5	FALSE	TRUE	phlSP	o_line	G	G
1	4	phlSP	7	10	1	wdcCT	wdcCT	99	TD	7	FALSE	FALSE	NA	o_line	TD	off -
1	4	phlSP	15	11	2	phlSP	phlSP	16	TA	8	FALSE	FALSE	NA	d_line	TA	off -
1	4	phlSP	19	12	3	wdcCT	phlSP	16	D	4	FALSE	FALSE	NA	o_line	D	def +
1	4	phlSP	26	13	4	phlSP	phlSP	11	LG	7	TRUE	TRUE	phlSP	d_line	G	G
1	5	phlSP	9	14	1	wdcCT	wdcCT	8	G	9	FALSE	TRUE	wdcCT	o_line	G	G
1	6	wdcCT	9	15	1	phlSP	wdcCT	12	D	9	FALSE	FALSE	NA	o_line	D	def +
1	6	wdcCT	14	16	2	wdcCT	phlSP	27	D	5	FALSE	FALSE	NA	d_line	D	def +
1	6	wdcCT	23	17	3	phlSP	phlSP	27	TD	9	FALSE	FALSE	NA	o_line	TD	off -
1	6	wdcCT	29	18	4	wdcCT	wdcCT	22	G	6	FALSE	TRUE	wdcCT	d_line	G	G
1	7	wdcCT	9	19	1	phlSP	phlSP	21	G	9	FALSE	TRUE	phlSP	o_line	G	G
1	8	phlSP	10	20	1	wdcCT	wdcCT	2	TD	10	FALSE	FALSE	NA	o_line	TD	off -
1	8	phlSP	11	21	2	phlSP	phlSP	64	TA	1	FALSE	FALSE	NA	d_line	TA	off -
1	8	phlSP	13	22	3	wdcCT	phlSP	22	eop	2	FALSE	FALSE	NA	o_line	eop	eop
2	9	phlSP	5	23	1	wdcCT	wdcCT	45	LG	5	TRUE	TRUE	wdcCT	o_line	G	G
2	10	wdcCT	15	24	1	phlSP	phlSP	32	G	15	FALSE	TRUE	phlSP	o_line	G	G
2	11	phlSP	8	25	1	wdcCT	wdcCT	90	G	8	FALSE	TRUE	wdcCT	o_line	G	G
