game	player	points	goals	assists	Ds
2014-04-12_wdcCT-at-phlSP	phlSP-11-esser	3	3	0	1
2014-04-12_wdcCT-at-phlSP	phlSP-14-glazer	3	3	0	0
2014-04-12_wdcCT-at-phlSP	phlSP-16-shull	3	2	1	1
2014-04-12_wdcCT-at-phlSP	phlSP-32-scharadin	3	2	1	1
2014-04-12_wdcCT-at-phlSP	phlSP-9-diviney	3	2	1	1
2014-04-12_wdcCT-at-phlSP	phlSP-27-rainwater	3	1	2	2
2014-04-12_wdcCT-at-phlSP	phlSP-21-panna	3	1	2	1
2014-04-12_wdcCT-at-phlSP	phlSP-20-baer	3	1	2	0
2014-04-12_wdcCT-at-phlSP	phlSP-71-mcclellan	3	1	2	0
2014-04-12_wdcCT-at-phlSP	phlSP-64-brasz	2	0	2	1
2014-04-12_wdcCT-at-phlSP	phlSP-1-peters	2	0	2	0
2014-04-12_wdcCT-at-phlSP	phlSP-22-paparone	1	1	0	2
2014-04-12_wdcCT-at-phlSP	phlSP-6-chou	1	1	0	1
2014-04-12_wdcCT-at-phlSP	phlSP-7-hirannet	1	0	1	1
2014-04-12_wdcCT-at-phlSP	phlSP-13-brandolph	1	0	1	0
2014-04-12_wdcCT-at-phlSP	phlSP-31-lindsey	1	0	1	0
2014-04-12_wdcCT-at-phlSP	wdcCT-8-prial	6	4	2	1
2014-04-12_wdcCT-at-phlSP	wdcCT-32-peters	5	3	2	0
2014-04-12_wdcCT-at-phlSP	wdcCT-99-kolick	5	0	5	1
2014-04-12_wdcCT-at-phlSP	wdcCT-19-maloney	3	3	0	0
2014-04-12_wdcCT-at-phlSP	wdcCT-9-doi	3	2	1	0
2014-04-12_wdcCT-at-phlSP	wdcCT-2-keegan	3	1	2	0
2014-04-12_wdcCT-at-phlSP	wdcCT-90-shofner	3	1	2	0
2014-04-12_wdcCT-at-phlSP	wdcCT-23-tsai	2	1	1	1
2014-04-12_wdcCT-at-phlSP	wdcCT-6-gordon	2	1	1	1
2014-04-12_wdcCT-at-phlSP	wdcCT-22-marshall	2	1	1	0
2014-04-12_wdcCT-at-phlSP	wdcCT-15-castine	2	0	2	1
2014-04-12_wdcCT-at-phlSP	wdcCT-24-fleming	1	1	0	1
2014-04-12_wdcCT-at-phlSP	wdcCT-88-oung	1	1	0	1
2014-04-12_wdcCT-at-phlSP	wdcCT-45-wodatch	1	1	0	0
2014-04-12_wdcCT-at-phlSP	wdcCT-80-grabowski	1	1	0	0
2014-04-12_wdcCT-at-phlSP	wdcCT-1-kantor	1	0	1	0
2014-04-12_wdcCT-at-phlSP	wdcCT-27-johnston	1	0	1	0
2014-04-12_wdcCT-at-phlSP	wdcCT-4-johnson	0	0	0	2
2014-04-12_wdcCT-at-phlSP	wdcCT-12-bellinger	0	0	0	1
2014-04-12_wdcCT-at-phlSP	wdcCT-5-cranston	0	0	0	1
2014-04-12_wdcCT-at-phlSP	wdcCT-7-boylan-kolchin	0	0	0	1
