point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	61	P		
1	2			4	PU
1	3			13	
1	4			21	
1	5			00	
1	6			1	
1	7			00	
1	8			77	
1	9			00	
1	10			21	
1	11			13	
1	12			1	
1	13			17	
1	14			21	
1	15			00	
1	16			4	
1	17			13	
1	18			1	
1	19			00	G
2	1	11	P		
2	2			88	PU
2	3			99	
2	4			90	
2	5			99	
2	6			90	
2	7			99	
2	8			45	
2	9			8	
2	10			9	
2	11			45	G
3	1	22	P		
3	2			13	PU
3	3			4	
3	4			21	L
3	5			77	G
4	1	43	P		
4	2			88	PU
4	3			99	
4	4			8	
4	5			99	
4	6			8	
4	7			99	
4	8			88	L
4	9			8	G
5	1	61	P		
5	2			00	PU
5	3			13	
5	4			1	
5	5			21	
5	6			1	
5	7			21	
5	8			00	
5	9			1	
5	10			00	
5	11			77	
5	12			17	G
6	1	7	P		
6	2			88	PU
6	3			99	
6	4			27	
6	5			32	
6	6	12	PU		
6	7	11			
6	8			99	PU
6	9			88	
6	10			27	
6	11			8	
6	12			80	
6	13			8	
6	14			9	
6	15			8	
6	16			27	
6	17			99	
6	18			27	
6	19			8	
6	20			99	
6	21			8	
6	22			88	
6	23			99	
6	24	14	F		
6	25			32	G
7	1	22	P		
7	2			00	PU
7	3			4	
7	4			3	
7	5			21	
7	6			13	
7	7			21	
7	8			4	
7	9			00	
7	10			13	LG
8	1	43	P		
8	2			8	PU
8	3			99	
8	4			90	
8	5			45	
8	6			8	
8	7			80	LG
9	1	61	P		
9	2			13	PU
9	3			4	
9	4	21	D		
9	5	12	PU		
9	6	5			
9	7	61			
9	8	17			
9	9	24			
9	10	61			
9	11	12	L		
9	12	5			
9	13	12			
9	14	17			
9	15	6	G		
10	1	22	P		
10	2			4	PU
10	3			21	F
10	4	27	PU		
10	5	31			
10	6	27			
10	7	31			
10	8			21	D
10	9			21	
10	10			7	
10	11			21	LG
11	1	11	P		
11	2			90	PU
11	3			45	
11	4			99	
11	5			9	
11	6			32	
11	7			8	
11	8			99	
11	9			45	
11	10			9	
11	11			99	
11	12			32	G
12	1	61	P		
12	2			00	PU
12	3			4	
12	4			17	
12	5			1	
12	6			13	
12	7			00	
12	8			1	
12	9			4	
12	10			13	
12	11			4	
12	12			1	
12	13			21	G
13	1	43	P		
13	2			88	PU
13	3			8	
13	4			88	
13	5			99	
13	6			45	
13	7			90	
13	8			8	
13	9			99	
13	10			88	
13	11	5	D		
13	12	43	PU		
13	13			8	D
13	14			99	PU
13	15			90	
13	16			80	
13	17			8	
13	18			99	
13	19			8	
13	20			90	
13	21			8	
13	22	64	F		
13	23			99	
13	24			88	
13	25			90	L
13	26			90	SO
13	27			32	SI
13	28			2	
13	29			99	G
14	1	22	P		
14	2			00	PU
14	3			13	
14	4			77	
14	5			4	
14	6			00	
14	7			21	
14	8			77	LG
15	1	11	P		
15	2			99	PU
15	3			2	
15	4			8	
15	5			45	
15	6			32	
15	7	25	F		
15	8			2	
15	9			80	
15	10			8	TD
15	11	14	PU		
15	12	28			
15	13			32	D
15	14			88	PU
15	15			8	
15	16			99	G
16	1	61	P		
16	2			00	PU
16	3			4	
16	4			00	
16	5			1	
16	6			21	
16	7			00	
16	8			21	
16	9			00	
16	10			1	
16	11	24	D		
16	12	12	PU		
16	13	5			
16	14	12			
16	15			21	PU
16	16			4	
16	17	5	D		
16	18	61	TO		
16	19	99	PU		
16	20	90			
16	21	45	LG		
17	1	22	P		
17	2			00	PU
17	3			13	
17	4			3	
17	5			00	
17	6			21	
17	7			1	
17	8			21	TD
17	9	27	PU		
17	10	22			
17	11	25			
17	12			13	PU
17	13			77	
17	14			1	
17	15			3	G
18	1	11	P		
18	2			2	PU
18	3			99	
18	4			2	
18	5			90	
18	6			2	
18	7			90	
18	8	25	D		
18	9	13	PU		
18	10	1			
18	11	13			
18	12	17			
18	13	1			
18	14	13			
18	15	21			
18	16	17			
18	17	21			
18	18	4			
18	19	13			
18	20	77			
18	21	4			
18	22	13			
18	23	21			
18	24	13			
18	25	21	G		
19	1	43	P		
19	2			32	PU
19	3			99	
19	4			32	
19	5			88	
19	6			8	
19	7			2	
19	8	43	PU		
19	9	7			
19	10			32	PU
19	11			8	
19	12			32	
19	13			99	
19	14			2	
19	15			32	
19	16			9	
19	17			45	
19	18			32	
19	19			8	TO
19	20			8	PU
19	21			99	
19	22			2	
19	23			88	
19	24	12	D		
19	25	13	PU		
19	26			8	D
20	1	61	P		
20	2			4	PU
20	3			13	
20	4			4	
20	5			13	
20	6			00	
20	7			13	
20	8			1	
20	9			21	
20	10			13	
20	11			4	
20	12			00	
20	13			77	
20	14			13	
20	15			00	
20	16			77	G
21	1	11	P		
21	2			2	PU
21	3			99	
21	4			90	
21	5			99	
21	6			90	
21	7			99	
21	8			90	
21	9	27	D		
21	10	12	PU		
21	11	14			
21	12	27	LG		
22	1	43	P		
22	2			8	PU
22	3			99	
22	4			9	
22	5			99	
22	6			90	
22	7			45	LG
23	1	22	P		
23	2			13	PU
23	3			4	
23	4			77	
23	5			4	
23	6			00	
23	7			13	
23	8			17	LG
24	1	11	P		
24	2			32	PU
24	3			99	F
24	4			8	L
24	5			80	G
25	1	61	P		
25	2			13	PU
25	3			4	
25	4			13	
25	5			3	
25	6			77	
25	7			00	
25	8			21	
25	9			77	
25	10			1	TD
25	11	61	PU		
25	12			1	PU
25	13			4	
25	14			21	
25	15			00	
25	16			77	
25	17			1	
25	18			4	
25	19			13	
25	20	24	D		
25	21	24	TO		
25	22	99	PU		
25	23	8			
25	24	90			
25	25			7	PU
25	26			6	G
26	1	11	P		
26	2			32	PU
26	3			99	
26	4			2	
26	5			80	
26	6			2	
26	7			99	
26	8			8	
26	9			9	
26	10			99	
26	11			2	G
27	1	22	P		
27	2			13	PU
27	3			4	
27	4			21	
27	5			00	
27	6			1	
27	7			17	
27	8			13	
27	9			00	
27	10			21	
27	11			1	
27	12	27	PU		
27	13	1			
27	14	27			
27	15	1			
27	16			13	F
27	17	25			
27	18	1	TO		
27	19	99	PU		
27	20	9			
27	21	99			
27	22	45			
27	23	99			
27	24	32			
27	25	9			
27	26			7	PU
27	27			43	TO
27	28			13	PU
27	29			4	
27	30			77	
27	31			17	
27	32			00	
27	33			77	
27	34			4	
27	35	5	F		
27	36			13	
27	37			1	
27	38			21	
27	39			00	
27	40			1	
27	41			4	
27	42			77	
27	43			00	
27	44			1	
27	45			4	
27	46			1	
27	47			00	
27	48			17	
27	49			21	
27	50			77	
27	51			4	G
28	1	11	P		
28	2			32	PU
28	3			99	
28	4			88	
28	5			8	
28	6			90	
28	7			99	
28	8			2	G
29	1	22	P		
29	2			13	PU
29	3			4	
29	4			77	
29	5			21	TO
29	6			1	PU
29	7			4	
29	8			7	
29	9			77	G
30	1	43	P		
30	2			2	PU
30	3			99	
30	4			88	
30	5			8	
30	6	43	D		
30	7	27	PU		
30	8	64			
30	9			32	D
30	10			32	
31	1	11	P		
31	2			99	PU
31	3			2	
31	4			99	
31	5			32	
31	6			45	
31	7			32	
31	8	28	D		
31	9	25	PU		
31	10	14			
31	11	17			
31	12	11	TD		
31	13			2	PU
31	14			45	
31	15			8	
31	16			99	
31	17			9	
31	18			99	
31	19			8	
31	20			99	
31	21			8	
31	22			99	
31	23			2	
31	24			99	
31	25			2	
31	26			88	
31	27	27	D		
31	28	14	PU		
31	29	12			
31	30	14			
31	31	17			
31	32	12			
31	33	28			
31	34	11			
31	35	12			
31	36			8	D
31	37			99	PU
31	38			45	
31	39			8	
31	40			9	G
32	1	61	P		
32	2			00	PU
32	3			13	
32	4			21	
32	5			4	
32	6			00	
32	7			3	
32	8	61	PU		
32	9	12			
32	10	17			
32	11	5			
32	12	12			
32	13	5			
32	14	6			
32	15	5			
32	16	17			
32	17	5			
32	18			13	F
32	19	61			
32	20			21	D
32	21			13	PU
32	22			21	
32	23			77	
32	24			13	
32	25			4	
32	26			00	
32	27			3	
32	28			1	
32	29			21	
32	30	24	F		
32	31			4	
32	32			00	
32	33			4	
32	34			13	
32	35			4	
32	36			1	
32	37			21	
32	38			4	
32	39			1	
32	40			21	G
33	1	43	P		
33	2			88	PU
33	3			99	
33	4			9	
33	5			90	
33	6			2	
33	7			45	LG
34	1	22	P		
34	2			13	PU
34	3			4	
34	4			1	
34	5			7	
34	6			77	
34	7			21	
34	8			7	
34	9			4	
34	10			17	
34	11			21	VST
34	12	27	PU		
34	13	23			
34	14	6			
34	15	22	G		
35	1	32	P		
35	2			00	PU
35	3			13	
35	4			00	
35	5			13	
35	6			3	
35	7			21	
35	8	7	D		
35	9	99	PU		
35	10	32			
35	11	99			
35	12	32			
35	13	99			
35	14	32			
35	15	8			
35	16	99			
35	17	5			
35	18	99			
35	19	32	G		
36	1	61	P		
36	2			00	PU
36	3			7	
36	4			00	
36	5			21	
36	6			7	
36	7			12	
36	8			77	
36	9			12	
36	10			1	
36	11			12	
36	12	19	F		
36	13			14	
36	14			7	
36	15			21	G
37	1	43	P		
37	2			88	PU
37	3			99	
37	4			2	
37	5			88	
37	6			2	
37	7			90	
37	8	13	F		
37	9			8	
37	10			88	G
