point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	wdcCT	pt_dur	pt_dur_txt
1	1	10:00:00	8:45:00	wdcCT	1	bosWC	hold	1	0	75	01:15
2	1	8:45:00	8:17:00	bosWC	1	wdcCT	hold	1	1	28	00:28
3	1	8:17:00	8:02:00	wdcCT	1	bosWC	hold	2	1	15	00:15
4	1	8:02:00	7:29:00	bosWC	1	wdcCT	hold	2	2	33	00:33
5	1	7:29:00	6:44:00	wdcCT	1	bosWC	hold	3	2	45	00:45
6	1	6:44:00	4:39:00	bosWC	3	wdcCT	hold	3	3	125	02:05
7	1	4:39:00	4:05:00	wdcCT	1	bosWC	hold	4	3	34	00:34
8	1	4:05:00	3:46:00	bosWC	1	wdcCT	hold	4	4	19	00:19
9	1	3:46:00	2:25:00	wdcCT	2	wdcCT	break	4	5	81	01:21
10	1	2:25:00	1:26:00	wdcCT	3	bosWC	hold	5	5	59	00:59
11	1	1:26:00	0:42:00	bosWC	1	wdcCT	hold	5	6	44	00:44
12	1	0:42:00	0:00:00	wdcCT	1	bosWC	hold	6	6	42	00:42
13	2	10:00:00	7:28:00	bosWC	3	wdcCT	hold	6	7	152	02:32
14	2	7:28:00	7:07:00	wdcCT	1	bosWC	hold	7	7	21	00:21
15	2	7:07:00	5:54:00	bosWC	3	wdcCT	hold	7	8	73	01:13
16	2	5:54:00	4:25:00	wdcCT	4	wdcCT	break	7	9	89	01:29
17	2	4:25:00	3:26:00	wdcCT	3	bosWC	hold	8	9	59	00:59
18	2	3:26:00	1:35:00	bosWC	2	bosWC	break	9	9	111	01:51
19	2	1:35:00	0:00:00	bosWC	NA	NA	NA	9	9	95	01:35
20	3	10:00:00	9:11:00	wdcCT	1	bosWC	hold	10	9	49	00:49
21	3	9:11:00	8:43:00	bosWC	2	bosWC	break	11	9	28	00:28
22	3	8:43:00	8:24:00	bosWC	1	wdcCT	hold	11	10	19	00:19
23	3	8:24:00	7:52:00	wdcCT	1	bosWC	hold	12	10	32	00:32
24	3	7:52:00	7:23:00	bosWC	1	wdcCT	hold	12	11	29	00:29
25	3	7:23:00	5:40:00	wdcCT	5	bosWC	hold	13	11	103	01:43
26	3	5:40:00	5:09:00	bosWC	1	wdcCT	hold	13	12	31	00:31
27	3	5:09:00	1:28:00	wdcCT	3	bosWC	hold	14	12	221	03:41
28	3	1:28:00	1:03:00	bosWC	1	wdcCT	hold	14	13	25	00:25
29	3	1:03:00	0:34:00	wdcCT	1	bosWC	hold	15	13	29	00:29
30	3	0:34:00	0:00:00	bosWC	NA	NA	NA	15	13	34	00:34
31	4	10:00:00	7:21:00	bosWC	5	wdcCT	hold	15	14	159	02:39
32	4	7:21:00	4:03:00	wdcCT	3	bosWC	hold	16	14	198	03:18
33	4	4:03:00	3:40:00	bosWC	1	wdcCT	hold	16	15	23	00:23
34	4	3:40:00	2:32:00	wdcCT	2	wdcCT	break	16	16	68	01:08
35	4	2:32:00	1:20:00	wdcCT	2	wdcCT	break	16	17	72	01:12
36	4	1:20:00	0:29:00	wdcCT	1	bosWC	hold	17	17	51	00:51
37	4	0:29:00	0:00:00	bosWC	1	wdcCT	hold	17	18	29	00:29
