game	player	points	goals	assists	Ds
2014-04-19_bosWC-at-wdcCT	bosWC-21-graham	7	5	2	2
2014-04-19_bosWC-at-wdcCT	bosWC-77-clark	6	4	2	0
2014-04-19_bosWC-at-wdcCT	bosWC-1-markette	4	0	4	0
2014-04-19_bosWC-at-wdcCT	bosWC-7-brecher	4	0	4	0
2014-04-19_bosWC-at-wdcCT	bosWC-00-taylor	3	1	2	0
2014-04-19_bosWC-at-wdcCT	bosWC-13-malacek	3	1	2	0
2014-04-19_bosWC-at-wdcCT	bosWC-17-foster	2	2	0	0
2014-04-19_bosWC-at-wdcCT	bosWC-27-hatchett	1	1	0	2
2014-04-19_bosWC-at-wdcCT	bosWC-3-zid	1	1	0	0
2014-04-19_bosWC-at-wdcCT	bosWC-4-rebholz	1	1	0	0
2014-04-19_bosWC-at-wdcCT	bosWC-6-roth	1	1	0	0
2014-04-19_bosWC-at-wdcCT	bosWC-14-montgomery-butler	1	0	1	0
2014-04-19_bosWC-at-wdcCT	bosWC-12-simmons	0	0	0	1
2014-04-19_bosWC-at-wdcCT	bosWC-25-mcdonnell	0	0	0	1
2014-04-19_bosWC-at-wdcCT	bosWC-28-trahey	0	0	0	1
2014-04-19_bosWC-at-wdcCT	bosWC-43-hirschberger	0	0	0	1
2014-04-19_bosWC-at-wdcCT	bosWC-5-doherty	0	0	0	1
2014-04-19_bosWC-at-wdcCT	wdcCT-99-kolick	7	2	5	0
2014-04-19_bosWC-at-wdcCT	wdcCT-8-prial	6	1	5	3
2014-04-19_bosWC-at-wdcCT	wdcCT-45-wodatch	4	4	0	0
2014-04-19_bosWC-at-wdcCT	wdcCT-2-keegan	4	2	2	0
2014-04-19_bosWC-at-wdcCT	wdcCT-32-peters	3	3	0	2
2014-04-19_bosWC-at-wdcCT	wdcCT-80-grabowski	2	2	0	0
2014-04-19_bosWC-at-wdcCT	wdcCT-6-gordon	2	1	1	0
2014-04-19_bosWC-at-wdcCT	wdcCT-88-oung	2	1	1	0
2014-04-19_bosWC-at-wdcCT	wdcCT-9-doi	2	1	1	0
2014-04-19_bosWC-at-wdcCT	wdcCT-90-shofner	2	0	2	0
2014-04-19_bosWC-at-wdcCT	wdcCT-22-marshall	1	1	0	0
2014-04-19_bosWC-at-wdcCT	wdcCT-17-miner	1	0	1	0
2014-04-19_bosWC-at-wdcCT	wdcCT-24-fleming	0	0	0	2
2014-04-19_bosWC-at-wdcCT	wdcCT-21-dulabon	0	0	0	1
2014-04-19_bosWC-at-wdcCT	wdcCT-5-cranston	0	0	0	1
2014-04-19_bosWC-at-wdcCT	wdcCT-7-boylan-kolchin	0	0	0	1
