period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	nykRM	4	1	1	phlSP	phlSP	1	TA	4	FALSE	FALSE	NA	o_line	TA	off -
1	1	nykRM	6	2	2	nykRM	nykRM	21	TD	2	FALSE	FALSE	NA	d_line	TD	off -
1	1	nykRM	8	3	3	phlSP	phlSP	20	G	2	FALSE	TRUE	phlSP	o_line	G	G
1	2	phlSP	11	4	1	nykRM	nykRM	14	G	11	FALSE	TRUE	nykRM	o_line	G	G
1	3	nykRM	11	5	1	phlSP	phlSP	27	G	11	TRUE	TRUE	phlSP	o_line	G	G
1	4	phlSP	12	6	1	nykRM	nykRM	44	G	12	TRUE	TRUE	nykRM	o_line	G	G
1	5	nykRM	10	7	1	phlSP	phlSP	7	G	10	FALSE	TRUE	phlSP	o_line	G	G
1	6	phlSP	13	8	1	nykRM	nykRM	19	G	13	FALSE	TRUE	nykRM	o_line	G	G
1	7	nykRM	10	9	1	phlSP	phlSP	13	TA	10	FALSE	FALSE	NA	o_line	TA	off -
1	7	nykRM	15	10	2	nykRM	nykRM	38	TA	5	FALSE	FALSE	NA	d_line	TA	off -
1	7	nykRM	18	11	3	phlSP	nykRM	21	D	3	FALSE	FALSE	NA	o_line	D	def +
1	7	nykRM	23	12	4	nykRM	nykRM	13	G	5	FALSE	TRUE	nykRM	d_line	G	G
1	8	nykRM	9	13	1	phlSP	nykRM	82	D	9	FALSE	FALSE	NA	o_line	D	def +
1	8	nykRM	11	14	2	nykRM	nykRM	27	TD	2	FALSE	FALSE	NA	d_line	TD	off -
1	8	nykRM	14	15	3	phlSP	nykRM	82	D	3	FALSE	FALSE	NA	o_line	D	def +
1	8	nykRM	26	16	4	nykRM	nykRM	6	TA	12	FALSE	FALSE	NA	d_line	TA	off -
1	8	nykRM	28	17	5	phlSP	nykRM	8	D	2	FALSE	FALSE	NA	o_line	D	def +
1	8	nykRM	34	18	6	nykRM	nykRM	81	TD	6	FALSE	FALSE	NA	d_line	TD	off -
1	8	nykRM	48	19	7	phlSP	phlSP	9	G	14	TRUE	TRUE	phlSP	o_line	G	G
1	9	phlSP	9	20	1	nykRM	nykRM	41	G	9	FALSE	TRUE	nykRM	o_line	G	G
1	10	nykRM	5	21	1	phlSP	nykRM	21	D	5	TRUE	FALSE	NA	o_line	D	def +
1	10	nykRM	9	22	2	nykRM	nykRM	38	LG	4	TRUE	TRUE	nykRM	d_line	G	G
2	11	nykRM	3	23	1	phlSP	phlSP	20	TA	3	FALSE	FALSE	NA	o_line	TA	off -
2	11	nykRM	7	24	2	nykRM	nykRM	22	G	4	FALSE	TRUE	nykRM	d_line	G	G
2	12	nykRM	6	25	1	phlSP	phlSP	64	TA	6	FALSE	FALSE	NA	o_line	TA	off -
2	12	nykRM	15	26	2	nykRM	nykRM	81	G	9	FALSE	TRUE	nykRM	d_line	G	G
2	13	nykRM	5	27	1	phlSP	phlSP	32	TA	5	FALSE	FALSE	NA	o_line	TA	off -
2	13	nykRM	9	28	2	nykRM	phlSP	32	D	4	FALSE	FALSE	NA	d_line	D	def +
2	13	nykRM	16	29	3	phlSP	phlSP	12	G	7	TRUE	TRUE	phlSP	o_line	G	G
2	14	phlSP	10	30	1	nykRM	nykRM	44	G	10	FALSE	TRUE	nykRM	o_line	G	G
2	15	nykRM	7	31	1	phlSP	phlSP	27	TA	7	FALSE	FALSE	NA	o_line	TA	off -
2	15	nykRM	12	32	2	nykRM	nykRM	21	TD	5	FALSE	FALSE	NA	d_line	TD	off -
2	15	nykRM	18	33	3	phlSP	phlSP	32	G	6	FALSE	TRUE	phlSP	o_line	G	G
2	16	phlSP	14	34	1	nykRM	phlSP	6	D	14	FALSE	FALSE	NA	o_line	D	def +
2	16	phlSP	22	35	2	phlSP	phlSP	11	G	8	FALSE	TRUE	phlSP	d_line	G	G
2	17	phlSP	12	36	1	nykRM	nykRM	44	G	12	FALSE	TRUE	nykRM	o_line	G	G
2	18	nykRM	7	37	1	phlSP	phlSP	32	G	7	FALSE	TRUE	phlSP	o_line	G	G
2	19	phlSP	6	38	1	nykRM	phlSP	11	D	6	FALSE	FALSE	NA	o_line	D	def +
2	19	phlSP	13	39	2	phlSP	phlSP	64	TA	7	FALSE	FALSE	NA	d_line	TA	off -
2	19	phlSP	25	40	3	nykRM	nykRM	19	G	12	FALSE	TRUE	nykRM	o_line	G	G
2	20	nykRM	11	41	1	phlSP	phlSP	20	G	11	FALSE	TRUE	phlSP	o_line	G	G
2	21	phlSP	7	42	1	nykRM	phlSP	22	eop	7	FALSE	FALSE	NA	o_line	eop	eop
3	22	phlSP	8	43	1	nykRM	nykRM	14	G	8	FALSE	TRUE	nykRM	o_line	G	G
3	23	nykRM	9	44	1	phlSP	nykRM	21	D	9	FALSE	FALSE	NA	o_line	D	def +
3	23	nykRM	11	45	2	nykRM	nykRM	21	G	2	FALSE	TRUE	nykRM	d_line	G	G
3	24	nykRM	14	46	1	phlSP	phlSP	16	TD	14	FALSE	FALSE	NA	o_line	TD	off -
3	24	nykRM	20	47	2	nykRM	nykRM	7	TA	6	FALSE	FALSE	NA	d_line	TA	off -
3	24	nykRM	29	48	3	phlSP	phlSP	13	G	9	TRUE	TRUE	phlSP	o_line	G	G
3	25	phlSP	7	49	1	nykRM	nykRM	14	LG	7	TRUE	TRUE	nykRM	o_line	G	G
3	26	nykRM	6	50	1	phlSP	phlSP	32	TA	6	FALSE	FALSE	NA	o_line	TA	off -
3	26	nykRM	10	51	2	nykRM	phlSP	1	HB	4	FALSE	FALSE	NA	d_line	D	def +
3	26	nykRM	13	52	3	phlSP	phlSP	11	G	3	FALSE	TRUE	phlSP	o_line	G	G
3	27	phlSP	17	53	1	nykRM	nykRM	44	G	17	FALSE	TRUE	nykRM	o_line	G	G
3	28	nykRM	5	54	1	phlSP	nykRM	38	D	5	FALSE	FALSE	NA	o_line	D	def +
3	28	nykRM	10	55	2	nykRM	nykRM	3	LG	5	TRUE	TRUE	nykRM	d_line	G	G
3	29	nykRM	5	56	1	phlSP	phlSP	16	LG	5	TRUE	TRUE	phlSP	o_line	G	G
3	30	phlSP	12	57	1	nykRM	nykRM	18	G	12	FALSE	TRUE	nykRM	o_line	G	G
3	31	nykRM	12	58	1	phlSP	phlSP	9	LG	12	TRUE	TRUE	phlSP	o_line	G	G
3	32	phlSP	7	59	1	nykRM	phlSP	11	D	7	FALSE	FALSE	NA	o_line	D	def +
3	32	phlSP	14	60	2	phlSP	phlSP	31	LG	7	TRUE	TRUE	phlSP	d_line	G	G
3	33	phlSP	10	61	1	nykRM	phlSP	8	D	10	FALSE	FALSE	NA	o_line	D	def +
3	33	phlSP	17	62	2	phlSP	phlSP	71	LG	7	TRUE	TRUE	phlSP	d_line	G	G
3	34	phlSP	5	63	1	nykRM	phlSP	31	D	5	FALSE	FALSE	NA	o_line	D	def +
3	34	phlSP	7	64	2	phlSP	nykRM	19	eop	2	FALSE	FALSE	NA	d_line	eop	eop
4	35	nykRM	9	65	1	phlSP	phlSP	7	TD	9	FALSE	FALSE	NA	o_line	TD	off -
4	35	nykRM	11	66	2	nykRM	nykRM	7	TA	2	FALSE	FALSE	NA	d_line	TA	off -
4	35	nykRM	14	67	3	phlSP	nykRM	13	D	3	FALSE	FALSE	NA	o_line	D	def +
