poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	phlSP-7		O-CTH	phlSP-20	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-1	TRUE	compl
1	1	1	4	4	an	-1	O-CTH	phlSP-1		NA	phlSP-1	TRUE	taway
2	2	1	5	6	ao	0	O-PU	nykRM-7		O-TD	nykRM-21	TRUE	drop
3	3	1	7	8	ao	0	O-PU	phlSP-7		O-G	phlSP-20	TRUE	compl
4	1	2	2	3	ao	0	O-PU	nykRM-19		O-CTH	nykRM-6	TRUE	compl
4	1	2	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-14	TRUE	compl
4	1	2	4	5	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-22	TRUE	compl
4	1	2	5	6	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-41	TRUE	compl
4	1	2	6	7	ao	0	O-CTH	nykRM-41		O-CTH	nykRM-6	TRUE	compl
4	1	2	7	8	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-19	TRUE	compl
4	1	2	8	9	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-22	TRUE	compl
4	1	2	9	10	ao	0	O-CTH	nykRM-22		O-CTH	nykRM-19	TRUE	compl
4	1	2	10	11	ao	0	O-CTH	nykRM-19		O-G	nykRM-14	TRUE	compl
5	1	3	2	3	ao	0	O-PU	phlSP-7		O-CTH	phlSP-20	TRUE	compl
5	1	3	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-1	TRUE	compl
5	1	3	4	5	ao	0	O-CTH	phlSP-1		O-CTH	phlSP-14	TRUE	compl
5	1	3	5	6	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-20	TRUE	compl
5	1	3	6	7	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-7	TRUE	compl
5	1	3	7	8	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-14	TRUE	compl
5	1	3	8	9	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-7	TRUE	compl
5	1	3	9	10	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-32	TRUE	compl
5	1	3	10	11	ao	0	O-CTH	phlSP-32		O-G	phlSP-27	TRUE	compl
6	1	4	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-6	TRUE	compl
6	1	4	3	4	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-14	TRUE	compl
6	1	4	4	5	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-6	TRUE	compl
6	1	4	5	6	ao	0	O-CTH	nykRM-6		O-CTH	nykRM-4	TRUE	compl
6	1	4	6	7	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-19	TRUE	compl
6	1	4	7	8	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
6	1	4	8	9	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-4	TRUE	compl
6	1	4	9	10	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-19	TRUE	compl
6	1	4	10	11	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-22	TRUE	compl
6	1	4	11	12	ao	0	O-CTH	nykRM-22		O-G	nykRM-44	TRUE	compl
7	1	5	2	3	ao	0	O-PU	phlSP-7		O-CTH	phlSP-20	TRUE	compl
7	1	5	3	4	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-9	TRUE	compl
7	1	5	4	5	ao	0	O-CTH	phlSP-9		O-CTH	phlSP-27	TRUE	compl
7	1	5	5	6	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-14	TRUE	compl
7	1	5	6	7	ao	0	O-CTH	phlSP-14		O-CTH	phlSP-7	TRUE	compl
7	1	5	7	8	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-27	TRUE	compl
7	1	5	8	9	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-32	TRUE	compl
7	1	5	9	10	ao	0	O-CTH	phlSP-32		O-G	phlSP-7	TRUE	compl
8	1	6	2	3	ao	0	O-PU	nykRM-4		O-CTH	nykRM-6	TRUE	compl
