poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-20	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-17	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-20	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-17	TRUE	compl
1	1	1	6	7	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-51	TRUE	compl
1	1	1	7	8	ao	0	O-CTH	seaRM-51		O-CTH	seaRM-00	TRUE	compl
1	1	1	8	9	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-20	TRUE	compl
1	1	1	9	10	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-99	TRUE	compl
1	1	1	10	11	ao	0	O-CTH	seaRM-99		O-CTH	seaRM-00	TRUE	compl
1	1	1	11	12	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-17	TRUE	compl
1	1	1	12	13	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-25	TRUE	compl
1	1	1	13	14	ao	0	O-CTH	seaRM-25		O-G	seaRM-6	TRUE	compl
2	1	2	2	3	ao	0	O-PU	sfoDF-11		O-CTH	sfoDF-83	TRUE	compl
2	1	2	3	4	ao	0	O-CTH	sfoDF-83		O-CTH	sfoDF-88	TRUE	compl
2	1	2	4	5	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-11	TRUE	compl
2	1	2	5	6	ao	0	O-CTH	sfoDF-11		O-CTH	sfoDF-88	TRUE	compl
2	1	2	6	7	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-8	TRUE	compl
2	1	2	7	8	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-57	TRUE	compl
2	1	2	8	9	ao	0	O-CTH	sfoDF-57		O-G	sfoDF-34	TRUE	compl
3	1	3	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-20	TRUE	compl
3	1	3	3	4	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-6	TRUE	compl
3	1	3	4	5	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-20	TRUE	compl
3	1	3	5	6	ao	0	O-CTH	seaRM-20		O-CTH	seaRM-17	TRUE	compl
3	1	3	6	7	ao	0	O-CTH	seaRM-17		O-G	seaRM-25	TRUE	compl
4	1	4	2	3	ao	0	O-PU	sfoDF-11		O-CTH	sfoDF-83	TRUE	compl
4	1	4	3	4	ao	0	O-CTH	sfoDF-83		O-CTH	sfoDF-57	TRUE	compl
4	1	4	4	5	ao	0	O-CTH	sfoDF-57		O-CTH	sfoDF-11	TRUE	compl
4	1	4	5	7	ao	1	O-CTH	sfoDF-11	D-F	O-CTH	sfoDF-34	TRUE	compl
4	1	4	7	8	ao	0	O-CTH	sfoDF-34		O-CTH	sfoDF-83	TRUE	compl
4	1	4	8	9	ao	0	O-CTH	sfoDF-83		D-D	seaRM-23	TRUE	defd
5	2	4	10	11	ao	0	O-PU	seaRM-29		O-CTH	seaRM-21	TRUE	compl
5	2	4	11	12	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-29	TRUE	compl
