period	point	event	pl_team	pl_pnum	pl_code	poss_team
1	1	1	sfoDF	46	P	seaRM
1	1	2	seaRM	17	PU	seaRM
1	1	3	seaRM	20		seaRM
1	1	4	seaRM	17		seaRM
1	1	5	seaRM	20		seaRM
1	1	6	seaRM	17		seaRM
1	1	7	seaRM	51		seaRM
1	1	8	seaRM	00		seaRM
1	1	9	seaRM	20		seaRM
1	1	10	seaRM	99	L	seaRM
1	1	11	seaRM	00		seaRM
1	1	12	seaRM	17		seaRM
1	1	13	seaRM	25	A	seaRM
1	1	14	seaRM	6	G	seaRM
1	2	1	seaRM	24	P	sfoDF
1	2	2	sfoDF	11	PU	sfoDF
1	2	3	sfoDF	83		sfoDF
1	2	4	sfoDF	88		sfoDF
1	2	5	sfoDF	11		sfoDF
1	2	6	sfoDF	88		sfoDF
1	2	7	sfoDF	8		sfoDF
1	2	8	sfoDF	57	LA	sfoDF
1	2	9	sfoDF	34	G	sfoDF
1	3	1	sfoDF	16	P	seaRM
1	3	2	seaRM	00	PU	seaRM
1	3	3	seaRM	20		seaRM
1	3	4	seaRM	6		seaRM
1	3	5	seaRM	20		seaRM
1	3	6	seaRM	17	A	seaRM
1	3	7	seaRM	25	G	seaRM
1	4	1	seaRM	25	P	sfoDF
1	4	2	sfoDF	11	PU	sfoDF
1	4	3	sfoDF	83		sfoDF
1	4	4	sfoDF	57		sfoDF
1	4	5	sfoDF	11		sfoDF
1	4	6	seaRM	21	F	sfoDF
1	4	7	sfoDF	34		sfoDF
1	4	8	sfoDF	83		sfoDF
1	4	9	seaRM	23	D	sfoDF
1	4	10	seaRM	29	PU	seaRM
1	4	11	seaRM	21		seaRM
1	4	12	seaRM	29		seaRM
1	4	13	seaRM	12		seaRM
1	4	14	seaRM	23	TD	seaRM
1	4	15	sfoDF	83	PU	sfoDF
1	4	16	seaRM	13	PU	seaRM
1	4	17	seaRM	21	A	seaRM
1	4	18	seaRM	24	G	seaRM
1	5	1	seaRM	26	P	sfoDF
1	5	2	sfoDF	1	PU	sfoDF
1	5	3	sfoDF	46		sfoDF
1	5	4	sfoDF	1		sfoDF
1	5	5	sfoDF	46		sfoDF
1	5	6	sfoDF	85		sfoDF
1	5	7	sfoDF	16		sfoDF
1	5	8	sfoDF	1	TO	sfoDF
1	5	9	sfoDF	1	PU	sfoDF
1	5	10	sfoDF	16		sfoDF
1	5	11	sfoDF	1		sfoDF
1	5	12	sfoDF	85	TD	sfoDF
1	5	13	seaRM	29	PU	seaRM
1	5	14	seaRM	15		seaRM
1	5	15	seaRM	27		seaRM
1	5	16	seaRM	29		seaRM
1	5	17	seaRM	12		seaRM
1	5	18	sfoDF	1	D	seaRM
1	5	19	sfoDF	1	PU	sfoDF
1	5	20	sfoDF	85	TD	sfoDF
1	5	21	seaRM	29	PU	seaRM
1	5	22	sfoDF	85	D	seaRM
1	5	23	sfoDF	16	PU	sfoDF
1	5	24	sfoDF	11		sfoDF
1	5	25	sfoDF	17	A	sfoDF
1	5	26	sfoDF	46	G	sfoDF
1	6	1	sfoDF	46	P	seaRM
1	6	2	seaRM	17	PU	seaRM
1	6	3	seaRM	20		seaRM
1	6	4	seaRM	99		seaRM
1	6	5	seaRM	17	A	seaRM
1	6	6	seaRM	6	G	seaRM
1	7	1	seaRM	24	OBP	sfoDF
1	7	2	sfoDF	88	PU	sfoDF
1	7	3	seaRM	13	D	sfoDF
1	7	4	seaRM	?		seaRM
1	7	5	seaRM	13	TD	seaRM
1	7	6	sfoDF	88	PU	sfoDF
1	7	7	sfoDF	34		sfoDF
1	7	8	sfoDF	88		sfoDF
1	7	9	sfoDF	34		sfoDF
1	7	10	sfoDF	19	A	sfoDF
1	7	11	sfoDF	24	G	sfoDF
1	8	1	sfoDF	16	P	seaRM
1	8	2	seaRM	25	PU	seaRM
1	8	3	seaRM	20		seaRM
1	8	4	sfoDF	85	D	seaRM
1	8	5	sfoDF	16	PU	sfoDF
1	8	6	sfoDF	18		sfoDF
1	8	7	sfoDF	21		sfoDF
1	8	8	sfoDF	25	TD	sfoDF
1	8	9	seaRM	20	PU	seaRM
1	8	10	seaRM	00		seaRM
1	8	11	seaRM	20		seaRM
1	8	12	seaRM	00	VST	seaRM
1	8	13	sfoDF	16	PU	sfoDF
1	8	14	sfoDF	85		sfoDF
1	8	15	sfoDF	25		sfoDF
1	8	16	seaRM	00	D	sfoDF
1	8	17	seaRM	17	PU	seaRM
1	8	18	sfoDF	18	PU	sfoDF
1	8	19	sfoDF	83	TO	sfoDF
1	8	20	sfoDF	83	PU	sfoDF
2	9	1	sfoDF	46	P	seaRM
2	9	2	seaRM	00	PU	seaRM
2	9	3	seaRM	17		seaRM
2	9	4	seaRM	99		seaRM
2	9	5	seaRM	51		seaRM
2	9	6	seaRM	00		seaRM
2	9	7	seaRM	17		seaRM
2	9	8	seaRM	25	A	seaRM
2	9	9	seaRM	20	G	seaRM
2	10	1	seaRM	24	P	sfoDF
2	10	2	sfoDF	11	PU	sfoDF
2	10	3	sfoDF	86		sfoDF
2	10	4	sfoDF	11		sfoDF
2	10	5	seaRM	23	PU	seaRM
2	10	6	seaRM	21		seaRM
2	10	7	sfoDF	8	HB	seaRM
2	10	8	sfoDF	8	PU	sfoDF
2	10	9	seaRM	21	D	sfoDF
2	10	10	seaRM	29	PU	seaRM
2	10	11	seaRM	13		seaRM
2	10	12	seaRM	29		seaRM
2	10	13	sfoDF	24	PU	sfoDF
2	10	14	sfoDF	34		sfoDF
2	10	15	sfoDF	24		sfoDF
2	10	16	sfoDF	88	A	sfoDF
2	10	17	sfoDF	11	G	sfoDF
2	11	1	sfoDF	46	P	seaRM
2	11	2	seaRM	17	PU	seaRM
2	11	3	seaRM	20		seaRM
2	11	4	seaRM	17		seaRM
2	11	5	seaRM	6		seaRM
2	11	6	seaRM	17		seaRM
2	11	7	seaRM	00		seaRM
2	11	8	seaRM	20		seaRM
2	11	9	seaRM	6		seaRM
2	11	10	seaRM	5		seaRM
2	11	11	seaRM	17		seaRM
2	11	12	seaRM	00		seaRM
2	11	13	seaRM	17		seaRM
2	11	14	seaRM	6		seaRM
2	11	15	seaRM	5	A	seaRM
2	11	16	seaRM	99	G	seaRM
2	12	1	seaRM	24	OBP	sfoDF
2	12	2	sfoDF	88	PU	sfoDF
2	12	3	sfoDF	11		sfoDF
2	12	4	sfoDF	21		sfoDF
2	12	5	sfoDF	19		sfoDF
2	12	6	sfoDF	88		sfoDF
2	12	7	sfoDF	14		sfoDF
2	12	8	sfoDF	11	A	sfoDF
2	12	9	sfoDF	24	LG	sfoDF
2	13	1	sfoDF	16	P	seaRM
2	13	2	seaRM	00	PU	seaRM
2	13	3	seaRM	20		seaRM
2	13	4	seaRM	99		seaRM
2	13	5	seaRM	25	L	seaRM
2	13	6	seaRM	17		seaRM
2	13	7	seaRM	25	A	seaRM
2	13	8	seaRM	17	G	seaRM
2	14	1	seaRM	29	P	sfoDF
