point	period	clk_before	clk_after	pull_team	scor_team	seaRM	sfoDF
1	1	10:00:00	9:06:00	sfoDF	seaRM	1	0
2	1	9:06:00	8:37:00	seaRM	sfoDF	1	1
3	1	8:37:00	7:42:00	sfoDF	seaRM	2	1
4	1	7:42:00	5:15:00	seaRM	seaRM	3	1
5	1	5:15:00	3:15:00	seaRM	sfoDF	3	2
6	1	3:15:00	2:57:00	sfoDF	seaRM	4	2
7	1	2:57:00	2:14:00	seaRM	sfoDF	4	3
8	1	2:14:00	0:00:00	sfoDF	NA	4	3
9	2	10:00:00	9:37:00	sfoDF	seaRM	5	3
10	2	9:37:00	8:23:00	seaRM	sfoDF	5	4
11	2	8:23:00	7:31:00	sfoDF	seaRM	6	4
12	2	7:31:00	7:00:00	seaRM	sfoDF	6	5
13	2	7:00:00	6:37:00	sfoDF	seaRM	7	5
14	2	6:37:00	6:03:00	seaRM	seaRM	8	5
15	2	6:03:00	4:25:00	seaRM	sfoDF	8	6
16	2	4:25:00	3:59:00	sfoDF	seaRM	9	6
17	2	3:59:00	3:27:00	seaRM	sfoDF	9	7
18	2	3:27:00	3:01:00	sfoDF	sfoDF	9	8
19	2	3:01:00	2:40:00	sfoDF	seaRM	10	8
20	2	2:40:00	0:41:00	seaRM	seaRM	11	8
21	2	0:41:00	0:17:00	seaRM	sfoDF	11	9
22	2	0:17:00	0:00:00	sfoDF	NA	11	9
23	3	10:00:00	9:01:00	seaRM	seaRM	12	9
24	3	9:01:00	8:38:00	seaRM	sfoDF	12	10
25	3	8:38:00	8:20:00	sfoDF	seaRM	13	10
26	3	8:20:00	7:09:00	seaRM	sfoDF	13	11
27	3	7:09:00	6:36:00	sfoDF	seaRM	14	11
28	3	6:36:00	4:47:00	seaRM	seaRM	15	11
29	3	4:47:00	4:09:00	seaRM	sfoDF	15	12
30	3	4:09:00	3:46:00	sfoDF	seaRM	16	12
31	3	3:46:00	0:00:00	seaRM	NA	16	12
32	4	10:00:00	9:05:00	seaRM	sfoDF	16	13
33	4	9:05:00	7:14:00	sfoDF	seaRM	17	13
34	4	7:14:00	6:22:00	seaRM	sfoDF	17	14
35	4	6:22:00	5:55:00	sfoDF	sfoDF	17	15
36	4	5:55:00	4:24:00	sfoDF	sfoDF	17	16
37	4	4:24:00	3:37:00	sfoDF	seaRM	18	16
38	4	3:37:00	3:00:00	seaRM	seaRM	19	16
39	4	3:00:00	2:28:00	seaRM	sfoDF	19	17
40	4	2:28:00	0:49:00	sfoDF	sfoDF	19	18
41	4	0:49:00	0:06:00	sfoDF	sfoDF	19	19
42	4	0:06:00	0:00:00	sfoDF	NA	19	19
43	5	5:00:00	2:30:00	sfoDF	seaRM	20	19
44	5	2:30:00	2:13:00	seaRM	seaRM	21	19
45	5	2:13:00	0:08:00	seaRM	sfoDF	21	20
46	5	0:08:00	0:00:00	sfoDF	NA	21	20
