point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Vancouver Nighthawks	1	10:00:00	8:22:00
2	Vancouver Nighthawks	1	8:22:00	8:09:00
3	San Francisco Dogfish	1	8:09:00	7:10:00
4	Vancouver Nighthawks	1	7:10:00	5:05:00
5	Vancouver Nighthawks	1	5:05:00	4:08:00
6	Vancouver Nighthawks	1	4:08:00	3:24:00
7	San Francisco Dogfish	1	3:24:00	1:43:00
8	San Francisco Dogfish	1	1:43:00	0:11:00
9	Vancouver Nighthawks	1	0:11:00	0:00:00
10	San Francisco Dogfish	2	10:00:00	9:23:00
11	Vancouver Nighthawks	2	9:23:00	8:07:00
12	Vancouver Nighthawks	2	8:07:00	4:40:00
13	Vancouver Nighthawks	2	4:40:00	2:56:00
14	Vancouver Nighthawks	2	2:56:00	1:21:00
15	Vancouver Nighthawks	2	1:21:00	1:06:00
16	San Francisco Dogfish	2	1:06:00	0:25:00
17	Vancouver Nighthawks	2	0:25:00	0:00:00
18	Vancouver Nighthawks	3	10:00:00	9:28:00
19	Vancouver Nighthawks	3	9:28:00	8:44:00
20	San Francisco Dogfish	3	8:44:00	8:20:00
21	Vancouver Nighthawks	3	8:20:00	6:53:00
22	San Francisco Dogfish	3	6:53:00	5:01:00
23	Vancouver Nighthawks	3	5:01:00	4:26:00
24	San Francisco Dogfish	3	4:26:00	4:03:00
25	Vancouver Nighthawks	3	4:03:00	3:00:00
26	San Francisco Dogfish	3	3:00:00	2:47:00
27	Vancouver Nighthawks	3	2:47:00	2:22:00
28	Vancouver Nighthawks	3	2:22:00	1:47:00
29	Vancouver Nighthawks	3	1:47:00	1:15:00
30	San Francisco Dogfish	3	1:15:00	0:14:00
31	San Francisco Dogfish	3	0:14:00	0:00:00
32	San Francisco Dogfish	4	10:00:00	9:22:00
33	Vancouver Nighthawks	4	9:22:00	8:42:00
34	San Francisco Dogfish	4	8:42:00	8:08:00
35	Vancouver Nighthawks	4	8:08:00	6:40:00
36	San Francisco Dogfish	4	6:40:00	6:25:00
37	Vancouver Nighthawks	4	6:25:00	5:50:00
38	San Francisco Dogfish	4	5:50:00	5:21:00
39	Vancouver Nighthawks	4	5:21:00	4:54:00
40	Vancouver Nighthawks	4	4:54:00	4:21:00
41	San Francisco Dogfish	4	4:21:00	4:07:00
42	Vancouver Nighthawks	4	4:07:00	2:41:00
43	Vancouver Nighthawks	4	2:41:00	1:39:00
44	Vancouver Nighthawks	4	1:39:00	1:06:00
45	San Francisco Dogfish	4	1:06:00	0:00:00
