period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code
1	1	vanNH	1	1	1	sfoDF	vanNH	8	P
1	1	vanNH	2	1	1	sfoDF	sfoDF	34	PU
1	1	vanNH	3	1	1	sfoDF	sfoDF	83	
1	1	vanNH	4	1	1	sfoDF	sfoDF	34	
1	1	vanNH	5	1	1	sfoDF	vanNH	27	D
1	1	vanNH	6	2	2	vanNH	vanNH	45	PU
1	1	vanNH	7	2	2	vanNH	vanNH	8	
1	1	vanNH	8	2	2	vanNH	sfoDF	34	HB
1	1	vanNH	9	3	3	sfoDF	sfoDF	83	PU
1	1	vanNH	10	3	3	sfoDF	sfoDF	24	
1	1	vanNH	11	3	3	sfoDF	sfoDF	23	TD
1	1	vanNH	12	4	4	vanNH	vanNH	81	PU
1	1	vanNH	13	4	4	vanNH	vanNH	27	
1	1	vanNH	14	4	4	vanNH	vanNH	24	
1	1	vanNH	15	4	4	vanNH	vanNH	81	
1	1	vanNH	16	4	4	vanNH	vanNH	45	
1	1	vanNH	17	4	4	vanNH	vanNH	27	
1	1	vanNH	18	4	4	vanNH	vanNH	24	
1	1	vanNH	19	4	4	vanNH	vanNH	39	A
1	1	vanNH	20	4	4	vanNH	vanNH	81	G
1	2	vanNH	1	5	1	sfoDF	vanNH	33	P
1	2	vanNH	2	5	1	sfoDF	sfoDF	5	PU
1	2	vanNH	3	5	1	sfoDF	sfoDF	8	
1	2	vanNH	4	5	1	sfoDF	sfoDF	34	A
1	2	vanNH	5	5	1	sfoDF	sfoDF	3	G
1	3	sfoDF	1	6	1	vanNH	sfoDF	46	P
1	3	sfoDF	2	6	1	vanNH	vanNH	89	PU
1	3	sfoDF	3	6	1	vanNH	vanNH	5	
1	3	sfoDF	4	6	1	vanNH	vanNH	22	
1	3	sfoDF	5	6	1	vanNH	vanNH	21	
1	3	sfoDF	6	6	1	vanNH	vanNH	98	
1	3	sfoDF	7	7	2	sfoDF	sfoDF	16	PU
1	3	sfoDF	8	7	2	sfoDF	sfoDF	85	
1	3	sfoDF	9	7	2	sfoDF	sfoDF	17	TD
1	3	sfoDF	10	8	3	vanNH	vanNH	5	PU
1	3	sfoDF	11	8	3	vanNH	vanNH	22	A
1	3	sfoDF	12	8	3	vanNH	vanNH	91	G
1	4	vanNH	1	9	1	sfoDF	vanNH	8	P
1	4	vanNH	2	9	1	sfoDF	sfoDF	88	PU
1	4	vanNH	3	9	1	sfoDF	sfoDF	1	
1	4	vanNH	4	9	1	sfoDF	vanNH	8	D
1	4	vanNH	5	10	2	vanNH	vanNH	8	
1	4	vanNH	6	11	3	sfoDF	sfoDF	13	PU
1	4	vanNH	7	11	3	sfoDF	sfoDF	11	TD
1	4	vanNH	8	12	4	vanNH	vanNH	24	PU
1	4	vanNH	9	12	4	vanNH	vanNH	81	
1	4	vanNH	10	12	4	vanNH	vanNH	8	
1	4	vanNH	11	12	4	vanNH	vanNH	27	
1	4	vanNH	12	12	4	vanNH	vanNH	45	
1	4	vanNH	13	12	4	vanNH	vanNH	39	TD
1	4	vanNH	14	13	5	sfoDF	sfoDF	34	PU
1	4	vanNH	15	13	5	sfoDF	sfoDF	13	
1	4	vanNH	16	13	5	sfoDF	sfoDF	34	
1	4	vanNH	17	13	5	sfoDF	sfoDF	88	
1	4	vanNH	18	13	5	sfoDF	sfoDF	34	
1	4	vanNH	19	13	5	sfoDF	vanNH	27	D
1	4	vanNH	20	14	6	vanNH	vanNH	24	PU
1	4	vanNH	21	14	6	vanNH	vanNH	8	VTT
