point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	sfoDF	vanNH	pt_dur	pt_dur_txt
1	1	10:00:00	8:22:00	vanNH	4	vanNH	break	0	1	98	01:38
2	1	8:22:00	8:09:00	vanNH	1	sfoDF	hold	1	1	13	00:13
3	1	8:09:00	7:10:00	sfoDF	3	vanNH	hold	1	2	59	00:59
4	1	7:10:00	5:05:00	vanNH	8	vanNH	break	1	3	125	02:05
5	1	5:05:00	4:08:00	vanNH	2	vanNH	break	1	4	57	00:57
6	1	4:08:00	3:24:00	vanNH	1	sfoDF	hold	2	4	44	00:44
7	1	3:24:00	1:43:00	sfoDF	4	sfoDF	break	3	4	101	01:41
8	1	1:43:00	0:11:00	sfoDF	3	vanNH	hold	3	5	92	01:32
9	1	0:11:00	0:00:00	vanNH	NA	NA	NA	3	5	11	00:11
10	2	10:00:00	9:23:00	sfoDF	3	vanNH	hold	3	6	37	00:37
11	2	9:23:00	8:07:00	vanNH	2	vanNH	break	3	7	76	01:16
12	2	8:07:00	4:40:00	vanNH	4	vanNH	break	3	8	207	03:27
13	2	4:40:00	2:56:00	vanNH	2	vanNH	break	3	9	104	01:44
14	2	2:56:00	1:21:00	vanNH	4	vanNH	break	3	10	95	01:35
15	2	1:21:00	1:06:00	vanNH	1	sfoDF	hold	4	10	15	00:15
16	2	1:06:00	0:25:00	sfoDF	1	vanNH	hold	4	11	41	00:41
17	2	0:25:00	0:00:00	vanNH	NA	NA	NA	4	11	25	00:25
18	3	10:00:00	9:28:00	vanNH	2	vanNH	break	4	12	32	00:32
19	3	9:28:00	8:44:00	vanNH	3	sfoDF	hold	5	12	44	00:44
20	3	8:44:00	8:20:00	sfoDF	1	vanNH	hold	5	13	24	00:24
21	3	8:20:00	6:53:00	vanNH	3	sfoDF	hold	6	13	87	01:27
22	3	6:53:00	5:01:00	sfoDF	5	vanNH	hold	6	14	112	01:52
23	3	5:01:00	4:26:00	vanNH	1	sfoDF	hold	7	14	35	00:35
24	3	4:26:00	4:03:00	sfoDF	1	vanNH	hold	7	15	23	00:23
25	3	4:03:00	3:00:00	vanNH	1	sfoDF	hold	8	15	63	01:03
26	3	3:00:00	2:47:00	sfoDF	1	vanNH	hold	8	16	13	00:13
27	3	2:47:00	2:22:00	vanNH	2	vanNH	break	8	17	25	00:25
28	3	2:22:00	1:47:00	vanNH	2	vanNH	break	8	18	35	00:35
29	3	1:47:00	1:15:00	vanNH	1	sfoDF	hold	9	18	32	00:32
30	3	1:15:00	0:14:00	sfoDF	4	sfoDF	break	10	18	61	01:01
31	3	0:14:00	0:00:00	sfoDF	NA	NA	NA	10	18	14	00:14
32	4	10:00:00	9:22:00	sfoDF	1	vanNH	hold	10	19	38	00:38
33	4	9:22:00	8:42:00	vanNH	3	sfoDF	hold	11	19	40	00:40
34	4	8:42:00	8:08:00	sfoDF	1	vanNH	hold	11	20	34	00:34
35	4	8:08:00	6:40:00	vanNH	3	sfoDF	hold	12	20	88	01:28
36	4	6:40:00	6:25:00	sfoDF	1	vanNH	hold	12	21	15	00:15
37	4	6:25:00	5:50:00	vanNH	1	sfoDF	hold	13	21	35	00:35
38	4	5:50:00	5:21:00	sfoDF	1	vanNH	hold	13	22	29	00:29
39	4	5:21:00	4:54:00	vanNH	2	vanNH	break	13	23	27	00:27
40	4	4:54:00	4:21:00	vanNH	1	sfoDF	hold	14	23	33	00:33
41	4	4:21:00	4:07:00	sfoDF	1	vanNH	hold	14	24	14	00:14
42	4	4:07:00	2:41:00	vanNH	2	vanNH	break	14	25	86	01:26
43	4	2:41:00	1:39:00	vanNH	4	vanNH	break	14	26	62	01:02
44	4	1:39:00	1:06:00	vanNH	1	sfoDF	hold	15	26	33	00:33
45	4	1:06:00	0:00:00	sfoDF	NA	NA	NA	15	26	66	01:06
