period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	vanNH	5	1	1	sfoDF	vanNH	27	D	5	FALSE	FALSE	NA	o_line	D	def +
1	1	vanNH	8	2	2	vanNH	sfoDF	34	HB	3	FALSE	FALSE	NA	d_line	D	def +
1	1	vanNH	11	3	3	sfoDF	sfoDF	23	TD	3	FALSE	FALSE	NA	o_line	TD	off -
1	1	vanNH	20	4	4	vanNH	vanNH	81	G	9	FALSE	TRUE	vanNH	d_line	G	G
1	2	vanNH	5	5	1	sfoDF	sfoDF	3	G	5	FALSE	TRUE	sfoDF	o_line	G	G
1	3	sfoDF	6	6	1	vanNH	vanNH	98	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	3	sfoDF	9	7	2	sfoDF	sfoDF	17	TD	3	FALSE	FALSE	NA	d_line	TD	off -
1	3	sfoDF	12	8	3	vanNH	vanNH	91	G	3	FALSE	TRUE	vanNH	o_line	G	G
1	4	vanNH	4	9	1	sfoDF	vanNH	8	D	4	FALSE	FALSE	NA	o_line	D	def +
1	4	vanNH	5	10	2	vanNH	vanNH	8	TA	1	FALSE	FALSE	NA	d_line	TA	off -
1	4	vanNH	7	11	3	sfoDF	sfoDF	11	TD	2	FALSE	FALSE	NA	o_line	TD	off -
1	4	vanNH	13	12	4	vanNH	vanNH	39	TD	6	FALSE	FALSE	NA	d_line	TD	off -
1	4	vanNH	19	13	5	sfoDF	vanNH	27	D	6	FALSE	FALSE	NA	o_line	D	def +
1	4	vanNH	21	14	6	vanNH	vanNH	8	VTT	2	FALSE	FALSE	NA	d_line	VTT	off -
1	4	vanNH	23	15	7	sfoDF	sfoDF	88	TA	2	FALSE	FALSE	NA	o_line	TA	off -
1	4	vanNH	32	16	8	vanNH	vanNH	72	G	9	TRUE	TRUE	vanNH	d_line	G	G
1	5	vanNH	3	17	1	sfoDF	sfoDF	34	TA	3	FALSE	FALSE	NA	o_line	TA	off -
1	5	vanNH	9	18	2	vanNH	vanNH	14	G	6	TRUE	TRUE	vanNH	d_line	G	G
1	6	vanNH	12	19	1	sfoDF	sfoDF	1	G	12	FALSE	TRUE	sfoDF	o_line	G	G
1	7	sfoDF	6	20	1	vanNH	vanNH	72	TD	6	FALSE	FALSE	NA	o_line	TD	off -
1	7	sfoDF	11	21	2	sfoDF	vanNH	22	D	5	FALSE	FALSE	NA	d_line	D	def +
1	7	sfoDF	13	22	3	vanNH	vanNH	21	TA	2	FALSE	FALSE	NA	o_line	TA	off -
