poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	sfoDF-34		O-CTH	sfoDF-83	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	sfoDF-83		O-CTH	sfoDF-34	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	sfoDF-34		D-D	vanNH-27	TRUE	defd
2	2	1	6	7	ao	0	O-PU	vanNH-45		O-CTH	vanNH-8	TRUE	compl
2	2	1	7	8	ao	0	O-CTH	vanNH-8		D-D	sfoDF-34	TRUE	defd
3	3	1	9	10	ao	0	O-PU	sfoDF-83		O-CTH	sfoDF-24	TRUE	compl
3	3	1	10	11	ao	0	O-CTH	sfoDF-24		O-TD	sfoDF-23	TRUE	drop
4	4	1	12	13	ao	0	O-PU	vanNH-81		O-CTH	vanNH-27	TRUE	compl
4	4	1	13	14	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-24	TRUE	compl
4	4	1	14	15	ao	0	O-CTH	vanNH-24		O-CTH	vanNH-81	TRUE	compl
4	4	1	15	16	ao	0	O-CTH	vanNH-81		O-CTH	vanNH-45	TRUE	compl
4	4	1	16	17	ao	0	O-CTH	vanNH-45		O-CTH	vanNH-27	TRUE	compl
4	4	1	17	18	ao	0	O-CTH	vanNH-27		O-CTH	vanNH-24	TRUE	compl
4	4	1	18	19	ao	0	O-CTH	vanNH-24		O-CTH	vanNH-39	TRUE	compl
4	4	1	19	20	ao	0	O-CTH	vanNH-39		O-G	vanNH-81	TRUE	compl
5	1	2	2	3	ao	0	O-PU	sfoDF-5		O-CTH	sfoDF-8	TRUE	compl
5	1	2	3	4	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-34	TRUE	compl
5	1	2	4	5	ao	0	O-CTH	sfoDF-34		O-G	sfoDF-3	TRUE	compl
6	1	3	2	3	ao	0	O-PU	vanNH-89		O-CTH	vanNH-5	TRUE	compl
6	1	3	3	4	ao	0	O-CTH	vanNH-5		O-CTH	vanNH-22	TRUE	compl
