game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-04-20_sfoDF-at-vanNH	sfoDF-34	Boucher	7	0.83	3	4	24	20	22	1	0	sfoDF	34
2014-04-20_sfoDF-at-vanNH	sfoDF-8	Pollard	4	0.82	0	4	17	14	16	0	1	sfoDF	8
2014-04-20_sfoDF-at-vanNH	sfoDF-21	Stearns	3	0.89	2	1	9	8	11	0	0	sfoDF	21
2014-04-20_sfoDF-at-vanNH	sfoDF-83	Husak	3	0.96	2	1	27	26	22	0	0	sfoDF	83
2014-04-20_sfoDF-at-vanNH	sfoDF-37	Hart	2	1	2	0	5	5	7	0	0	sfoDF	37
2014-04-20_sfoDF-at-vanNH	sfoDF-88	Kissmann	2	0.88	2	0	16	14	17	0	0	sfoDF	88
2014-04-20_sfoDF-at-vanNH	sfoDF-1	Ranahan	2	0.85	1	1	13	11	12	0	1	sfoDF	1
2014-04-20_sfoDF-at-vanNH	sfoDF-3	Weiss	2	0.8	1	1	5	4	6	0	0	sfoDF	3
2014-04-20_sfoDF-at-vanNH	sfoDF-24	Caulfield	1	0.8	1	0	5	4	6	0	1	sfoDF	24
2014-04-20_sfoDF-at-vanNH	sfoDF-57	Meyer	1	0.9	1	0	10	9	6	0	0	sfoDF	57
2014-04-20_sfoDF-at-vanNH	sfoDF-18	Weaver	1	1	0	1	7	7	6	1	0	sfoDF	18
2014-04-20_sfoDF-at-vanNH	sfoDF-13	Grant	1	0.91	0	1	11	10	7	0	1	sfoDF	13
2014-04-20_sfoDF-at-vanNH	sfoDF-85	Brydon	1	0.62	0	1	8	5	8	0	1	sfoDF	85
2014-04-20_sfoDF-at-vanNH	sfoDF-11	Lee	0	0.85	0	0	13	11	9	0	0	sfoDF	11
2014-04-20_sfoDF-at-vanNH	sfoDF-16	Yeager	0	0.75	0	0	8	6	3	0	1	sfoDF	16
2014-04-20_sfoDF-at-vanNH	sfoDF-17	Boyd-Meredith	0	0.83	0	0	12	10	7	0	0	sfoDF	17
2014-04-20_sfoDF-at-vanNH	sfoDF-2	Adamson	0	0.8	0	0	5	4	4	0	0	sfoDF	2
2014-04-20_sfoDF-at-vanNH	sfoDF-23	Jeffery	0	NA	0	0	0	0	0	0	0	sfoDF	23
2014-04-20_sfoDF-at-vanNH	sfoDF-25	Dixon	0	0.86	0	0	14	12	11	0	1	sfoDF	25
2014-04-20_sfoDF-at-vanNH	sfoDF-46	McCarty	0	1	0	0	3	3	4	0	0	sfoDF	46
2014-04-20_sfoDF-at-vanNH	sfoDF-5	Cascino	0	1	0	0	2	2	0	0	0	sfoDF	5
2014-04-20_sfoDF-at-vanNH	sfoDF-7	Sheridan	0	0	0	0	1	0	1	0	0	sfoDF	7
2014-04-20_sfoDF-at-vanNH	vanNH-98	wong	10	0.92	7	3	12	11	18	0	0	vanNH	98
2014-04-20_sfoDF-at-vanNH	vanNH-72	leduc	4	1	3	1	2	2	5	0	0	vanNH	72
2014-04-20_sfoDF-at-vanNH	vanNH-10	chatha	4	0.8	2	2	5	4	7	1	1	vanNH	10
2014-04-20_sfoDF-at-vanNH	vanNH-89	underhill	4	1	1	3	22	22	17	0	0	vanNH	89
2014-04-20_sfoDF-at-vanNH	vanNH-11	greer	4	0.75	0	4	8	6	7	1	0	vanNH	11
2014-04-20_sfoDF-at-vanNH	vanNH-21	loach	4	0.85	0	4	13	11	12	0	1	vanNH	21
2014-04-20_sfoDF-at-vanNH	vanNH-27	davis	3	1	3	0	4	4	7	2	0	vanNH	27
2014-04-20_sfoDF-at-vanNH	vanNH-14	eyrich	2	1	2	0	6	6	8	1	0	vanNH	14
2014-04-20_sfoDF-at-vanNH	vanNH-81	tejpar	2	0.89	2	0	9	8	7	0	1	vanNH	81
2014-04-20_sfoDF-at-vanNH	vanNH-39	seraglia	2	1	1	1	4	4	4	2	0	vanNH	39
2014-04-20_sfoDF-at-vanNH	vanNH-8	hibbert	2	0.8	0	2	15	12	13	3	0	vanNH	8
2014-04-20_sfoDF-at-vanNH	vanNH-18	menzies	1	1	1	0	3	3	3	1	0	vanNH	18
2014-04-20_sfoDF-at-vanNH	vanNH-19	knapp	1	0.8	1	0	15	12	10	0	1	vanNH	19
2014-04-20_sfoDF-at-vanNH	vanNH-33	collins	1	1	1	0	3	3	3	0	0	vanNH	33
2014-04-20_sfoDF-at-vanNH	vanNH-45	cowan	1	0.92	1	0	12	11	10	0	1	vanNH	45
2014-04-20_sfoDF-at-vanNH	vanNH-91	savage	1	0.95	1	0	20	19	13	0	0	vanNH	91
2014-04-20_sfoDF-at-vanNH	vanNH-22	berezan	1	0.89	0	1	9	8	9	1	1	vanNH	22
2014-04-20_sfoDF-at-vanNH	vanNH-4	doyle	1	1	0	1	4	4	4	1	0	vanNH	4
2014-04-20_sfoDF-at-vanNH	vanNH-37	sinclair	1	1	0	1	5	5	6	0	0	vanNH	37
2014-04-20_sfoDF-at-vanNH	vanNH-5	norris	1	0.9	0	1	20	18	15	0	0	vanNH	5
2014-04-20_sfoDF-at-vanNH	vanNH-6	gailits	1	1	0	1	4	4	3	0	0	vanNH	6
2014-04-20_sfoDF-at-vanNH	vanNH-75	bellavance	1	1	0	1	5	5	2	0	0	vanNH	75
2014-04-20_sfoDF-at-vanNH	vanNH-13	tessarolo	0	0.67	0	0	3	2	2	2	1	vanNH	13
2014-04-20_sfoDF-at-vanNH	vanNH-24	yu	0	1	0	0	5	5	3	0	0	vanNH	24
2014-04-20_sfoDF-at-vanNH	vanNH-31	saito	0	0.75	0	0	4	3	4	0	1	vanNH	31
