period	point	event	pl_team	pl_player	pl_code
1	1	1	vanNH	8	P
1	1	2	sfoDF	34	PU
1	1	3	sfoDF	83	
1	1	4	sfoDF	34	
1	1	5	vanNH	27	D
1	1	6	vanNH	45	PU
1	1	7	vanNH	8	
1	1	8	sfoDF	34	HB
1	1	9	sfoDF	83	PU
1	1	10	sfoDF	24	
1	1	11	sfoDF	23	TD
1	1	12	vanNH	81	PU
1	1	13	vanNH	27	
1	1	14	vanNH	24	
1	1	15	vanNH	81	
1	1	16	vanNH	45	
1	1	17	vanNH	27	
1	1	18	vanNH	24	
1	1	19	vanNH	39	A
1	1	20	vanNH	81	G
1	2	1	vanNH	33	P
1	2	2	sfoDF	5	PU
1	2	3	sfoDF	8	
1	2	4	sfoDF	34	A
1	2	5	sfoDF	3	G
1	3	1	sfoDF	46	P
1	3	2	vanNH	89	PU
1	3	3	vanNH	5	
1	3	4	vanNH	22	
1	3	5	vanNH	21	
1	3	6	vanNH	98	
1	3	7	sfoDF	16	PU
1	3	8	sfoDF	85	
1	3	9	sfoDF	17	TD
1	3	10	vanNH	5	PU
1	3	11	vanNH	22	A
1	3	12	vanNH	91	G
1	4	1	vanNH	8	P
1	4	2	sfoDF	88	PU
1	4	3	sfoDF	1	
1	4	4	vanNH	8	D
1	4	5	vanNH	8	
1	4	6	sfoDF	13	PU
1	4	7	sfoDF	11	TD
1	4	8	vanNH	24	PU
1	4	9	vanNH	81	
1	4	10	vanNH	8	
1	4	11	vanNH	27	
1	4	12	vanNH	45	
1	4	13	vanNH	39	TD
1	4	14	sfoDF	34	PU
1	4	15	sfoDF	13	
1	4	16	sfoDF	34	
1	4	17	sfoDF	88	
1	4	18	sfoDF	34	
1	4	19	vanNH	27	D
1	4	20	vanNH	24	PU
1	4	21	vanNH	8	VTT
1	4	22	sfoDF	34	PU
1	4	23	sfoDF	88	
1	4	24	vanNH	8	TO
1	4	25	vanNH	91	PU
1	4	26	vanNH	98	L
1	4	27	vanNH	19	
1	4	28	vanNH	89	
1	4	29	vanNH	72	
1	4	30	vanNH	89	
1	4	31	vanNH	21	A
1	4	32	vanNH	72	G
1	5	1	vanNH	8	P
1	5	2	sfoDF	5	PU
