game	player	points	goals	assists	Ds
2014-04-20_sfoDF-at-vanNH	sfoDF-34-Boucher	7	3	4	1
2014-04-20_sfoDF-at-vanNH	sfoDF-8-Pollard	4	0	4	0
2014-04-20_sfoDF-at-vanNH	sfoDF-21-Stearns	3	2	1	0
2014-04-20_sfoDF-at-vanNH	sfoDF-83-Husak	3	2	1	0
2014-04-20_sfoDF-at-vanNH	sfoDF-37-Hart	2	2	0	0
2014-04-20_sfoDF-at-vanNH	sfoDF-88-Kissmann	2	2	0	0
2014-04-20_sfoDF-at-vanNH	sfoDF-1-Ranahan	2	1	1	0
2014-04-20_sfoDF-at-vanNH	sfoDF-3-Weiss	2	1	1	0
2014-04-20_sfoDF-at-vanNH	sfoDF-24-Caulfield	1	1	0	0
2014-04-20_sfoDF-at-vanNH	sfoDF-57-Meyer	1	1	0	0
2014-04-20_sfoDF-at-vanNH	sfoDF-18-Weaver	1	0	1	1
2014-04-20_sfoDF-at-vanNH	sfoDF-13-Grant	1	0	1	0
2014-04-20_sfoDF-at-vanNH	sfoDF-85-Brydon	1	0	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-98-wong	10	7	3	0
2014-04-20_sfoDF-at-vanNH	vanNH-72-leduc	4	3	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-10-chatha	4	2	2	1
2014-04-20_sfoDF-at-vanNH	vanNH-89-underhill	4	1	3	0
2014-04-20_sfoDF-at-vanNH	vanNH-11-greer	4	0	4	1
2014-04-20_sfoDF-at-vanNH	vanNH-21-loach	4	0	4	0
2014-04-20_sfoDF-at-vanNH	vanNH-27-davis	3	3	0	2
2014-04-20_sfoDF-at-vanNH	vanNH-14-eyrich	2	2	0	1
2014-04-20_sfoDF-at-vanNH	vanNH-81-tejpar	2	2	0	0
2014-04-20_sfoDF-at-vanNH	vanNH-39-seraglia	2	1	1	2
2014-04-20_sfoDF-at-vanNH	vanNH-8-hibbert	2	0	2	3
2014-04-20_sfoDF-at-vanNH	vanNH-18-menzies	1	1	0	1
2014-04-20_sfoDF-at-vanNH	vanNH-19-knapp	1	1	0	0
2014-04-20_sfoDF-at-vanNH	vanNH-33-collins	1	1	0	0
2014-04-20_sfoDF-at-vanNH	vanNH-45-cowan	1	1	0	0
2014-04-20_sfoDF-at-vanNH	vanNH-91-savage	1	1	0	0
2014-04-20_sfoDF-at-vanNH	vanNH-22-berezan	1	0	1	1
2014-04-20_sfoDF-at-vanNH	vanNH-4-doyle	1	0	1	1
2014-04-20_sfoDF-at-vanNH	vanNH-37-sinclair	1	0	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-5-norris	1	0	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-6-gailits	1	0	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-75-bellavance	1	0	1	0
2014-04-20_sfoDF-at-vanNH	vanNH-13-tessarolo	0	0	0	2
