point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	phlSP
1	1	10:00:00	8:26:00	nykRM	3	phlSP	hold	0	1
2	1	8:26:00	4:03:00	phlSP	8	phlSP	break	0	2
3	1	4:03:00	3:02:00	phlSP	2	phlSP	break	0	3
4	1	3:02:00	2:17:00	phlSP	1	nykRM	hold	1	3
5	1	2:17:00	0:52:00	nykRM	2	nykRM	break	2	3
6	1	0:52:00	0:15:00	nykRM	2	nykRM	break	3	3
7	1	0:15:00	0:00:00	nykRM	NA	NA	NA	3	3
8	2	10:00:00	9:38:00	phlSP	1	nykRM	hold	4	3
9	2	9:38:00	8:58:00	nykRM	2	nykRM	break	5	3
10	2	8:58:00	7:58:00	nykRM	3	phlSP	hold	5	4
11	2	7:58:00	3:27:00	phlSP	7	nykRM	hold	6	4
12	2	3:27:00	1:46:00	nykRM	3	phlSP	hold	6	5
13	2	1:46:00	1:28:00	phlSP	1	nykRM	hold	7	5
14	2	1:28:00	0:58:00	nykRM	1	phlSP	hold	7	6
15	2	0:58:00	0:00:00	phlSP	NA	NA	NA	7	6
16	3	10:00:00	8:29:00	nykRM	3	phlSP	hold	7	7
17	3	8:29:00	7:15:00	phlSP	2	phlSP	break	7	8
18	3	7:15:00	6:35:00	phlSP	1	nykRM	hold	8	8
19	3	6:35:00	4:29:00	nykRM	3	phlSP	hold	8	9
20	3	4:29:00	1:14:00	phlSP	5	nykRM	hold	9	9
21	3	1:14:00	0:00:00	nykRM	NA	NA	NA	9	9
22	4	10:00:00	6:50:00	phlSP	6	phlSP	break	9	10
23	4	6:50:00	4:58:00	phlSP	3	nykRM	hold	10	10
24	4	4:58:00	1:53:00	nykRM	4	nykRM	break	11	10
25	4	1:53:00	1:37:00	nykRM	1	phlSP	hold	11	11
26	4	1:37:00	0:00:00	phlSP	NA	NA	NA	11	11
27	ot	5:00:00	4:10:00	nykRM	1	phlSP	hold	11	12
28	ot	4:10:00	2:00:00	phlSP	7	nykRM	hold	12	12
29	ot	2:00:00	0:00:00	nykRM	NA	NA	NA	12	12
30	2ot	0:00:00	0:00:00	phlSP	6	phlSP	break	12	13
