period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	nykRM	6	1	1	phlSP	phlSP	1	TD	6	FALSE	FALSE	NA	o_line	TD	off -
1	1	nykRM	12	2	2	nykRM	nykRM	13	TD	6	FALSE	FALSE	NA	d_line	TD	off -
1	1	nykRM	22	3	3	phlSP	phlSP	7	G	10	TRUE	TRUE	phlSP	o_line	G	G
1	2	phlSP	13	4	1	nykRM	phlSP	11	D	13	FALSE	FALSE	NA	o_line	D	def +
1	2	phlSP	16	5	2	phlSP	nykRM	4	D	3	FALSE	FALSE	NA	d_line	D	def +
1	2	phlSP	22	6	3	nykRM	nykRM	26	VST	6	TRUE	FALSE	NA	o_line	VST	off -
1	2	phlSP	27	7	4	phlSP	phlSP	64	TA	5	FALSE	FALSE	NA	d_line	TA	off -
1	2	phlSP	30	8	5	nykRM	nykRM	22	TA	3	FALSE	FALSE	NA	o_line	TA	off -
1	2	phlSP	35	9	6	phlSP	phlSP	64	TA	5	FALSE	FALSE	NA	d_line	TA	off -
1	2	phlSP	45	10	7	nykRM	phlSP	16	D	10	FALSE	FALSE	NA	o_line	D	def +
1	2	phlSP	51	11	8	phlSP	phlSP	64	G	6	FALSE	TRUE	phlSP	d_line	G	G
1	3	phlSP	7	12	1	nykRM	nykRM	33	TD	7	FALSE	FALSE	NA	o_line	TD	off -
1	3	phlSP	13	13	2	phlSP	phlSP	10	G	6	FALSE	TRUE	phlSP	d_line	G	G
1	4	phlSP	12	14	1	nykRM	nykRM	14	G	12	FALSE	TRUE	nykRM	o_line	G	G
1	5	nykRM	8	15	1	phlSP	phlSP	25	TA	8	FALSE	FALSE	NA	o_line	TA	off -
1	5	nykRM	15	16	2	nykRM	nykRM	3	G	7	FALSE	TRUE	nykRM	d_line	G	G
1	6	nykRM	3	17	1	phlSP	nykRM	3	D	3	FALSE	FALSE	NA	o_line	D	def +
1	6	nykRM	12	18	2	nykRM	nykRM	6	G	9	FALSE	TRUE	nykRM	d_line	G	G
1	7	nykRM	7	19	1	phlSP	phlSP	20	eop	7	FALSE	FALSE	NA	o_line	eop	eop
2	8	phlSP	8	20	1	nykRM	nykRM	22	LG	8	TRUE	TRUE	nykRM	o_line	G	G
2	9	nykRM	7	21	1	phlSP	phlSP	7	TA	7	FALSE	FALSE	NA	o_line	TA	off -
