poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr	wl	pclass
1	1	1	2	3	ao	0	O-PU	phlSP-20		O-CTH	phlSP-7	TRUE	compl
1	1	1	3	4	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-27	TRUE	compl
1	1	1	4	5	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-7	TRUE	compl
1	1	1	5	6	ao	0	O-CTH	phlSP-7		O-TD	phlSP-1	TRUE	drop
2	2	1	7	8	ao	0	O-PU	nykRM-6		O-CTH	nykRM-38	TRUE	compl
2	2	1	8	9	ao	0	O-CTH	nykRM-38		O-CTH	nykRM-5	TRUE	compl
2	2	1	9	10	ao	0	O-CTH	nykRM-5		O-CTH	nykRM-27	TRUE	compl
2	2	1	10	11	ao	0	O-CTH	nykRM-27		O-CTH	nykRM-5	TRUE	compl
2	2	1	11	12	ao	0	O-CTH	nykRM-5		O-TD	nykRM-13	TRUE	drop
3	3	1	13	14	ao	0	O-PU	phlSP-25		O-CTH	phlSP-7	TRUE	compl
3	3	1	14	15	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-27	TRUE	compl
3	3	1	15	16	ao	0	O-CTH	phlSP-27		O-CTH	phlSP-7	TRUE	compl
3	3	1	16	17	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-20	TRUE	compl
3	3	1	17	18	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-7	TRUE	compl
3	3	1	18	19	ao	0	O-CTH	phlSP-7		O-CTH	phlSP-9	TRUE	compl
3	3	1	19	20	ao	0	O-CTH	phlSP-9		O-CTH	phlSP-20	TRUE	compl
3	3	1	20	21	ao	0	O-CTH	phlSP-20		O-CTH	phlSP-25	TRUE	compl
3	3	1	21	22	ao	0	O-CTH	phlSP-25		O-G	phlSP-7	TRUE	compl
4	1	2	2	3	ao	0	O-PU	nykRM-19		O-CTH	nykRM-4	TRUE	compl
4	1	2	3	4	ao	0	O-CTH	nykRM-4		O-CTH	nykRM-19	TRUE	compl
4	1	2	4	5	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
4	1	2	5	6	ao	0	O-CTH	nykRM-14		O-CTH	nykRM-19	TRUE	compl
4	1	2	6	7	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-50	TRUE	compl
4	1	2	7	10	aa	2	O-CTH	nykRM-50	O-SO,O-SI	O-PU	nykRM-26	TRUE	nopass
4	1	2	10	11	ao	0	O-PU	nykRM-26		O-CTH	nykRM-19	TRUE	compl
4	1	2	11	12	ao	0	O-CTH	nykRM-19		O-CTH	nykRM-14	TRUE	compl
4	1	2	12	13	ao	0	O-CTH	nykRM-14		D-D	phlSP-11	TRUE	defd
