point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	San Francisco Dogfish	1	10:00:00	8:37:00
2	San Francisco Dogfish	1	8:37:00	6:26:00
3	Portland Stags	1	6:26:00	5:45:00
4	San Francisco Dogfish	1	5:45:00	3:35:00
5	San Francisco Dogfish	1	3:35:00	2:03:00
6	Portland Stags	1	2:03:00	1:35:00
7	Portland Stags	1	1:35:00	1:11:00
8	San Francisco Dogfish	1	1:11:00	0:39:00
9	Portland Stags	1	0:39:00	0:00:00
10	Portland Stags	2	10:00:00	9:36:00
11	San Francisco Dogfish	2	9:36:00	8:18:00
12	Portland Stags	2	8:18:00	6:18:00
13	San Francisco Dogfish	2	6:18:00	4:31:00
14	Portland Stags	2	4:31:00	2:06:00
15	San Francisco Dogfish	1	2:06:00	1:41:00
16	Portland Stags	2	1:41:00	1:25:00
17	San Francisco Dogfish	2	1:25:00	0:09:08
18	Portland Stags	2	0:09:08	0:00:00
19	San Francisco Dogfish	3	10:00:00	8:52:00
20	San Francisco Dogfish	3	8:52:00	8:04:00
21	San Francisco Dogfish	3	8:04:00	5:27:00
22	San Francisco Dogfish	3	5:27:00	5:02:00
23	San Francisco Dogfish	3	5:02:00	3:30:00
24	Portland Stags	3	3:30:00	1:51:00
25	Portland Stags	3	1:51:00	1:24:00
26	San Francisco Dogfish	3	1:24:00	0:00:00
27	Portland Stags	4	10:00:00	9:24:00
28	Portland Stags	4	9:24:00	8:39:00
29	Portland Stags	4	8:39:00	7:58:00
30	Portland Stags	4	7:58:00	7:37:00
31	San Francisco Dogfish	4	7:37:00	6:56:00
32	Portland Stags	4	6:56:00	6:11:00
33	San Francisco Dogfish	4	6:11:00	5:28:00
34	Portland Stags	4	5:28:00	0:08:07
35	Portland Stags	4	0:08:07	0:00:00
36	San Francisco Dogfish	5	5:00:00	3:37:00
37	Portland Stags	5	3:37:00	0:11:00
38	Portland Stags	5	0:11:00	0:00:00
