point	event	pullNum	pullCode	recvNum	recvCode
1	1	16	P		
1	2			10	PU
1	3			24	
1	4			42	
1	5			7	
1	6			24	
1	7			11	TD
1	8	16	PU		
1	9	37			
1	10	21	TD		
1	11			24	PU
1	12			2	
1	13	16	PU		
1	14	21			
1	15	16			
1	16	37	G		
2	1	1	P		
2	2			24	PU
2	3			7	
2	4			24	
2	5			16	
2	6			42	
2	7			7	
2	8			16	
2	9			24	
2	10			16	
2	11			24	
2	12	1	PU		
2	13			7	PU
2	14			42	
2	15			11	
2	16			7	
2	17	25	PU		
2	18	25	VTT		
2	19			10	PU
2	20			16	G
3	1	8	P		
3	2			88	PU
3	3			5	
3	4			34	
3	5			23	
3	6	21	PU		
3	7			24	D
3	8			34	PU
3	9			40	L
3	10			23	G
4	1	46	P		
4	2			11	PU
4	3			24	
4	4			7	
4	5			11	
4	6			24	
4	7			10	
4	8			24	
4	9	16	PU		
4	10	46			
4	11	16			
4	12	85			
4	13	21	TD		
4	14			24	PU
4	15	37	D		
4	16	16	PU		
4	17	40			
4	18	21			
4	19	16	TO		
4	20	13	PU		
4	21	40			
4	22	23			
4	23	34			
4	24	24			
4	25	40			
4	26	5	G		
5	1	1	P		
5	2			7	PU
5	3			11	
5	4			7	
5	5			11	
5	6			6	
5	7			11	
5	8			10	
5	9			7	
5	10			11	
5	11			7	
5	12			6	
5	13			7	
5	14			11	
5	15			7	
5	16			6	
5	17			7	
5	18			14	
5	19			7	TD
5	20	25	PU		
5	21	17			
5	22			7	FB
5	23			10	PU
5	24			11	
5	25			42	
5	26			11	
5	27			42	
5	28			7	
5	29			42	
5	30			6	
5	31			42	
5	32			11	G
6	1	8	P		
6	2			57	PU
6	3			13	
6	4			57	
6	5			13	
6	6			57	
6	7			13	
6	8	8	PU		
6	9	21			
6	10	8			
6	11	6	G		
7	1	8	P		
7	2			23	PU
7	3			57	
7	4			40	
7	5			13	
7	6			34	
7	7			23	LG
8	1	12	P		
8	2			24	PU
8	3			11	
8	4			24	
8	5			10	
8	6			24	
8	7			11	
8	8			7	
8	9			42	
8	10			2	
8	11			42	
8	12			16	
8	13			7	G
9	1	8	P		
9	2			88	PU
9	3			5	
9	4			23	
9	5	17	D		
9	6	6	PU		
9	7			5	PU
9	8			34	
9	9			23	
9	10	6	PU		
9	11	22	TD		
9	12			88	TO
9	13			34	PU
9	14			23	G
10	1	24	P		
