period	point	event	pl_team	pl_pnum	pl_code	poss_team
1	1	1	sfoDF	16	P	pdxST
1	1	2	pdxST	10	PU	pdxST
1	1	3	pdxST	24		pdxST
1	1	4	pdxST	42		pdxST
1	1	5	pdxST	7		pdxST
1	1	6	pdxST	24		pdxST
1	1	7	pdxST	11	TD	pdxST
1	1	8	sfoDF	16	PU	sfoDF
1	1	9	sfoDF	37		sfoDF
1	1	10	sfoDF	21	TD	sfoDF
1	1	11	pdxST	24	PU	pdxST
1	1	12	pdxST	2		pdxST
1	1	13	sfoDF	16	PU	sfoDF
1	1	14	sfoDF	21		sfoDF
1	1	15	sfoDF	16	A	sfoDF
1	1	16	sfoDF	37	G	sfoDF
1	2	1	sfoDF	1	P	pdxST
1	2	2	pdxST	24	PU	pdxST
1	2	3	pdxST	7		pdxST
1	2	4	pdxST	24		pdxST
1	2	5	pdxST	16		pdxST
1	2	6	pdxST	42		pdxST
1	2	7	pdxST	7		pdxST
1	2	8	pdxST	16		pdxST
1	2	9	pdxST	24		pdxST
1	2	10	pdxST	16		pdxST
1	2	11	pdxST	24		pdxST
1	2	12	sfoDF	1	PU	sfoDF
1	2	13	pdxST	7	PU	pdxST
1	2	14	pdxST	42		pdxST
1	2	15	pdxST	11		pdxST
1	2	16	pdxST	7		pdxST
1	2	17	sfoDF	25	PU	sfoDF
1	2	18	sfoDF	25	VTT	sfoDF
1	2	19	pdxST	10	PUA	pdxST
1	2	20	pdxST	16	G	pdxST
1	3	1	pdxST	8	P	sfoDF
1	3	2	sfoDF	88	PU	sfoDF
1	3	3	sfoDF	5		sfoDF
1	3	4	sfoDF	34		sfoDF
1	3	5	sfoDF	23		sfoDF
1	3	6	pdxST	21	PU	pdxST
1	3	7	sfoDF	24	D	pdxST
1	3	8	sfoDF	34	PU	sfoDF
1	3	9	sfoDF	40	LA	sfoDF
1	3	10	sfoDF	23	G	sfoDF
1	4	1	sfoDF	46	P	pdxST
1	4	2	pdxST	11	PU	pdxST
1	4	3	pdxST	24		pdxST
1	4	4	pdxST	7		pdxST
1	4	5	pdxST	11		pdxST
1	4	6	pdxST	24		pdxST
1	4	7	pdxST	10		pdxST
1	4	8	pdxST	24		pdxST
1	4	9	sfoDF	16	PU	sfoDF
1	4	10	sfoDF	46		sfoDF
1	4	11	sfoDF	16		sfoDF
1	4	12	sfoDF	85		sfoDF
1	4	13	sfoDF	21	TD	sfoDF
1	4	14	pdxST	24	PU	pdxST
1	4	15	sfoDF	37	D	pdxST
1	4	16	sfoDF	16	PU	sfoDF
1	4	17	sfoDF	40		sfoDF
1	4	18	sfoDF	21		sfoDF
1	4	19	sfoDF	16	TO	sfoDF
1	4	20	sfoDF	13	PU	sfoDF
1	4	21	sfoDF	40		sfoDF
1	4	22	sfoDF	23		sfoDF
1	4	23	sfoDF	34		sfoDF
1	4	24	sfoDF	24		sfoDF
1	4	25	sfoDF	40	A	sfoDF
1	4	26	sfoDF	5	G	sfoDF
1	5	1	sfoDF	1	P	pdxST
1	5	2	pdxST	7	PU	pdxST
1	5	3	pdxST	11		pdxST
1	5	4	pdxST	7		pdxST
1	5	5	pdxST	11		pdxST
1	5	6	pdxST	6		pdxST
1	5	7	pdxST	11		pdxST
1	5	8	pdxST	10		pdxST
1	5	9	pdxST	7		pdxST
1	5	10	pdxST	11		pdxST
1	5	11	pdxST	7		pdxST
1	5	12	pdxST	6		pdxST
1	5	13	pdxST	7		pdxST
1	5	14	pdxST	11		pdxST
1	5	15	pdxST	7		pdxST
1	5	16	pdxST	6		pdxST
1	5	17	pdxST	7		pdxST
1	5	18	pdxST	14		pdxST
1	5	19	pdxST	7	TD	pdxST
1	5	20	sfoDF	25	PU	sfoDF
1	5	21	sfoDF	17		sfoDF
1	5	22	pdxST	7	FB	sfoDF
1	5	23	pdxST	10	PU	pdxST
1	5	24	pdxST	11		pdxST
1	5	25	pdxST	42		pdxST
1	5	26	pdxST	11		pdxST
1	5	27	pdxST	42		pdxST
1	5	28	pdxST	7		pdxST
1	5	29	pdxST	42		pdxST
1	5	30	pdxST	6		pdxST
1	5	31	pdxST	42	A	pdxST
1	5	32	pdxST	11	G	pdxST
1	6	1	pdxST	8	P	sfoDF
1	6	2	sfoDF	57	PU	sfoDF
1	6	3	sfoDF	13		sfoDF
1	6	4	sfoDF	57		sfoDF
1	6	5	sfoDF	13		sfoDF
1	6	6	sfoDF	57		sfoDF
1	6	7	sfoDF	13		sfoDF
1	6	8	pdxST	8	PU	pdxST
1	6	9	pdxST	21		pdxST
1	6	10	pdxST	8	A	pdxST
1	6	11	pdxST	6	G	pdxST
1	7	1	pdxST	8	P	sfoDF
1	7	2	sfoDF	23	PU	sfoDF
1	7	3	sfoDF	57		sfoDF
1	7	4	sfoDF	40		sfoDF
1	7	5	sfoDF	13		sfoDF
1	7	6	sfoDF	34	A	sfoDF
1	7	7	sfoDF	23	LG	sfoDF
1	8	1	sfoDF	12	P	pdxST
1	8	2	pdxST	24	PU	pdxST
1	8	3	pdxST	11		pdxST
1	8	4	pdxST	24		pdxST
1	8	5	pdxST	10		pdxST
1	8	6	pdxST	24		pdxST
1	8	7	pdxST	11		pdxST
1	8	8	pdxST	7		pdxST
1	8	9	pdxST	42		pdxST
1	8	10	pdxST	2		pdxST
1	8	11	pdxST	42		pdxST
1	8	12	pdxST	16	A	pdxST
1	8	13	pdxST	7	G	pdxST
1	9	1	pdxST	8	P	sfoDF
1	9	2	sfoDF	88	PU	sfoDF
1	9	3	sfoDF	5		sfoDF
1	9	4	sfoDF	23		sfoDF
1	9	5	pdxST	17	D	sfoDF
1	9	6	pdxST	6	PU	pdxST
1	9	7	sfoDF	5	PU	sfoDF
1	9	8	sfoDF	34		sfoDF
1	9	9	sfoDF	23		sfoDF
1	9	10	pdxST	6	PU	pdxST
1	9	11	pdxST	22	TD	pdxST
1	9	12	sfoDF	88	TO	sfoDF
1	9	13	sfoDF	34	PUA	sfoDF
1	9	14	sfoDF	23	G	sfoDF
2	10	1	pdxST	24	P	sfoDF
2	10	2	sfoDF	88	PU	sfoDF
2	10	3	sfoDF	5		sfoDF
2	10	4	sfoDF	23	L	sfoDF
2	10	5	sfoDF	24		sfoDF
2	10	6	sfoDF	23		sfoDF
2	10	7	sfoDF	34		sfoDF
2	10	8	sfoDF	88	A	sfoDF
2	10	9	sfoDF	24	G	sfoDF
2	11	1	sfoDF	46	P	pdxST
2	11	2	pdxST	7	PU	pdxST
2	11	3	pdxST	11		pdxST
2	11	4	pdxST	7		pdxST
2	11	5	pdxST	11		pdxST
2	11	6	pdxST	7		pdxST
2	11	7	pdxST	42		pdxST
2	11	8	pdxST	2		pdxST
2	11	9	pdxST	6		pdxST
2	11	10	sfoDF	16	PU	sfoDF
2	11	11	sfoDF	21	VST	sfoDF
2	11	12	pdxST	10	PU	pdxST
2	11	13	pdxST	7	A	pdxST
2	11	14	pdxST	11	G	pdxST
2	12	1	pdxST	8	P	sfoDF
2	12	2	sfoDF	57	PU	sfoDF
2	12	3	sfoDF	5		sfoDF
2	12	4	sfoDF	57		sfoDF
2	12	5	sfoDF	40		sfoDF
2	12	6	sfoDF	19		sfoDF
2	12	7	sfoDF	40		sfoDF
2	12	8	sfoDF	5		sfoDF
2	12	9	sfoDF	40		sfoDF
2	12	10	sfoDF	5		sfoDF
2	12	11	sfoDF	23		sfoDF
2	12	12	sfoDF	8		sfoDF
2	12	13	sfoDF	23	TD	sfoDF
2	12	14	pdxST	21	PU	pdxST
2	12	15	pdxST	9		pdxST
2	12	16	pdxST	8		pdxST
2	12	17	pdxST	5		pdxST
2	12	18	pdxST	9		pdxST
2	12	19	pdxST	17		pdxST
2	12	20	pdxST	4		pdxST
2	12	21	pdxST	9		pdxST
2	12	22	pdxST	5	TO	pdxST
2	12	23	pdxST	24	PU	pdxST
2	12	24	pdxST	11		pdxST
2	12	25	pdxST	7		pdxST
2	12	26	pdxST	24		pdxST
2	12	27	sfoDF	85	D	pdxST
2	12	28	sfoDF	16	PUA	sfoDF
2	12	29	sfoDF	21	LG	sfoDF
2	13	1	sfoDF	46	P	pdxST
2	13	2	pdxST	24	PU	pdxST
2	13	3	pdxST	7	TD	pdxST
2	13	4	sfoDF	17	PU	sfoDF
2	13	5	sfoDF	14		sfoDF
2	13	6	sfoDF	17		sfoDF
2	13	7	sfoDF	46		sfoDF
2	13	8	sfoDF	25		sfoDF
2	13	9	pdxST	24	PU	pdxST
2	13	10	sfoDF	17	D	pdxST
