poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	pdxST-10		O-CTH	pdxST-24
1	1	1	3	4	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-42
1	1	1	4	5	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-7
1	1	1	5	6	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24
1	1	1	6	7	ao	0	O-CTH	pdxST-24		O-TD	pdxST-11
2	2	1	8	9	ao	0	O-PU	sfoDF-16		O-CTH	sfoDF-37
2	2	1	9	10	ao	0	O-CTH	sfoDF-37		O-TD	sfoDF-21
3	3	1	11	12	ao	0	O-PU	pdxST-24		O-CTH	pdxST-2
3	3	1	12	12	an	-1	O-CTH	pdxST-2		NA	pdxST-2
4	4	1	13	14	ao	0	O-PU	sfoDF-16		O-CTH	sfoDF-21
4	4	1	14	15	ao	0	O-CTH	sfoDF-21		O-CTH	sfoDF-16
4	4	1	15	16	ao	0	O-CTH	sfoDF-16		O-G	sfoDF-37
5	1	2	2	3	ao	0	O-PU	pdxST-24		O-CTH	pdxST-7
5	1	2	3	4	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-24
5	1	2	4	5	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-16
5	1	2	5	6	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-42
5	1	2	6	7	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-7
5	1	2	7	8	ao	0	O-CTH	pdxST-7		O-CTH	pdxST-16
5	1	2	8	9	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-24
5	1	2	9	10	ao	0	O-CTH	pdxST-24		O-CTH	pdxST-16
5	1	2	10	11	ao	0	O-CTH	pdxST-16		O-CTH	pdxST-24
5	1	2	11	11	an	-1	O-CTH	pdxST-24		NA	pdxST-24
6	2	2	12	12	an	-1	O-PU	sfoDF-1		NA	sfoDF-1
7	3	2	13	14	ao	0	O-PU	pdxST-7		O-CTH	pdxST-42
7	3	2	14	15	ao	0	O-CTH	pdxST-42		O-CTH	pdxST-11
