game	player	points	goals	assists	Ds
2014-04-26_pdxST-at-sfoDF	pdxST-7-Friedman	6	4	2	1
2014-04-26_pdxST-at-sfoDF	pdxST-10-Strout	4	1	3	0
2014-04-26_pdxST-at-sfoDF	pdxST-8-Davis	4	1	3	0
2014-04-26_pdxST-at-sfoDF	pdxST-11-Kenton	3	2	1	0
2014-04-26_pdxST-at-sfoDF	pdxST-16-Burton	3	2	1	0
2014-04-26_pdxST-at-sfoDF	pdxST-22-Cole	3	1	2	0
2014-04-26_pdxST-at-sfoDF	pdxST-2-Allison-Hall	2	2	0	1
2014-04-26_pdxST-at-sfoDF	pdxST-6-Bjorklund	2	1	1	2
2014-04-26_pdxST-at-sfoDF	pdxST-42-Lohre	2	1	1	1
2014-04-26_pdxST-at-sfoDF	pdxST-21-McGinn	2	0	2	1
2014-04-26_pdxST-at-sfoDF	pdxST-24-Norden	2	0	2	0
2014-04-26_pdxST-at-sfoDF	pdxST-4-Blackman	1	1	0	0
2014-04-26_pdxST-at-sfoDF	pdxST-5-Woodside	1	1	0	0
2014-04-26_pdxST-at-sfoDF	pdxST-9-Hancock	1	1	0	0
2014-04-26_pdxST-at-sfoDF	pdxST-14-Adamson	0	0	0	1
2014-04-26_pdxST-at-sfoDF	pdxST-17-Hayes	0	0	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-40-Taylor	6	1	5	0
2014-04-26_pdxST-at-sfoDF	sfoDF-24-Caulfield	4	4	0	3
2014-04-26_pdxST-at-sfoDF	sfoDF-23-Jeffery	3	3	0	0
2014-04-26_pdxST-at-sfoDF	sfoDF-21-Stearns	3	1	2	1
2014-04-26_pdxST-at-sfoDF	sfoDF-13-Grant	3	1	2	0
2014-04-26_pdxST-at-sfoDF	sfoDF-16-Yeager	3	0	3	1
2014-04-26_pdxST-at-sfoDF	sfoDF-1-Ranahan	2	2	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-34-Boucher	2	0	2	0
2014-04-26_pdxST-at-sfoDF	sfoDF-37-Hart	1	1	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-5-Cascino	1	1	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-2-Adamson	1	1	0	0
2014-04-26_pdxST-at-sfoDF	sfoDF-46-McCarty	1	1	0	0
2014-04-26_pdxST-at-sfoDF	sfoDF-25-Dixon	1	0	1	1
2014-04-26_pdxST-at-sfoDF	sfoDF-88-Kissmann	1	0	1	0
2014-04-26_pdxST-at-sfoDF	sfoDF-10-Sugioka	0	0	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-17-Boyd-Meredith	0	0	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-85-Brydon	0	0	0	1
2014-04-26_pdxST-at-sfoDF	sfoDF-9-Farren	0	0	0	1
