point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	8	P		
1	2			17	PU
1	3			3	
1	4			20	
1	5			48	
1	6			6	
1	7			17	
1	8			3	
1	9			6	
1	10			99	G
2	1	35	P		
2	2			91	PU
2	3			89	
2	4			91	
2	5			6	
2	6			89	
2	7			6	L
2	8	35	D		
2	9	29	PU		
2	10	23	L		
2	11			89	PU
2	12			21	
2	13			98	
2	14	21	PU		
2	15	35			
2	16	9			
2	17	29			
2	18	9			
2	19	29			
2	20	21			
2	21	35	LG		
3	1	8	P		
3	2			18	PU
3	3	3	D		
3	4	20	PU		
3	5	6			
3	6	51	G		
4	1	35	P		
4	2			19	PU
4	3			91	
4	4			98	
4	5			89	
4	6			91	
4	7			98	
4	8			22	LG
5	1	8	P		
5	2			25	PU
5	3			3	
5	4			17	
5	5			25	
5	6			3	
5	7			20	
5	8			99	LG
6	1	35	P		
6	2			91	PU
6	3			89	
6	4			19	
6	5			89	
6	6			98	
6	7			21	
6	8			19	
6	9			91	
6	10			98	
6	11			10	
6	12			21	
6	13			98	LG
7	1	33	P		
7	2			25	PU
7	3			3	
7	4			17	
7	5			48	L
7	6	14	D		
7	7	14	SO		
7	8	91	SI		
7	9	91	PU		
7	10	8			
7	11	21			
7	12	91	L		
7	13	13	G		
8	1	33	P		
8	2			1	PU
8	3			3	
8	4			26	
8	5			3	
8	6	27	D		
8	7	18	PU		
8	8	31	L		
8	9	27			
8	10	37			
8	11			3	PU
8	12			1	
8	13			6	
8	14			1	
8	15	33	PU		
8	16			20	D
8	17			3	PU
8	18			6	
8	19			25	LG
9	1	35	OBP		
9	2			91	PU
9	3			21	
9	4			91	
9	5			72	L
9	6			98	G
10	1	8	P		
10	2			00	PU
10	3			3	
10	4			00	
10	5			3	
10	6			17	
10	7	18	PU		
10	8	14			
10	9	8			
10	10	13	L		
10	11	45	G		
11	1	33	OBP		
11	2			3	PU
11	3			20	
11	4	33	D		
11	5	33			
11	6	37			
11	7	14			
11	8	81			
11	9	37			
11	10	31			
11	11	33			
11	12	37			
11	13	27	TD		
11	14			3	PU
11	15	81	F		
11	16	33	PU		
12	1	8	P		
12	2			20	PU
12	3			3	
12	4			6	
12	5			20	
12	6	18	D		
12	7	81	PU		
12	8	31			
12	9	45			
12	10	27			
12	11	8			
12	12			99	F
12	13	18	TD		
12	14			3	PU
12	15			25	
12	16			6	
12	17			3	
12	18			48	
12	19			3	
12	20	45	PU		
12	21	81	G		
13	1	33	P		
13	2			3	PU
13	3			20	
13	4			6	
13	5			25	
13	6			99	L
13	7			6	G
14	1	35	P		
14	2			91	PU
14	3			5	
14	4	9	PU		
14	5	8			
14	6	29			
14	7	28			
14	8	28	TO		
14	9	3	PU		
14	10	17			
14	11	6			
14	12	3			
14	13	6			
14	14	48	G		
15	1	4	P		
15	2			15	PU
15	3			89	
15	4			19	
15	5			91	
15	6			19	
15	7			21	
15	8			19	
15	9			91	
15	10			89	
15	11			98	
15	12			89	
15	13			21	
15	14			5	
15	15	9	D		
15	16	29	PU		
15	17			89	PU
15	18			19	
15	19			5	
15	20	13	D		
15	21	21	PU		
15	22	2	G		
16	1	35	P		
16	2			89	PU
16	3			91	
16	4			89	
16	5			91	
16	6			22	
16	7			89	
16	8			8	
16	9			10	G
17	1	33	P		
17	2			3	PU
17	3			48	
17	4			25	
17	5			17	
17	6			48	LG
18	1	35	P		
18	2			19	PU
18	3			5	
18	4			19	
18	5			89	
18	6			19	
18	7			22	
18	8			19	
18	9			22	
18	10			5	
18	11			21	
18	12	35	D		
18	13	29	TO		
18	14	3	PU		
18	15	20			
18	16	17			
18	17	6			
18	18			18	PU
18	19			31	L
18	20	3	PU		
18	21	20			
18	22			81	PU
18	23			18	TO
18	24			91	PU
18	25			98	
18	26			22	G
19	1	8	OBP		
19	2			3	PU
19	3			00	
19	4			3	
19	5			6	
19	6	45	D		
19	7	45			
19	8	8	SO		
19	9	21	SI		
19	10	45			
19	11			00	D
19	12			3	PU
19	13			00	
19	14			3	
19	15			9	
19	16			3	
19	17			48	
19	18			3	
19	19			48	G
20	1	35	P		
20	2			91	PU
20	3			89	
20	4			5	
20	5			91	
20	6			5	
20	7			91	
20	8			98	
20	9			22	
20	10			98	
20	11			22	
20	12			89	
20	13	13	PU		
20	14			89	D
20	15			89	
20	16			98	LG
21	1	35	P		
21	2			19	PU
21	3			89	
21	4			19	
21	5			89	
21	6			91	
21	7			19	
21	8			91	
21	9			22	
21	10			91	
21	11	9	D		
21	12	9			
21	13	29			
21	14	21			
21	15	23	G		
22	1	20	P		
22	2			91	PU
22	3			89	LG
23	1	8	P		
23	2			25	PU
23	3			20	
23	4			3	
23	5			6	
23	6			25	
23	7			3	
23	8			25	
23	9			17	
23	10			3	
23	11			17	
23	12			20	
23	13			48	
23	14	18	F		
23	15			3	
23	16			99	G
24	1	35	P		
24	2			91	PU
24	3			89	
24	4			72	
24	5			91	
24	6			5	
24	7			98	
24	8			5	
24	9			91	
24	10			89	
24	11			91	
24	12			5	
24	13			98	LG
25	1	8	P		
25	2			20	PU
25	3			3	
25	4			20	
25	5			6	
25	6			3	
25	7			17	
25	8	33	PU		
25	9			17	D
25	10			3	PU
25	11			6	
25	12			3	
25	13			17	
25	14			3	
25	15			20	
25	16	91	PU		
25	17	21			
25	18	91			
25	19	98			
25	20	19			
25	21	21			
25	22	5			
25	23	89			
25	24	5			
25	25			13	F
25	26	98			
25	27	91			
25	28	21	G		
26	1	8	P		
26	2			3	PU
26	3			20	
26	4			99	
26	5			5	
26	6			20	
26	7			3	
26	8			6	LG
27	1	35	P		
27	2			5	PU
27	3			91	
27	4			21	
27	5			91	
27	6			5	
27	7			19	
27	8	2	D		
27	9	29	PU		
27	10	35			
27	11			5	PU
27	12			22	
27	13			91	
27	14	9	D		
27	15	35	PU		
27	16	2			
27	17	32			
27	18	28			
27	19	21			
27	20	24	G		
28	1	35	P		
28	2			91	PU
28	3			8	
28	4	9	F		
28	5			91	
28	6	35	TO		
28	7	3	PU		
28	8	17			
28	9	3			
28	10	6			
28	11			27	F
28	12	3			
28	13	6			
28	14	99			
28	15	3			
28	16	99			
28	17	48	L		
29	1	35	P		
29	2			19	PU
29	3			5	
29	4			19	
29	5			91	
29	6			5	
29	7			89	
29	8			5	
29	9			21	
29	10			5	
29	11			19	
29	12			5	
29	13			89	
29	14			22	
29	15			89	
29	16			98	
29	17			89	
29	18			22	
29	19	29	PU		
29	20	35			
29	21	21	L		
29	22	9	G		
30	1	29	P		
30	2			89	PU
30	3			18	
30	4			8	LG
31	1	8	P		
31	2			25	PU
31	3			3	
31	4			99	
31	5	8	TO		
31	6	91	PU		
31	7	98			
31	8			29	D
31	9			21	PU
31	10			35	
31	11			23	
31	12			35	
31	13			29	
31	14			21	
31	15			13	
31	16			35	
31	17			9	G
32	1	35	P		
32	2			89	PU
32	3			91	
32	4			89	
32	5			10	
32	6			8	
32	7			72	
32	8			10	
