game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-04-26_vanNH-at-seaRM	vanNH-98	wong	6	0.86	4	2	14	12	18	0	0	vanNH	98
2014-04-26_vanNH-at-seaRM	vanNH-13	tessarolo	3	1	1	2	2	2	3	0	0	vanNH	13
2014-04-26_vanNH-at-seaRM	vanNH-8	hibbert	3	0.91	1	2	11	10	11	0	1	vanNH	8
2014-04-26_vanNH-at-seaRM	vanNH-91	savage	3	0.93	0	3	41	38	28	0	0	vanNH	91
2014-04-26_vanNH-at-seaRM	vanNH-22	berezan	2	0.82	2	0	11	9	13	0	0	vanNH	22
2014-04-26_vanNH-at-seaRM	vanNH-45	cowan	2	0.83	1	1	6	5	5	1	0	vanNH	45
2014-04-26_vanNH-at-seaRM	vanNH-89	underhill	2	0.97	1	1	31	30	25	1	0	vanNH	89
2014-04-26_vanNH-at-seaRM	vanNH-21	loach	2	0.92	1	1	12	11	13	0	0	vanNH	21
2014-04-26_vanNH-at-seaRM	vanNH-5	norris	2	0.82	1	1	22	18	20	0	1	vanNH	5
2014-04-26_vanNH-at-seaRM	vanNH-72	leduc	2	1	1	1	3	3	4	0	0	vanNH	72
2014-04-26_vanNH-at-seaRM	vanNH-10	chatha	1	1	1	0	3	3	4	0	0	vanNH	10
2014-04-26_vanNH-at-seaRM	vanNH-81	tejpar	1	0.8	1	0	5	4	4	0	0	vanNH	81
2014-04-26_vanNH-at-seaRM	vanNH-18	menzies	1	0.78	0	1	9	7	4	1	1	vanNH	18
2014-04-26_vanNH-at-seaRM	vanNH-14	eyrich	0	1	0	0	2	2	2	1	0	vanNH	14
2014-04-26_vanNH-at-seaRM	vanNH-27	davis	0	1	0	0	2	2	2	1	0	vanNH	27
2014-04-26_vanNH-at-seaRM	vanNH-33	collins	0	0.43	0	0	7	3	2	1	0	vanNH	33
2014-04-26_vanNH-at-seaRM	vanNH-19	knapp	0	0.95	0	0	19	18	15	0	0	vanNH	19
2014-04-26_vanNH-at-seaRM	vanNH-31	saito	0	0.67	0	0	6	4	6	0	0	vanNH	31
2014-04-26_vanNH-at-seaRM	vanNH-37	sinclair	0	0.5	0	0	4	2	4	0	1	vanNH	37
2014-04-26_vanNH-at-seaRM	vanNH-6	gailits	0	0.5	0	0	2	1	2	0	0	vanNH	6
2014-04-26_vanNH-at-seaRM	vanNH-75	bellavance	0	1	0	0	3	3	3	0	0	vanNH	75
2014-04-26_vanNH-at-seaRM	seaRM-6	trytiak	6	0.89	2	4	19	17	21	0	0	seaRM	6
2014-04-26_vanNH-at-seaRM	seaRM-99	el-salaam	5	0.8	4	1	5	4	9	1	0	seaRM	99
2014-04-26_vanNH-at-seaRM	seaRM-21	phan	5	1	0	5	11	11	8	0	0	seaRM	21
2014-04-26_vanNH-at-seaRM	seaRM-48	clark	4	0.71	4	0	7	5	11	0	0	seaRM	48
2014-04-26_vanNH-at-seaRM	seaRM-3	o'brien	4	0.92	0	4	53	49	33	2	0	seaRM	3
2014-04-26_vanNH-at-seaRM	seaRM-9	harkness	3	1	3	0	5	5	6	3	0	seaRM	9
2014-04-26_vanNH-at-seaRM	seaRM-23	sliva	2	0.67	2	0	3	2	5	0	0	seaRM	23
2014-04-26_vanNH-at-seaRM	seaRM-35	koss	2	0.9	1	1	10	9	9	2	0	seaRM	35
2014-04-26_vanNH-at-seaRM	seaRM-17	zemel	2	0.88	0	2	17	15	16	1	0	seaRM	17
2014-04-26_vanNH-at-seaRM	seaRM-2	bubernak	1	1	1	0	1	1	2	1	0	seaRM	2
2014-04-26_vanNH-at-seaRM	seaRM-24	duffel	1	NA	1	0	0	0	1	0	0	seaRM	24
2014-04-26_vanNH-at-seaRM	seaRM-25	rosatto	1	1	1	0	12	12	9	0	0	seaRM	25
2014-04-26_vanNH-at-seaRM	seaRM-51	entz	1	NA	1	0	0	0	1	0	0	seaRM	51
2014-04-26_vanNH-at-seaRM	seaRM-20	simon	1	0.72	0	1	18	13	15	1	0	seaRM	20
2014-04-26_vanNH-at-seaRM	seaRM-29	feeley	1	0.94	0	1	16	15	12	1	0	seaRM	29
2014-04-26_vanNH-at-seaRM	seaRM-4	schneider	1	0.5	0	1	2	1	1	0	0	seaRM	4
2014-04-26_vanNH-at-seaRM	seaRM-00	rupp	0	1	0	0	5	5	4	1	0	seaRM	00
2014-04-26_vanNH-at-seaRM	seaRM-13	sewell	0	0.67	0	0	3	2	2	1	0	seaRM	13
2014-04-26_vanNH-at-seaRM	seaRM-1	mckibben	0	0.67	0	0	3	2	2	0	0	seaRM	1
2014-04-26_vanNH-at-seaRM	seaRM-10	kalmakis	0	1	0	0	1	1	0	0	0	seaRM	10
2014-04-26_vanNH-at-seaRM	seaRM-28	linn	0	1	0	0	3	3	4	0	0	seaRM	28
2014-04-26_vanNH-at-seaRM	seaRM-5	chu	0	0.8	0	0	5	4	5	0	0	seaRM	5
2014-04-26_vanNH-at-seaRM	seaRM-8	fong	0	1	0	0	1	1	1	0	0	seaRM	8
