period	point	event	pl_team	pl_pnum	pl_code
1	1	1	vanNH	8	P
1	1	2	seaRM	17	PU
1	1	3	seaRM	3	
1	1	4	seaRM	20	
1	1	5	seaRM	48	
1	1	6	seaRM	6	
1	1	7	seaRM	17	
1	1	8	seaRM	3	
1	1	9	seaRM	6	A
1	1	10	seaRM	99	G
1	2	1	seaRM	35	P
1	2	2	vanNH	91	PU
1	2	3	vanNH	89	
1	2	4	vanNH	91	
1	2	5	vanNH	6	
1	2	6	vanNH	89	
1	2	7	vanNH	6	L
1	2	8	seaRM	35	D
1	2	9	seaRM	29	PU
1	2	10	seaRM	23	L
1	2	11	vanNH	89	PU
1	2	12	vanNH	21	
1	2	13	vanNH	98	
1	2	14	seaRM	21	PU
1	2	15	seaRM	35	
1	2	16	seaRM	9	
1	2	17	seaRM	29	
1	2	18	seaRM	9	
1	2	19	seaRM	29	
1	2	20	seaRM	21	A
1	2	21	seaRM	35	LG
1	3	1	seaRM	8	P
1	3	2	vanNH	18	PU
1	3	3	seaRM	3	D
1	3	4	seaRM	20	PU
1	3	5	seaRM	6	A
1	3	6	seaRM	51	G
1	4	1	seaRM	35	P
1	4	2	vanNH	19	PU
1	4	3	vanNH	91	
1	4	4	vanNH	98	
1	4	5	vanNH	89	
1	4	6	vanNH	91	
1	4	7	vanNH	98	A
1	4	8	vanNH	22	LG
1	5	1	vanNH	8	P
1	5	2	seaRM	25	PU
1	5	3	seaRM	3	
1	5	4	seaRM	17	
1	5	5	seaRM	25	
1	5	6	seaRM	3	
1	5	7	seaRM	20	A
1	5	8	seaRM	99	LG
1	6	1	seaRM	35	P
1	6	2	vanNH	91	PU
1	6	3	vanNH	89	
1	6	4	vanNH	19	
1	6	5	vanNH	89	
1	6	6	vanNH	98	
1	6	7	vanNH	21	
1	6	8	vanNH	19	
1	6	9	vanNH	91	
1	6	10	vanNH	98	
1	6	11	vanNH	10	
1	6	12	vanNH	21	A
1	6	13	vanNH	98	LG
1	7	1	vanNH	33	P
1	7	2	seaRM	25	PU
1	7	3	seaRM	3	
1	7	4	seaRM	17	
1	7	5	seaRM	48	L
1	7	6	vanNH	14	D
1	7	7	vanNH	14	SO
1	7	8	vanNH	91	SI
1	7	9	vanNH	91	PU
1	7	10	vanNH	8	
1	7	11	vanNH	21	
1	7	12	vanNH	91	LA
1	7	13	vanNH	13	G
1	8	1	vanNH	33	P
1	8	2	seaRM	1	PU
1	8	3	seaRM	3	
1	8	4	seaRM	26	
1	8	5	seaRM	3	
1	8	6	vanNH	27	D
1	8	7	vanNH	18	PU
1	8	8	vanNH	31	L
1	8	9	vanNH	27	
1	8	10	vanNH	37	
1	8	11	seaRM	3	PU
1	8	12	seaRM	1	
1	8	13	seaRM	6	
1	8	14	seaRM	1	
1	8	15	vanNH	33	PU
1	8	16	seaRM	20	D
1	8	17	seaRM	3	PU
1	8	18	seaRM	6	A
1	8	19	seaRM	25	LG
1	9	1	seaRM	35	OBP
1	9	2	vanNH	91	PU
1	9	3	vanNH	21	
1	9	4	vanNH	91	
1	9	5	vanNH	72	LA
1	9	6	vanNH	98	G
1	10	1	vanNH	8	P
1	10	2	seaRM	0	PU
1	10	3	seaRM	3	
1	10	4	seaRM	0	
1	10	5	seaRM	3	
1	10	6	seaRM	17	
1	10	7	vanNH	18	PU
1	10	8	vanNH	14	
1	10	9	vanNH	8	
1	10	10	vanNH	13	LA
1	10	11	vanNH	45	G
1	11	1	vanNH	33	OBP
1	11	2	seaRM	3	PU
