point	event	pull_pnum	pull_code	recv_pnum	recv_code
1	1	11	P		
1	2			99	PU
1	3			27	
1	4			45	
1	5			27	
1	6			90	
1	7			9	
1	8			88	
1	9			27	G
2	1	15	P		
2	2			4	PU
2	3			00	
2	4			1	
2	5	5	D		
2	6	15	PU		
2	7	23			
2	8	1			
2	9	23			
2	10			00	HB
2	11			13	PU
2	12	5	D		
2	13	15	PU		
2	14	1			
2	15	5			
2	16	6			
2	17	24			
2	18	15	TD		
2	19			4	PU
2	20	15	TO		
2	21	99	PU		
2	22	9			
2	23	45	G		
3	1	61	P		
3	2			00	PU
3	3			13	
3	4			3	
3	5			00	
3	6			77	TD
3	7	19	PU		
3	8	17			
3	9	21			
3	10	24			
3	11	19			
3	12	61			
3	13	1			
3	14	19			
3	15	1			
3	16			13	PU
3	17			00	
3	18			13	
3	19			1	
3	20			3	
3	21			4	
3	22			13	LG
4	1	43	P		
4	2			99	PU
4	3			45	
4	4			9	
4	5			45	
4	6	14	PU		
4	7	18			
4	8	43			
4	9	29			
4	10			90	PU
4	11			99	
4	12			32	
4	13			99	
4	14			32	
4	15			90	
4	16			45	
4	17			88	
4	18			99	
4	19			80	
4	20			99	
4	21			9	
4	22			32	
4	23			90	
4	24	43	D		
4	25	14	PU		
4	26	43			
4	27	29			
4	28	8			
4	29	25			
4	30	43			
4	31	14			
4	32	43	G		
5	1	11	P		
5	2			99	PU
5	3			27	
5	4			14	
5	5			90	
5	6			5	
5	7	12	PU		
5	8	27	G		
6	1	43	P		
6	2			12	PU
6	3			21	
6	4			15	
6	5			6	
6	6			45	
6	7			15	
6	8			12	
6	9			19	TD
6	10	14	PU		
6	11	8			
6	12	29			
6	13	93	TO		
6	14	13	PU		
6	15	4			
6	16	77			
6	17	00			
6	18	77			
6	19	13			
6	20	77			
6	21	9			
6	22	77	G		
7	1	11	P		
7	2			27	PU
7	3			99	
7	4			27	
7	5			90	
7	6			32	
7	7			45	
7	8			32	
7	9			99	
7	10			32	
7	11			90	
7	12			45	G
8	1	15	P		
8	2			00	PU
8	3			13	
