point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	wdcCT
1	1	10:00:00	9:26:00	bosWC	1	wdcCT	hold	0	1
2	1	9:26:00	7:03:00	wdcCT	6	wdcCT	break	0	2
3	1	7:03:00	5:10:00	wdcCT	3	bosWC	hold	1	2
4	1	5:10:00	2:15:00	bosWC	4	bosWC	break	2	2
5	1	2:15:00	1:46:00	bosWC	2	bosWC	break	3	2
6	1	1:46:00	0:23:00	bosWC	2	bosWC	break	4	2
7	1	0:23:00	0:00:00	bosWC	1	wdcCT	hold	4	3
8	2	10:00:00	9:16:00	wdcCT	2	wdcCT	break	4	4
9	2	9:16:00	8:55:00	wdcCT	1	bosWC	hold	5	4
10	2	8:55:00	8:11:00	bosWC	1	wdcCT	hold	5	5
11	2	8:11:00	7:20:00	wdcCT	1	bosWC	hold	6	5
12	2	7:20:00	4:12:00	bosWC	5	wdcCT	hold	6	6
13	2	4:12:00	3:02:00	wdcCT	1	bosWC	hold	7	6
14	2	3:02:00	2:44:00	bosWC	2	bosWC	break	8	6
15	2	2:44:00	0:35:00	bosWC	3	wdcCT	hold	8	7
16	2	0:35:00	0:14:00	wdcCT	1	bosWC	hold	9	7
17	2	0:14:00	0:00:00	bosWC	NA	NA	NA	9	7
18	3	10:00:00	7:27:00	bosWC	4	bosWC	break	10	7
19	3	7:27:00	6:35:00	bosWC	1	wdcCT	hold	10	8
20	3	6:35:00	6:09:00	wdcCT	1	bosWC	hold	11	8
21	3	6:09:00	5:18:00	bosWC	2	bosWC	break	12	8
22	3	5:18:00	2:35:00	bosWC	2	bosWC	break	13	8
23	3	2:35:00	0:00:00	bosWC	NA	NA	NA	13	8
24	4	10:00:00	8:09:00	wdcCT	3	bosWC	hold	14	8
25	4	8:09:00	7:02:00	bosWC	3	wdcCT	hold	14	9
26	4	7:02:00	5:05:00	wdcCT	3	bosWC	hold	15	9
27	4	5:05:00	4:28:00	bosWC	1	wdcCT	hold	15	10
28	4	4:28:00	3:56:00	wdcCT	1	bosWC	hold	16	10
29	4	3:56:00	2:56:00	bosWC	3	wdcCT	hold	16	11
30	4	2:56:00	1:52:00	wdcCT	2	wdcCT	break	16	12
31	4	1:52:00	1:33:00	wdcCT	1	bosWC	hold	17	12
32	4	1:33:00	0:00:00	bosWC	NA	NA	NA	17	12
