period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	bosWC	9	1	1	wdcCT	wdcCT	27	G	9	FALSE	TRUE	wdcCT	o_line	G	G
1	2	wdcCT	5	2	1	bosWC	wdcCT	5	D	5	FALSE	FALSE	NA	o_line	D	def +
1	2	wdcCT	10	3	2	wdcCT	bosWC	00	HB	5	FALSE	FALSE	NA	d_line	D	def +
1	2	wdcCT	12	4	3	bosWC	wdcCT	5	D	2	FALSE	FALSE	NA	o_line	D	def +
1	2	wdcCT	18	5	4	wdcCT	wdcCT	15	TD	6	FALSE	FALSE	NA	d_line	TD	off -
1	2	wdcCT	19	6	5	bosWC	bosWC	4	TA	1	FALSE	FALSE	NA	o_line	TA	off -
1	2	wdcCT	23	7	6	wdcCT	wdcCT	45	G	4	FALSE	TRUE	wdcCT	d_line	G	G
1	3	wdcCT	6	8	1	bosWC	bosWC	77	TD	6	FALSE	FALSE	NA	o_line	TD	off -
1	3	wdcCT	15	9	2	wdcCT	wdcCT	1	TA	9	FALSE	FALSE	NA	d_line	TA	off -
1	3	wdcCT	22	10	3	bosWC	bosWC	13	LG	7	TRUE	TRUE	bosWC	o_line	G	G
1	4	bosWC	5	11	1	wdcCT	wdcCT	45	TA	5	FALSE	FALSE	NA	o_line	TA	off -
1	4	bosWC	9	12	2	bosWC	bosWC	29	TA	4	FALSE	FALSE	NA	d_line	TA	off -
1	4	bosWC	24	13	3	wdcCT	bosWC	43	D	15	FALSE	FALSE	NA	o_line	D	def +
1	4	bosWC	32	14	4	bosWC	bosWC	43	G	8	FALSE	TRUE	bosWC	d_line	G	G
1	5	bosWC	6	15	1	wdcCT	wdcCT	5	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	5	bosWC	8	16	2	bosWC	bosWC	27	G	2	FALSE	TRUE	bosWC	d_line	G	G
1	6	bosWC	9	17	1	wdcCT	wdcCT	19	TD	9	FALSE	FALSE	NA	o_line	TD	off -
1	6	bosWC	22	18	2	bosWC	bosWC	77	G	13	FALSE	TRUE	bosWC	d_line	G	G
1	7	bosWC	12	19	1	wdcCT	wdcCT	45	G	12	FALSE	TRUE	wdcCT	o_line	G	G
2	8	wdcCT	4	20	1	bosWC	bosWC	77	TA	4	FALSE	FALSE	NA	o_line	TA	off -
2	8	wdcCT	13	21	2	wdcCT	wdcCT	5	G	9	FALSE	TRUE	wdcCT	d_line	G	G
2	9	wdcCT	6	22	1	bosWC	bosWC	1	LG	6	TRUE	TRUE	bosWC	o_line	G	G
2	10	bosWC	10	23	1	wdcCT	wdcCT	32	G	10	FALSE	TRUE	wdcCT	o_line	G	G
2	11	wdcCT	12	24	1	bosWC	bosWC	17	G	12	FALSE	TRUE	bosWC	o_line	G	G
2	12	bosWC	9	25	1	wdcCT	wdcCT	99	TA	9	FALSE	FALSE	NA	o_line	TA	off -
2	12	bosWC	15	26	2	bosWC	wdcCT	99	D	6	FALSE	FALSE	NA	d_line	D	def +
2	12	bosWC	18	27	3	wdcCT	wdcCT	27	VTT	3	FALSE	FALSE	NA	o_line	VTT	off -
2	12	bosWC	24	28	4	bosWC	bosWC	12	TA	6	TRUE	FALSE	NA	d_line	TA	off -
2	12	bosWC	35	29	5	wdcCT	wdcCT	80	G	11	FALSE	TRUE	wdcCT	o_line	G	G
2	13	wdcCT	16	30	1	bosWC	bosWC	9	G	16	FALSE	TRUE	bosWC	o_line	G	G
2	14	bosWC	4	31	1	wdcCT	bosWC	27	D	4	FALSE	FALSE	NA	o_line	D	def +
2	14	bosWC	8	32	2	bosWC	bosWC	27	LG	4	TRUE	TRUE	bosWC	d_line	G	G
2	15	bosWC	10	33	1	wdcCT	bosWC	14	HB	10	FALSE	FALSE	NA	o_line	D	def +
2	15	bosWC	12	34	2	bosWC	bosWC	8	TA	2	FALSE	FALSE	NA	d_line	TA	off -
2	15	bosWC	27	35	3	wdcCT	wdcCT	99	G	15	FALSE	TRUE	wdcCT	o_line	G	G
2	16	wdcCT	8	36	1	bosWC	bosWC	9	G	8	FALSE	TRUE	bosWC	o_line	G	G
2	17	bosWC	4	37	1	wdcCT	wdcCT	27	TD	4	FALSE	FALSE	NA	o_line	TD	off -
2	17	bosWC	8	38	2	bosWC	wdcCT	15	D	4	FALSE	FALSE	NA	d_line	D	def +
2	17	bosWC	10	39	3	wdcCT	bosWC	1	eop	2	FALSE	FALSE	NA	o_line	eop	eop
3	18	bosWC	7	40	1	wdcCT	bosWC	27	D	7	FALSE	FALSE	NA	o_line	D	def +
3	18	bosWC	12	41	2	bosWC	bosWC	27	TA	5	FALSE	FALSE	NA	d_line	TA	off -
3	18	bosWC	17	42	3	wdcCT	bosWC	11	D	5	FALSE	FALSE	NA	o_line	D	def +
3	18	bosWC	32	43	4	bosWC	bosWC	5	G	15	FALSE	TRUE	bosWC	d_line	G	G
3	19	bosWC	16	44	1	wdcCT	wdcCT	80	G	16	FALSE	TRUE	wdcCT	o_line	G	G
3	20	wdcCT	8	45	1	bosWC	bosWC	17	G	8	FALSE	TRUE	bosWC	o_line	G	G
3	21	bosWC	5	46	1	wdcCT	wdcCT	90	TA	5	TRUE	FALSE	NA	o_line	TA	off -
3	21	bosWC	11	47	2	bosWC	bosWC	27	G	6	FALSE	TRUE	bosWC	d_line	G	G
3	22	bosWC	12	48	1	wdcCT	wdcCT	5	TA	12	FALSE	FALSE	NA	o_line	TA	off -
3	22	bosWC	32	49	2	bosWC	bosWC	13	G	20	FALSE	TRUE	bosWC	d_line	G	G
3	23	bosWC	9	50	1	wdcCT	wdcCT	9	TA	9	FALSE	FALSE	NA	o_line	TA	off -
3	23	bosWC	17	51	2	bosWC	wdcCT	9	D	8	FALSE	FALSE	NA	d_line	D	def +
3	23	bosWC	29	52	3	wdcCT	wdcCT	14	eop	12	FALSE	FALSE	NA	o_line	eop	eop
4	24	wdcCT	4	53	1	bosWC	bosWC	3	TA	4	FALSE	FALSE	NA	o_line	TA	off -
4	24	wdcCT	9	54	2	wdcCT	wdcCT	19	TA	5	FALSE	FALSE	NA	d_line	TA	off -
4	24	wdcCT	22	55	3	bosWC	bosWC	77	G	13	TRUE	TRUE	bosWC	o_line	G	G
4	25	bosWC	10	56	1	wdcCT	bosWC	43	D	10	FALSE	FALSE	NA	o_line	D	def +
4	25	bosWC	15	57	2	bosWC	wdcCT	14	D	5	FALSE	FALSE	NA	d_line	D	def +
4	25	bosWC	18	58	3	wdcCT	wdcCT	45	LG	3	TRUE	TRUE	wdcCT	o_line	G	G
4	26	wdcCT	10	59	1	bosWC	bosWC	13	TA	10	FALSE	FALSE	NA	o_line	TA	off -
4	26	wdcCT	15	60	2	wdcCT	wdcCT	15	VTT	5	FALSE	FALSE	NA	d_line	VTT	off -
4	26	wdcCT	19	61	3	bosWC	bosWC	1	G	4	FALSE	TRUE	bosWC	o_line	G	G
4	27	bosWC	8	62	1	wdcCT	wdcCT	80	G	8	TRUE	TRUE	wdcCT	o_line	G	G
4	28	wdcCT	9	63	1	bosWC	bosWC	17	G	9	FALSE	TRUE	bosWC	o_line	G	G
4	29	bosWC	7	64	1	wdcCT	bosWC	11	D	7	FALSE	FALSE	NA	o_line	D	def +
4	29	bosWC	8	65	2	bosWC	bosWC	8	TA	1	FALSE	FALSE	NA	d_line	TA	off -
4	29	bosWC	14	66	3	wdcCT	wdcCT	45	LG	6	TRUE	TRUE	wdcCT	o_line	G	G
4	30	wdcCT	4	67	1	bosWC	bosWC	9	TA	4	FALSE	FALSE	NA	o_line	TA	off -
4	30	wdcCT	13	68	2	wdcCT	wdcCT	1	G	9	FALSE	TRUE	wdcCT	d_line	G	G
4	31	wdcCT	7	69	1	bosWC	bosWC	1	G	7	FALSE	TRUE	bosWC	o_line	G	G
4	32	bosWC	3	70	1	wdcCT	wdcCT	15	TA	3	FALSE	FALSE	NA	o_line	TA	off -
4	32	bosWC	13	71	2	bosWC	wdcCT	15	D	10	FALSE	FALSE	NA	d_line	D	def +
4	32	bosWC	20	72	3	wdcCT	wdcCT	90	TA	7	TRUE	FALSE	NA	o_line	TA	off -
4	32	bosWC	21	73	4	bosWC	bosWC	12	eop	1	FALSE	FALSE	NA	d_line	eop	eop
