point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Boston	1	10:00:00	9:34:00
2	New York	1	9:34:00	7:44:00
3	Boston	1	7:44:00	6:59:00
4	New York	1	6:59:00	3:52:00
5	Boston	1	3:52:00	2:58:00
6	Boston	1	2:58:00	0:43:00
7	New York	1	0:43:00	0:22:00
8	Boston	1	0:22:00	0:02:00
9	New York	1	0:02:00	0:00:00
10	New York	2	10:00:00	9:00:00
11	Boston	2	9:00:00	2:50:00
12	New York	2	2:50:00	1:49:00
13	New York	2	1:49:00	0:56:00
14	Boston	2	0:56:00	0:05:00
15	New York	2	0:05:00	0:00:00
16	Boston	3	10:00:00	8:12:00
17	New York	3	8:12:00	NA
18	New York	3	NA	NA
19	Boston	3	NA	NA
20	New York	3	NA	NA
21	Boston	3	NA	NA
22	New York	3	NA	NA
23	New York	3	NA	NA
24	Boston	3	NA	NA
25	New York	3	1:15:00	NA
26	Boston	3	NA	0:00:00
27	New York	4	10:00:00	9:49:00
28	Boston	4	9:49:00	8:57:00
29	New York	4	8:57:00	8:30:00
30	Boston	4	8:37:00	8:18:00
31	New York	4	8:18:00	6:31:00
32	New York	4	6:10:00	5:58:00
33	Boston	4	5:58:00	3:30:00
34	Boston	4	3:30:00	NA
35	New York	4	NA	NA
36	Boston	4	1:42:00	0:46:00
37	Boston	4	0:46:00	0:30:00
38	New York	4	NA	0:22:00
39	Boston	4	0:22:00	0:00:00
