point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	bosWC	nykRM	pt_dur	pt_dur_txt
1	1	10:00:00	9:34:00	bosWC	1	nykRM	hold	0	1	26	00:26
2	1	9:34:00	7:44:00	nykRM	3	bosWC	hold	1	1	110	01:50
3	1	7:44:00	6:59:00	bosWC	1	nykRM	hold	1	2	45	00:45
4	1	6:59:00	3:52:00	nykRM	5	bosWC	hold	2	2	187	03:07
5	1	3:52:00	2:58:00	bosWC	2	bosWC	break	3	2	54	00:54
6	1	2:58:00	0:43:00	bosWC	3	nykRM	hold	3	3	135	02:15
7	1	0:43:00	0:22:00	nykRM	1	bosWC	hold	4	3	21	00:21
8	1	0:22:00	0:02:00	bosWC	1	nykRM	hold	4	4	20	00:20
9	1	0:02:00	0:00:00	nykRM	NA	NA	NA	4	4	2	00:02
10	2	10:00:00	9:00:00	nykRM	1	bosWC	hold	5	4	60	01:00
11	2	9:00:00	2:50:00	bosWC	9	nykRM	hold	5	5	370	06:10
12	2	2:50:00	1:49:00	nykRM	2	nykRM	break	5	6	61	01:01
13	2	1:49:00	0:56:00	nykRM	3	bosWC	hold	6	6	53	00:53
14	2	0:56:00	0:05:00	bosWC	1	nykRM	hold	6	7	51	00:51
15	2	0:05:00	0:00:00	nykRM	NA	NA	NA	6	7	5	00:05
16	3	10:00:00	8:12:00	bosWC	3	nykRM	hold	6	8	108	01:48
17	3	8:12:00	NA	nykRM	2	nykRM	break	6	9	NA	???
18	3	NA	NA	nykRM	1	bosWC	hold	7	9	NA	???
19	3	NA	NA	bosWC	1	nykRM	hold	7	10	NA	???
20	3	NA	NA	nykRM	1	bosWC	hold	8	10	NA	???
21	3	NA	NA	bosWC	1	nykRM	hold	8	11	NA	???
22	3	NA	NA	nykRM	2	nykRM	break	8	12	NA	???
23	3	NA	NA	nykRM	1	bosWC	hold	9	12	NA	???
24	3	NA	NA	bosWC	3	nykRM	hold	9	13	NA	???
25	3	1:15:00	NA	nykRM	1	bosWC	hold	10	13	NA	???
26	3	NA	0:00:00	bosWC	NA	NA	NA	10	13	NA	???
27	4	10:00:00	9:49:00	nykRM	1	bosWC	hold	11	13	11	00:11
28	4	9:49:00	8:57:00	bosWC	1	nykRM	hold	11	14	52	00:52
29	4	8:57:00	8:30:00	nykRM	1	bosWC	hold	12	14	27	00:27
30	4	8:37:00	8:18:00	bosWC	1	nykRM	hold	12	15	19	00:19
31	4	8:18:00	6:31:00	nykRM	6	nykRM	break	12	16	107	01:47
32	4	6:10:00	5:58:00	nykRM	1	bosWC	hold	13	16	12	00:12
33	4	5:58:00	3:30:00	bosWC	4	bosWC	break	14	16	148	02:28
34	4	3:30:00	NA	bosWC	3	nykRM	hold	14	17	NA	???
35	4	NA	NA	nykRM	1	bosWC	hold	15	17	NA	???
36	4	1:42:00	0:46:00	bosWC	4	bosWC	break	16	17	56	00:56
37	4	0:46:00	0:30:00	bosWC	1	nykRM	hold	16	18	16	00:16
38	4	NA	0:22:00	nykRM	1	bosWC	hold	17	18	NA	???
39	4	0:22:00	0:00:00	bosWC	NA	NA	NA	17	18	22	00:22
