game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-05-03_bosWC-at-nykRM	bosWC-21	graham	5	1	3	2	27	27	32	0	0	bosWC	21
2014-05-03_bosWC-at-nykRM	bosWC-7	brecher	5	0.96	2	3	27	26	19	1	0	bosWC	7
2014-05-03_bosWC-at-nykRM	bosWC-77	clark	4	0.86	3	1	14	12	16	0	0	bosWC	77
2014-05-03_bosWC-at-nykRM	bosWC-17	foster	4	1	2	2	3	3	5	0	0	bosWC	17
2014-05-03_bosWC-at-nykRM	bosWC-13	malacek	4	0.78	1	3	32	25	25	0	1	bosWC	13
2014-05-03_bosWC-at-nykRM	bosWC-18	browar-jarus	3	0.86	3	0	7	6	10	0	1	bosWC	18
2014-05-03_bosWC-at-nykRM	bosWC-11	foster	2	0.8	1	1	5	4	6	0	0	bosWC	11
2014-05-03_bosWC-at-nykRM	bosWC-3	zid	2	1	1	1	11	11	12	0	0	bosWC	3
2014-05-03_bosWC-at-nykRM	bosWC-00	taylor	2	1	0	2	21	21	11	0	0	bosWC	00
2014-05-03_bosWC-at-nykRM	bosWC-64	farnsworth	1	NA	1	0	0	0	1	0	0	bosWC	64
2014-05-03_bosWC-at-nykRM	bosWC-8	cooper	1	0.71	0	1	7	5	6	1	0	bosWC	8
2014-05-03_bosWC-at-nykRM	bosWC-5	doherty	1	1	0	1	4	4	4	0	0	bosWC	5
2014-05-03_bosWC-at-nykRM	bosWC-27	hatchett	0	1	0	0	3	3	4	2	0	bosWC	27
2014-05-03_bosWC-at-nykRM	bosWC-12	simmons	0	1	0	0	8	8	5	1	0	bosWC	12
2014-05-03_bosWC-at-nykRM	bosWC-29	stevens	0	NA	0	0	0	0	0	1	0	bosWC	29
2014-05-03_bosWC-at-nykRM	bosWC-1	markette	0	1	0	0	1	1	1	0	0	bosWC	1
2014-05-03_bosWC-at-nykRM	bosWC-10	ingold-smith	0	0.78	0	0	9	7	6	0	1	bosWC	10
2014-05-03_bosWC-at-nykRM	bosWC-14	montgomery-butler	0	0.88	0	0	8	7	5	0	0	bosWC	14
2014-05-03_bosWC-at-nykRM	bosWC-25	mcdonnell	0	1	0	0	2	2	2	0	0	bosWC	25
2014-05-03_bosWC-at-nykRM	bosWC-28	trahey	0	1	0	0	2	2	2	0	0	bosWC	28
2014-05-03_bosWC-at-nykRM	bosWC-43	hirschberger	0	0.5	0	0	2	1	2	0	0	bosWC	43
2014-05-03_bosWC-at-nykRM	bosWC-93	smart	0	NA	0	0	0	0	1	0	0	bosWC	93
2014-05-03_bosWC-at-nykRM	nykRM-6	mazur	8	0.93	2	6	43	40	33	2	0	nykRM	6
2014-05-03_bosWC-at-nykRM	nykRM-19	saul	5	0.95	1	4	42	40	33	0	0	nykRM	19
2014-05-03_bosWC-at-nykRM	nykRM-22	marsh	4	0.76	4	0	17	13	21	0	2	nykRM	22
2014-05-03_bosWC-at-nykRM	nykRM-41	faust	4	0.93	3	1	15	14	18	0	0	nykRM	41
2014-05-03_bosWC-at-nykRM	nykRM-44	gillies	3	1	3	0	5	5	8	0	0	nykRM	44
2014-05-03_bosWC-at-nykRM	nykRM-2	heljmen	3	0.92	1	2	12	11	12	0	0	nykRM	2
2014-05-03_bosWC-at-nykRM	nykRM-47	murphy	3	1	1	2	15	15	11	0	0	nykRM	47
2014-05-03_bosWC-at-nykRM	nykRM-3	cox	2	1	1	1	4	4	5	1	0	nykRM	3
2014-05-03_bosWC-at-nykRM	nykRM-21	anderson	1	0.83	1	0	6	5	5	2	0	nykRM	21
2014-05-03_bosWC-at-nykRM	nykRM-5	sender	1	1	1	0	5	5	5	0	0	nykRM	5
2014-05-03_bosWC-at-nykRM	nykRM-14	vuckovich	1	0.87	0	1	15	13	14	2	0	nykRM	14
2014-05-03_bosWC-at-nykRM	nykRM-38	banerji	1	0.92	0	1	12	11	14	0	0	nykRM	38
2014-05-03_bosWC-at-nykRM	nykRM-13	hunziker	0	0	0	0	1	0	2	2	0	nykRM	13
2014-05-03_bosWC-at-nykRM	nykRM-10	hennessy	0	1	0	0	9	9	5	1	0	nykRM	10
2014-05-03_bosWC-at-nykRM	nykRM-27	wilson	0	1	0	0	1	1	1	1	0	nykRM	27
2014-05-03_bosWC-at-nykRM	nykRM-82	brownlee	0	NA	0	0	0	0	0	1	0	nykRM	82
2014-05-03_bosWC-at-nykRM	nykRM-	?name?	0	NA	0	0	0	0	0	0	0	nykRM	nykRM
2014-05-03_bosWC-at-nykRM	nykRM-1	kuzmowycz	0	1	0	0	2	2	2	0	0	nykRM	1
2014-05-03_bosWC-at-nykRM	nykRM-15	baum	0	1	0	0	5	5	3	0	0	nykRM	15
2014-05-03_bosWC-at-nykRM	nykRM-18	yz	0	1	0	0	2	2	2	0	0	nykRM	18
2014-05-03_bosWC-at-nykRM	nykRM-81	murray	0	0.86	0	0	7	6	7	0	0	nykRM	81
