point	Offense	Defense
1		6P
1	11PU	
1	5	
1	3	
1	5	
1	88	
1	8	
1	3	
1	6	
1	88	
1	8	
1	88	
1	11	
1	6	
1	88	
1	6	
1	88	
1	3	
1	88	
1	6	
1	88	
1	8	
1	3	
1	6	
1	11	
1	5	
1	57	
1		22PU
1		9
1	8HB	
1	5PU	
1	8	
1	6	
1	88	
1	8	
1		6D
1		22PU
1		8
1		6
1		15
1		9
1		22
1		15
1		6
1		15
1		8
1		17
1		15
1		4
1		15
1	88to	
1	16pu	
1	46	
1	85	
1	12	
1		12d
1		21PU
1		7
1		21
1		22
1		88
1		7
1		20
1		22
1		7
1		22
1		21
1		22
1		7
1		3
1		12G
2		42P
2	57PU	
2	6	
2	5	
2	11	
2	5	
2	88	
2	5	
2		16pu
2		7
2		24
2		7
2		10
2		42
2		10
2		11
2		7
2		16
2		7
2		16
2		24
2		16
2		24
2		42
2		24
2		10
2		24
2		7
2		16
2		10
2		2G
3		6P
3	17PU	
3	13	
3	85	
3	1	
3	17	
3	85	17F
3	2PU	
3	85G	8F
4		12P
4	10PU	
4	24	
4	2	
4	42VST	
4		12PU
4		16
4		1
4		2G
5		16P
5	73PU	
5	7	
5	24	
5	7	
5	73	
5	16	
5	24	
5		46D
5		13PU
5		16
5		21
5		2L
5		9
5		2
5	24PU	
5	7	
5	24	
5	11	
5		9D
6		12P
6	11PU	
6	24	
6	11	
6	24	
6	11	
6	16	
6	11	
6	10	
6	7	
6	16	
6	7	
6	24	
6	7	
6	16	
6		2D
6		1PU
6		17
6		13
6		2G
7		6P
7	10PU	
7	73	
7	10	
7	11	
7	16	
7	42	
7	7	
7	11	
7	2	
7	10	
7	42G	
8		8P
8	57PU	
8	88	
8	57	
8	11	
8	57	
8	88	
8	6	
8	57	
8	3	
8	57G	
9		12P
9	10PU	
9	24	
9	2	
9	24	
9	7	
9	24	
9	7	
9	10	
9	24	
9	2	
9	42	
9	7	
9	14G	
10		6P
10	57PU	
10	88	
10	6	
10	88	
10	5	
10		88PU
10		6
10		88
10		3L
10		22G
11		88P
11	13PU	
11	17	
11	85	
11	13	
11	12	
11	17	
11	2	
11	17	
11	1	
11	17	
11	13	
11	12	
11	17	
11	12	
11		3D
11		88PU
11		5L
11		22
11		5
11		22G
12		6P
12	57PU	
12	88	
12	6	8F
12	11	
12	57	
12	5	
12	3	
12		8D
12		17pu
12		15
12		21
12		20
12		21
12		8
12		6G
13		88P
13	1PU	
13	16	
13	5	
13	88	
13		21PU
13	1D	
13	88pu	
13	22	
13	88	22F
13	5	
13	16	
13	5	
13	1	
13	5	
13	88	
13	16	
13	88	
13	22	
13	1	
13	16	
13	5	
13	46G	
14		46P
14	11PU	
14	24	
14	10	
14	24	
14	10	
14	2	
14	10	
14	24	
14	42	
14	10	
14	2	
14	10	
14	42	
14		2D
14		13PU
14		2LG
15		12P
15	24PU	
15	2	
15	24	
15	7L	
15	14	
15	7G	
16		6P
16	17PU	
16	88	
16	17	
16	88	
16	17	
16	88	
16	6F	8PU
16		8to
16		24PU
16		42
16		2
16		11LG
17		8P
17	8PU	
17	85	
17	5	
18		8P
18	11PU	
18	5	
18	88	
18	6	
18	3LG	
19		16P
19	11PU	
19	10	
19	11	
19	24	
19	10	
19	24	
19	10	
19	42	
19	7	
19	10	
19	42	
19	10	
19	7	
19	10	
19	42	
19	7	
19	42	
19	11	
19	7	
19	16	
19	24	
19	11	
19		18D
19		16PU
19		2
19		9
19		2
19		18
19		13
19	24PU	
19		18D
19		16PU
19		18
19		2G
20		?P
20	11PU	
20	10	
20		16PU
20		85
20		12
20		13G
21		12P
21	88PU	
21	21	
21	88	
21	6	
21	21	
21	22	
21	3	
21	21	
21	22	
21	5	
21	21	
21	88	
21	8	
21	88	2F
21	5G	
22		88P
22	5PU	
22	57	
22	5	
22		22D
22		21PU
22		8
22		88
22		22
22		6G
23		8P
23	57PU	
23	88	
23	57	
23	88	
23	6	
23	8LG	
24		12P
24	73PU	
24	24	
24	7	
24	2	
24	6	
24	8L	
24	24	
24	7	
24	24	
24	73G	
25		88P
25	57PU	
25	5	
25	11	
25	88	
25	6	
25	57	
25	3	
25	11G	
26		16P
26	8PU	
26	10	
26	8	
26	6LG	
27		8P
27	57PU	
27	5	
27	57	
27	8	
27	57	
27	11	
27	8	
27	5	
27	8	
27	11	
27	5VST	
27		7PU
27		21
27		7
27		8
27		17
27		21
27		9
27		12
27		21
27		8
27		21
27		8
27		7TD
27	5PU	
27	5F	
27	3	
27	8	
27	6	
27	88	
27	57	
27	8	
27	6G	
28		12P
28	73PU	
28	21	
28	11	
28	42	
28	73	
28	42	
28	2	
28	24	
28	73	
28	24	
28	42	
28	16	
28	2	
28	24	
28	42	
28	24	
28	11	
28	24	
28	11	
28	24	
28	16G	
29		88P
