point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Portland Stags	1	10:00:00	4:39:00
2	Portland Stags	1	4:39:00	2:49:00
3	Portland Stags	1	2:49:00	2:17:00
4	San Francisco Dogfish	1	2:17:00	1:43:00
5	San Francisco Dogfish	1	1:43:00	0:00:00
6	San Francisco Dogfish	2	10:00:00	8:59:00
7	San Francisco Dogfish	2	8:59:00	8:32:00
8	Portland Stags	2	8:32:00	7:58:00
9	San Francisco Dogfish	2	7:58:00	7:14:00
10	Portland Stags	2	7:14:00	6:19:00
11	Portland Stags	2	6:19:00	4:54:00
12	Portland Stags	2	4:54:00	3:59:00
13	Portland Stags	2	3:59:00	2:18:00
14	San Francisco Dogfish	2	2:18:00	1:14:00
15	San Francisco Dogfish	2	1:14:00	0:52:00
16	Portland Stags	2	0:52:00	0:11:00
17	Portland Stags	2	0:11:00	0:00:00
18	Portland Stags	3	10:00:00	9:42:00
19	San Francisco Dogfish	3	9:42:00	7:04:00
20	San Francisco Dogfish	3	7:04:00	6:31:00
21	San Francisco Dogfish	3	6:31:00	5:36:00
22	Portland Stags	3	5:36:00	5:13:00
23	Portland Stags	3	5:13:00	4:55:00
24	San Francisco Dogfish	3	4:55:00	4:20:00
25	Portland Stags	3	4:20:00	3:51:00
26	San Francisco Dogfish	3	3:51:00	3:39:00
27	Portland Stags	3	3:39:00	1:40:00
28	San Francisco Dogfish	3	1:40:00	0:27:00
29	Portland Stags	3	0:27:00	0:11:00
30	San Francisco Dogfish	3	0:11:00	0:00:00
31	San Francisco Dogfish	4	10:00:00	9:35:00
32	Portland Stags	4	9:35:00	9:05:00
33	San Francisco Dogfish	4	9:05:00	7:27:00
34	San Francisco Dogfish	4	7:27:00	6:51:00
35	Portland Stags	4	6:51:00	5:41:00
36	Portland Stags	4	5:41:00	5:14:00
37	San Francisco Dogfish	4	5:14:00	4:07:00
38	Portland Stags	4	4:07:00	3:01:00
39	Portland Stags	4	3:01:00	1:21:00
40	Portland Stags	4	1:21:00	0:44:00
41	San Francisco Dogfish	4	0:44:00	0:38:00
42	Portland Stags	4	0:38:00	0:00:00
