game	player	last	points	comp_pct	goals	assists	throws	completions	catches	def	drop	team	number
2014-05-03_sfoDF-at-pdxST	pdxST-24	Norden	5	0.94	0	5	50	47	45	0	0	pdxST	24
2014-05-03_sfoDF-at-pdxST	pdxST-6	Bjorklund	3	1	3	0	7	7	10	2	0	pdxST	6
2014-05-03_sfoDF-at-pdxST	pdxST-42	Lohre	3	0.95	3	0	21	20	24	0	0	pdxST	42
2014-05-03_sfoDF-at-pdxST	pdxST-22	Cole	3	0.87	2	1	15	13	15	1	0	pdxST	22
2014-05-03_sfoDF-at-pdxST	pdxST-7	Friedman	3	1	2	1	34	34	34	1	0	pdxST	7
2014-05-03_sfoDF-at-pdxST	pdxST-8	Davis	3	0.93	0	3	14	13	12	2	1	pdxST	8
2014-05-03_sfoDF-at-pdxST	pdxST-10	Strout	3	0.97	0	3	34	33	30	0	0	pdxST	10
2014-05-03_sfoDF-at-pdxST	pdxST-16	Burton	2	0.92	2	0	12	11	13	0	0	pdxST	16
2014-05-03_sfoDF-at-pdxST	pdxST-14	Adamson	2	1	1	1	2	2	3	1	0	pdxST	14
2014-05-03_sfoDF-at-pdxST	pdxST-17	Hayes	2	1	1	1	5	5	5	0	0	pdxST	17
2014-05-03_sfoDF-at-pdxST	pdxST-2	Allison-Hall	2	1	1	1	13	13	14	0	0	pdxST	2
2014-05-03_sfoDF-at-pdxST	pdxST-5	Woodside	2	1	1	1	4	4	5	0	0	pdxST	5
2014-05-03_sfoDF-at-pdxST	pdxST-3	Ferrea	2	1	0	2	5	5	5	1	0	pdxST	3
2014-05-03_sfoDF-at-pdxST	pdxST-88	Suppnick	2	1	0	2	15	15	11	0	0	pdxST	88
2014-05-03_sfoDF-at-pdxST	pdxST-12	Bui	1	1	1	0	1	1	2	1	0	pdxST	12
2014-05-03_sfoDF-at-pdxST	pdxST-11	Kenton	1	0.93	1	0	27	25	22	0	0	pdxST	11
2014-05-03_sfoDF-at-pdxST	pdxST-15	Thornton	1	0.88	1	0	8	7	9	0	0	pdxST	15
2014-05-03_sfoDF-at-pdxST	pdxST-21	McGinn	1	0.95	1	0	19	18	15	0	0	pdxST	21
2014-05-03_sfoDF-at-pdxST	pdxST-73	King	1	0.9	1	0	10	9	7	0	0	pdxST	73
2014-05-03_sfoDF-at-pdxST	pdxST-20	Beach-Rehner	0	1	0	0	3	3	3	1	0	pdxST	20
2014-05-03_sfoDF-at-pdxST	pdxST-4	Blackman	0	1	0	0	3	3	3	0	0	pdxST	4
2014-05-03_sfoDF-at-pdxST	pdxST-9	Hancock	0	0.8	0	0	5	4	5	0	0	pdxST	9
2014-05-03_sfoDF-at-pdxST	sfoDF-2	Adamson	7	0.88	6	1	8	7	13	3	0	sfoDF	2
2014-05-03_sfoDF-at-pdxST	sfoDF-3	Weiss	5	0.91	2	3	11	10	12	0	0	sfoDF	3
2014-05-03_sfoDF-at-pdxST	sfoDF-6	Kim	4	0.95	1	3	20	19	21	0	0	sfoDF	6
2014-05-03_sfoDF-at-pdxST	sfoDF-13	Grant	3	0.88	1	2	8	7	6	0	0	sfoDF	13
2014-05-03_sfoDF-at-pdxST	sfoDF-5	Cascino	3	0.85	1	2	27	23	25	0	0	sfoDF	5
2014-05-03_sfoDF-at-pdxST	sfoDF-8	Pollard	2	0.93	1	1	14	13	14	1	0	sfoDF	8
2014-05-03_sfoDF-at-pdxST	sfoDF-85	Brydon	2	1	1	1	9	9	11	0	0	sfoDF	85
2014-05-03_sfoDF-at-pdxST	sfoDF-1	Ranahan	2	1	0	2	10	10	7	1	0	sfoDF	1
2014-05-03_sfoDF-at-pdxST	sfoDF-46	McCarty	1	1	1	0	2	2	3	1	0	sfoDF	46
2014-05-03_sfoDF-at-pdxST	sfoDF-11	Lee	1	0.92	1	0	13	12	12	0	0	sfoDF	11
2014-05-03_sfoDF-at-pdxST	sfoDF-57	Meyer	1	0.93	1	0	28	26	20	0	0	sfoDF	57
2014-05-03_sfoDF-at-pdxST	sfoDF-88	Kissmann	1	0.9	1	0	30	27	30	0	0	sfoDF	88
2014-05-03_sfoDF-at-pdxST	sfoDF-18	Weaver	1	1	0	1	2	2	2	2	0	sfoDF	18
2014-05-03_sfoDF-at-pdxST	sfoDF-12	Bellinger	1	0.83	0	1	12	10	9	0	0	sfoDF	12
2014-05-03_sfoDF-at-pdxST	sfoDF-9	Farren	0	1	0	0	2	2	2	1	0	sfoDF	9
2014-05-03_sfoDF-at-pdxST	sfoDF-16	Yeager	0	1	0	0	13	13	10	0	0	sfoDF	16
2014-05-03_sfoDF-at-pdxST	sfoDF-17	Boyd-Meredith	0	0.94	0	0	16	15	10	0	0	sfoDF	17
2014-05-03_sfoDF-at-pdxST	sfoDF-21	Stearns	0	1	0	0	3	3	3	0	0	sfoDF	21
2014-05-03_sfoDF-at-pdxST	sfoDF-22	Rivera	0	1	0	0	2	2	2	0	0	sfoDF	22
