game	player	points	goals	assists	Ds
2014-05-03_sfoDF-at-pdxST	pdxST-24-Norden	5	0	5	0
2014-05-03_sfoDF-at-pdxST	pdxST-6-Bjorklund	3	3	0	2
2014-05-03_sfoDF-at-pdxST	pdxST-42-Lohre	3	3	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-22-Cole	3	2	1	1
2014-05-03_sfoDF-at-pdxST	pdxST-7-Friedman	3	2	1	1
2014-05-03_sfoDF-at-pdxST	pdxST-8-Davis	3	0	3	2
2014-05-03_sfoDF-at-pdxST	pdxST-10-Strout	3	0	3	0
2014-05-03_sfoDF-at-pdxST	pdxST-16-Burton	2	2	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-14-Adamson	2	1	1	1
2014-05-03_sfoDF-at-pdxST	pdxST-17-Hayes	2	1	1	0
2014-05-03_sfoDF-at-pdxST	pdxST-2-Allison-Hall	2	1	1	0
2014-05-03_sfoDF-at-pdxST	pdxST-5-Woodside	2	1	1	0
2014-05-03_sfoDF-at-pdxST	pdxST-3-Ferrea	2	0	2	1
2014-05-03_sfoDF-at-pdxST	pdxST-88-Suppnick	2	0	2	0
2014-05-03_sfoDF-at-pdxST	pdxST-12-Bui	1	1	0	1
2014-05-03_sfoDF-at-pdxST	pdxST-11-Kenton	1	1	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-15-Thornton	1	1	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-21-McGinn	1	1	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-73-King	1	1	0	0
2014-05-03_sfoDF-at-pdxST	pdxST-20-Beach-Rehner	0	0	0	1
2014-05-03_sfoDF-at-pdxST	sfoDF-2-Adamson	7	6	1	3
2014-05-03_sfoDF-at-pdxST	sfoDF-3-Weiss	5	2	3	0
2014-05-03_sfoDF-at-pdxST	sfoDF-6-Kim	4	1	3	0
2014-05-03_sfoDF-at-pdxST	sfoDF-13-Grant	3	1	2	0
2014-05-03_sfoDF-at-pdxST	sfoDF-5-Cascino	3	1	2	0
2014-05-03_sfoDF-at-pdxST	sfoDF-8-Pollard	2	1	1	1
2014-05-03_sfoDF-at-pdxST	sfoDF-85-Brydon	2	1	1	0
2014-05-03_sfoDF-at-pdxST	sfoDF-1-Ranahan	2	0	2	1
2014-05-03_sfoDF-at-pdxST	sfoDF-46-McCarty	1	1	0	1
2014-05-03_sfoDF-at-pdxST	sfoDF-11-Lee	1	1	0	0
2014-05-03_sfoDF-at-pdxST	sfoDF-57-Meyer	1	1	0	0
2014-05-03_sfoDF-at-pdxST	sfoDF-88-Kissmann	1	1	0	0
2014-05-03_sfoDF-at-pdxST	sfoDF-18-Weaver	1	0	1	2
2014-05-03_sfoDF-at-pdxST	sfoDF-12-Bellinger	1	0	1	0
2014-05-03_sfoDF-at-pdxST	sfoDF-9-Farren	0	0	0	1
