point	Offense	Defense
1		1p
1	2PU	
1	99	
1	8	
1	45	
1	90	
1	45	
1	90	
1	8	
1	45	
1	9	
1	99	
1		16d
1		1pu
1		31
1		21
1		64
1	99pu	
1	90	
1	8	
1	2	
1	90	
1	8l	
1	2g	
2		15obp
2	20PU	
2	14	
2	20	
2	7	
2	14	
2	25	
2	32	
2	25	
2	7	
2	32	
2	20	
2	14	
2		24d
2		27pu
2	25pu	
2	7	
2	20	
2	14	
2	20	
2	7	
2	27	
2	14	
2	32	
2	14	
2	27	
2	25	61f
2	32g	
3		64p
3	2PU	
3	99	
3	2	
3	99	
3	8	11f
3	45	
3	99	
3	9	
3	8g	
4		22p
4	20PU	
4	9	
4		25d
4		12pu
4		15
4		17td
4	7pu	
4	71	
4	7	
4	20	
4	7	
4	20	
4	7	
4	32g	
5		88p
5	88PU	
5	99	
5	14	
5	99	
5	90	
5		21pu
5		88
5	8d	
5	90pu	
5	8	
5	90	
5	8	
5		6pu
5		88
5		21
5		2
5		16
5		2
5		77
5		2
5		10g
6		64p
6	2PU	
6	99	
6	80lg	
7		61p
7	20PU	
7	25lg	
8		?P
8	2pu	
8	99	
8	8	
8	88	
8	5	
8	99	
8	88	
8	5g	
9		15obp
9	7PU	
9	20	
9	14	
9	9	
9	32gl	
10		1p
10	2PU	
10	99	
10	8	
10	88	
10		1pu
10	2pu	
10	99g	
11		61p
11	20PU	
11	14	
11	25	
11	9lg	
12		1p
12	32PU	
12	99	
12	45	
12	8	
12	9	
12	99g	
13		2p
13	7PU	
13	20	
13	7	
13	25	
13	7	
13	27	
13	7	
13	71	
13	14	
13	7	
13	20	
13	27	
13	20	
13	25g	
14		11obp
14	2PU	
15		1p
15	2PU	
15	99	
15	45	
15	2	
15	99	
15	8	
15	99	
15	32	
15	99	
15	32	
15	99	
15	45	
15	2g	
16		22p
16	7PU	
16	25	
16	7	
16	20	
16	7	
16	27	
16	20	
16	14	
16	20	
16	27	
16	25	
16	27	
16	7	
16	20	
16	27	
16	25	
16	9	
16	25	
16	14	
16	20vtt	
16		12pu
16		15
16		25
16		15
16		17
16		22
16		15
16		12
16		21g
17		27p
17	21PU	
17	13	
17	64	
17	6	
17	21	
17	64	
17	11	
17	21	
17	64	
17	6	
17	11	
17	64	
17	11	
17	16g	
18		11p
18	90PU	
18		28to
18		2pu
18		71
18		21
18	20to	
18	99pu	
18	8	
18		11pu
18		64
18	8d	
18	8pu	
18	32	
18	99	
18	88	
18	8	
18	2g	
19		15p
19	20PU	
19	14	
19	20	
19	27	
19	20	
19	25	
19	7	
19	20	
19	7	
19	13g	
20		11p
20	99PU	
20	88	
20	8	
20	88	
20	99	
20	90	
20	45	
20	14g	
21		61obp
21	20PU	
21	7	
21	14	
21	16	
21	27	
