point	Offense	Defense
1		16P
1	00PU	
1	17	
1	1	
1	25	
1	1	
1	'00	
1	6	
1	17	
1	25	
1	17	
1	48	
1	5	
1	17	
1	25	
1		16pu
1	48D	
1	'00pu	
1	17	
1	6	
1	'00	
1	6	
1	5	85F
1	48	
1	5G	
2		35P
2	57PU	
2	88	
2	57	
2	88	
2		13pu
2		18G
3		35P
3	12PU	
3	17	
3	12	
3	9	
3	12	
3		21pu
3		18
3		35
3		21
3		35
3		12g
4		24P
4	57PU	
4	8	
4	18	
4	57	
4		24pu
4		10
4		35
4		15
4		24
4		35
4	57pu	
4	8	
4	19	
4	88	
4	18	
4	6	
4		29pu
4		2
4		29
4		10
4	57pu	
4	6	
4	11	
4	57	
4	88L	
4	19	
4	88G	
5		12P
5	17PU	
5	'00	
5	25	
5	17	
5		85D
5		12pu
5		17
5		14
5		17
5		12
5		2L
5		14TO
5		6pu
5		11
5		6
5		11
5		18
5		1
5		6
5	29pu	
5	21	
5	12L	
5	13G	
6		35P
6	17PU	
6	16	
6	5	
6	16	16F
6	16	
6	5	
6	17	
6	46	
6	17	
6	16	
6	17	
6	85	
6		35D
6		35pu
6		21
6		2
6		24
6		35
6		2LG
7		4P
7	11PU	
7	88	
7	11	
7	8	
7	1	
7	6	
7	8	
7		12D
7		29pu
7		12
7		7
7		29
7		77G
8		4P
8	17PU	
8	14	
8	12	
8	14	
8	12	
8	21	
8	17	
8	2LG	
9		12P
9	00PU	
9	17	
9	'00	
9	17	
9	48	
9	6	
9	00LG	
10		18P
10	8PU	
11		35P
11	57PU	
11	1	
11	57	
11	1	
11		29pu
11	11D	
11	1pu	
11	88	
11	1	
11	88	
11	1	
11	57	
11		6HB
11		21pu
11		29
11		28
11		35
11		29
11		28
11		29
11		12
11		18LG
12		35P
12	17PU	
12		21pu
12		24
12		15G
13		35P
13	11PU	
13	57	
13	1	
13	57	
13		35D
13		35pu
13		77
13		14
13		35
13		77
13		21to
13		1pu
13		6
13		1
13	14pu	
13	16	
13	21	
13	16	
13	2G	
14		12P
14	00PU	
14	6	
14	'00	
14	6	
14	'00	
14	1	
14	17	
14	1	
14	'00	
14		5D
14		5pu
14		46
14	48D	
14	17pu	
14	48	
14	6G	
15		13P
15	57PU	
15		10D
15		29pu
15		12
15		29
15		10
15		29
15		7
15		29
15		10
15		29
15		15
15		29
15		12
15		13G
16		35P
16	14PU	
16	9	
16		29D
16		21pu
16		29
16		35G
17		35P
17	8PU	
17	57	
17	11	
17	1	
17	18	
17	1	
17	8	
17	11G	
18		12P
18	00PU	
18	1	
18	17	
18	'00	
18	17	
18	'00	16F
18	25	
18	5	
18	17	
18	6	
18		46D
18		16pu
18		21L
18		2
18		21
18		85
18		12TD
18	17pu	
18	6	
18		12D
18		12pu
18		16
18		2TO
18		8pu
18		1
18		88G
19		8P
19	17PU	
19	1	
19	17	
19	1	
19	'00	
19	1	
19	'00	
19	17	
19	25	
20		12P
20	1PU	
20		16pu
20		85
20		16
20		2G
21		16P
21	1PU	
21	17	
21	6	
21	1	
21	48G	
22		35P
22	1PU	
22	8	
22	57	
22	8	
22	88	
22	8	
22	57	
22	8	
22	57	
22	6	
22	88	
22	8	
22	6	
22	8	
22	1	
22	18G	
23		12P
23	1PU	
23	17	
23	6	
23	17	
23	1	
23	5	
23	48	
23	1	
