period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	sfoDF	15	1	1	seaRM	seaRM	25	TA	15	FALSE	FALSE	NA	o_line	TA	off -
1	1	sfoDF	17	2	2	sfoDF	seaRM	48	D	2	FALSE	FALSE	NA	d_line	D	def +
1	1	sfoDF	26	3	3	seaRM	seaRM	5	G	9	FALSE	TRUE	seaRM	o_line	G	G
1	2	seaRM	5	4	1	sfoDF	sfoDF	88	TA	5	FALSE	FALSE	NA	o_line	TA	off -
1	2	seaRM	7	5	2	seaRM	seaRM	18	G	2	FALSE	TRUE	seaRM	d_line	G	G
1	3	seaRM	6	6	1	sfoDF	sfoDF	12	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	3	seaRM	12	7	2	seaRM	seaRM	12	G	6	FALSE	TRUE	seaRM	d_line	G	G
1	4	seaRM	5	8	1	sfoDF	sfoDF	57	TA	5	FALSE	FALSE	NA	o_line	TA	off -
1	4	seaRM	11	9	2	seaRM	seaRM	35	TA	6	FALSE	FALSE	NA	d_line	TA	off -
1	4	seaRM	17	10	3	sfoDF	sfoDF	6	TA	6	FALSE	FALSE	NA	o_line	TA	off -
1	4	seaRM	21	11	4	seaRM	seaRM	10	TA	4	FALSE	FALSE	NA	d_line	TA	off -
1	4	seaRM	28	12	5	sfoDF	sfoDF	88	G	7	TRUE	TRUE	sfoDF	o_line	G	G
1	5	sfoDF	6	13	1	seaRM	sfoDF	85	D	6	FALSE	FALSE	NA	o_line	D	def +
1	5	sfoDF	20	14	2	sfoDF	sfoDF	6	TA	14	TRUE	FALSE	NA	d_line	TA	off -
1	5	sfoDF	24	15	3	seaRM	seaRM	13	G	4	TRUE	TRUE	seaRM	o_line	G	G
1	6	seaRM	15	16	1	sfoDF	seaRM	35	D	15	FALSE	FALSE	NA	o_line	D	def +
1	6	seaRM	21	17	2	seaRM	seaRM	2	LG	6	TRUE	TRUE	seaRM	d_line	G	G
1	7	seaRM	9	18	1	sfoDF	seaRM	12	D	9	FALSE	FALSE	NA	o_line	D	def +
1	7	seaRM	14	19	2	seaRM	seaRM	77	G	5	FALSE	TRUE	seaRM	d_line	G	G
1	8	seaRM	9	20	1	sfoDF	sfoDF	2	LG	9	TRUE	TRUE	sfoDF	o_line	G	G
1	9	sfoDF	8	21	1	seaRM	seaRM	00	LG	8	TRUE	TRUE	seaRM	o_line	G	G
1	10	seaRM	2	22	1	sfoDF	sfoDF	8	eop	2	FALSE	FALSE	NA	o_line	eop	eop
2	11	seaRM	5	23	1	sfoDF	sfoDF	1	TA	5	FALSE	FALSE	NA	o_line	TA	off -
2	11	seaRM	7	24	2	seaRM	sfoDF	11	D	2	FALSE	FALSE	NA	d_line	D	def +
2	11	seaRM	14	25	3	sfoDF	seaRM	6	HB	7	FALSE	FALSE	NA	o_line	D	def +
2	11	seaRM	23	26	4	seaRM	seaRM	18	LG	9	TRUE	TRUE	seaRM	d_line	G	G
2	12	seaRM	2	27	1	sfoDF	sfoDF	17	TA	2	FALSE	FALSE	NA	o_line	TA	off -
2	12	seaRM	5	28	2	seaRM	seaRM	15	G	3	FALSE	TRUE	seaRM	d_line	G	G
2	13	seaRM	6	29	1	sfoDF	seaRM	35	D	6	FALSE	FALSE	NA	o_line	D	def +
2	13	seaRM	15	30	2	seaRM	seaRM	1	TA	9	FALSE	FALSE	NA	d_line	TA	off -
2	13	seaRM	20	31	3	sfoDF	sfoDF	2	G	5	FALSE	TRUE	sfoDF	o_line	G	G
2	14	sfoDF	11	32	1	seaRM	sfoDF	5	D	11	FALSE	FALSE	NA	o_line	D	def +
2	14	sfoDF	14	33	2	sfoDF	seaRM	48	D	3	FALSE	FALSE	NA	d_line	D	def +
2	14	sfoDF	17	34	3	seaRM	seaRM	6	G	3	FALSE	TRUE	seaRM	o_line	G	G
2	15	seaRM	3	35	1	sfoDF	seaRM	10	D	3	FALSE	FALSE	NA	o_line	D	def +
2	15	seaRM	16	36	2	seaRM	seaRM	13	G	13	FALSE	TRUE	seaRM	d_line	G	G
2	16	seaRM	4	37	1	sfoDF	seaRM	29	D	4	FALSE	FALSE	NA	o_line	D	def +
2	16	seaRM	7	38	2	seaRM	seaRM	35	G	3	FALSE	TRUE	seaRM	d_line	G	G
2	17	seaRM	9	39	1	sfoDF	sfoDF	11	G	9	FALSE	TRUE	sfoDF	o_line	G	G
2	18	sfoDF	13	40	1	seaRM	sfoDF	46	D	13	FALSE	FALSE	NA	o_line	D	def +
2	18	sfoDF	19	41	2	sfoDF	sfoDF	12	TD	6	TRUE	FALSE	NA	d_line	TD	off -
2	18	sfoDF	22	42	3	seaRM	sfoDF	12	D	3	FALSE	FALSE	NA	o_line	D	def +
2	18	sfoDF	28	43	4	sfoDF	sfoDF	88	G	6	FALSE	TRUE	sfoDF	d_line	G	G
2	19	sfoDF	10	44	1	seaRM	seaRM	25	eop	10	FALSE	FALSE	NA	o_line	eop	eop
3	20	sfoDF	2	45	1	seaRM	seaRM	1	TA	2	FALSE	FALSE	NA	o_line	TA	off -
3	20	sfoDF	6	46	2	sfoDF	sfoDF	2	G	4	FALSE	TRUE	sfoDF	d_line	G	G
