poss_abs	poss_rel	point	beg_event	end_event	desc	n_inn	beg_code	beg_plyr	innards	end_code	end_plyr
1	1	1	2	3	ao	0	O-PU	seaRM-00		O-CTH	seaRM-17
1	1	1	3	4	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-1
1	1	1	4	5	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-25
1	1	1	5	6	ao	0	O-CTH	seaRM-25		O-CTH	seaRM-1
1	1	1	6	7	ao	0	O-CTH	seaRM-1		O-CTH	seaRM-00
1	1	1	7	8	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6
1	1	1	8	9	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-17
1	1	1	9	10	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-25
1	1	1	10	11	ao	0	O-CTH	seaRM-25		O-CTH	seaRM-17
1	1	1	11	12	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-48
1	1	1	12	13	ao	0	O-CTH	seaRM-48		O-CTH	seaRM-5
1	1	1	13	14	ao	0	O-CTH	seaRM-5		O-CTH	seaRM-17
1	1	1	14	15	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-25
1	1	1	15	15	an	-1	O-CTH	seaRM-25		NA	seaRM-25
2	2	1	16	17	ao	0	O-PU	sfoDF-16		D-D	sfoDF-48
3	3	1	18	19	ao	0	O-PU	seaRM-00		O-CTH	seaRM-17
3	3	1	19	20	ao	0	O-CTH	seaRM-17		O-CTH	seaRM-6
3	3	1	20	21	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-00
3	3	1	21	22	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-6
3	3	1	22	23	ao	0	O-CTH	seaRM-6		O-CTH	seaRM-5
3	3	1	23	25	ao	1	O-CTH	seaRM-5	D-F	O-CTH	seaRM-48
3	3	1	25	26	ao	0	O-CTH	seaRM-48		O-G	seaRM-5
4	1	2	2	3	ao	0	O-PU	sfoDF-57		O-CTH	sfoDF-88
4	1	2	3	4	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-57
4	1	2	4	5	ao	0	O-CTH	sfoDF-57		O-CTH	sfoDF-88
4	1	2	5	5	an	-1	O-CTH	sfoDF-88		NA	sfoDF-88
5	2	2	6	7	ao	0	O-PU	seaRM-13		O-G	seaRM-18
6	1	3	2	3	ao	0	O-PU	sfoDF-12		O-CTH	sfoDF-17
6	1	3	3	4	ao	0	O-CTH	sfoDF-17		O-CTH	sfoDF-12
6	1	3	4	5	ao	0	O-CTH	sfoDF-12		O-CTH	sfoDF-9
6	1	3	5	6	ao	0	O-CTH	sfoDF-9		O-CTH	sfoDF-12
6	1	3	6	6	an	-1	O-CTH	sfoDF-12		NA	sfoDF-12
7	2	3	7	8	ao	0	O-PU	seaRM-21		O-CTH	seaRM-18
7	2	3	8	9	ao	0	O-CTH	seaRM-18		O-CTH	seaRM-35
7	2	3	9	10	ao	0	O-CTH	seaRM-35		O-CTH	seaRM-21
7	2	3	10	11	ao	0	O-CTH	seaRM-21		O-CTH	seaRM-35
7	2	3	11	12	ao	0	O-CTH	seaRM-35		O-G	seaRM-12
8	1	4	2	3	ao	0	O-PU	sfoDF-57		O-CTH	sfoDF-8
8	1	4	3	4	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-18
8	1	4	4	5	ao	0	O-CTH	sfoDF-18		O-CTH	sfoDF-57
8	1	4	5	5	an	-1	O-CTH	sfoDF-57		NA	sfoDF-57
9	2	4	6	7	ao	0	O-PU	seaRM-24		O-CTH	seaRM-10
9	2	4	7	8	ao	0	O-CTH	seaRM-10		O-CTH	seaRM-35
9	2	4	8	9	ao	0	O-CTH	seaRM-35		O-CTH	seaRM-15
9	2	4	9	10	ao	0	O-CTH	seaRM-15		O-CTH	seaRM-24
9	2	4	10	11	ao	0	O-CTH	seaRM-24		O-CTH	seaRM-35
9	2	4	11	11	an	-1	O-CTH	seaRM-35		NA	seaRM-35
10	3	4	12	13	ao	0	O-PU	sfoDF-57		O-CTH	sfoDF-8
10	3	4	13	14	ao	0	O-CTH	sfoDF-8		O-CTH	sfoDF-19
10	3	4	14	15	ao	0	O-CTH	sfoDF-19		O-CTH	sfoDF-88
10	3	4	15	16	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-18
10	3	4	16	17	ao	0	O-CTH	sfoDF-18		O-CTH	sfoDF-6
10	3	4	17	17	an	-1	O-CTH	sfoDF-6		NA	sfoDF-6
11	4	4	18	19	ao	0	O-PU	seaRM-29		O-CTH	seaRM-2
11	4	4	19	20	ao	0	O-CTH	seaRM-2		O-CTH	seaRM-29
11	4	4	20	21	ao	0	O-CTH	seaRM-29		O-CTH	seaRM-10
11	4	4	21	21	an	-1	O-CTH	seaRM-10		NA	seaRM-10
12	5	4	22	23	ao	0	O-PU	sfoDF-57		O-CTH	sfoDF-6
12	5	4	23	24	ao	0	O-CTH	sfoDF-6		O-CTH	sfoDF-11
12	5	4	24	25	ao	0	O-CTH	sfoDF-11		O-CTH	sfoDF-57
12	5	4	25	26	ao	0	O-CTH	sfoDF-57		O-CTH	sfoDF-88
12	5	4	26	27	ao	0	O-CTH	sfoDF-88		O-CTH	sfoDF-19
12	5	4	27	28	ao	0	O-CTH	sfoDF-19		O-G	sfoDF-88
13	1	5	2	3	ao	0	O-PU	seaRM-17		O-CTH	seaRM-00
13	1	5	3	4	ao	0	O-CTH	seaRM-00		O-CTH	seaRM-25
13	1	5	4	5	ao	0	O-CTH	seaRM-25		O-CTH	seaRM-17
13	1	5	5	6	ao	0	O-CTH	seaRM-17		D-D	seaRM-85
14	2	5	7	8	ao	0	O-PU	sfoDF-12		O-CTH	sfoDF-17
14	2	5	8	9	ao	0	O-CTH	sfoDF-17		O-CTH	sfoDF-14
14	2	5	9	10	ao	0	O-CTH	sfoDF-14		O-CTH	sfoDF-17
14	2	5	10	11	ao	0	O-CTH	sfoDF-17		O-CTH	sfoDF-12
14	2	5	11	12	ao	0	O-CTH	sfoDF-12		O-CTH	sfoDF-2
14	2	5	12	14	aa	1	O-CTH	sfoDF-2	O-TO	O-PU	sfoDF-6
