game	player	points	goals	assists	Ds
2014-05-04_sfoDF-at-seaRM	seaRM-48-clark	5	3	2	3
2014-05-04_sfoDF-at-seaRM	seaRM-12-gallagher	5	2	3	3
2014-05-04_sfoDF-at-seaRM	seaRM-13-sewell	4	3	1	0
2014-05-04_sfoDF-at-seaRM	seaRM-35-koss	4	1	3	2
2014-05-04_sfoDF-at-seaRM	seaRM-29-feeley	3	0	3	1
2014-05-04_sfoDF-at-seaRM	seaRM-18-uhrig-fox	2	2	0	1
2014-05-04_sfoDF-at-seaRM	seaRM-6-trytiak	2	1	1	1
2014-05-04_sfoDF-at-seaRM	seaRM-5-chu	2	1	1	0
2014-05-04_sfoDF-at-seaRM	seaRM-00-rupp	1	1	0	0
2014-05-04_sfoDF-at-seaRM	seaRM-15-beehner	1	1	0	0
2014-05-04_sfoDF-at-seaRM	seaRM-2-bubernak	1	1	0	0
2014-05-04_sfoDF-at-seaRM	seaRM-51-entz	1	1	0	0
2014-05-04_sfoDF-at-seaRM	seaRM-77-trotter	1	1	0	0
2014-05-04_sfoDF-at-seaRM	seaRM-17-zemel	1	0	1	1
2014-05-04_sfoDF-at-seaRM	seaRM-1-mckibben	1	0	1	0
2014-05-04_sfoDF-at-seaRM	seaRM-21-phan	1	0	1	0
2014-05-04_sfoDF-at-seaRM	seaRM-24-duffel	1	0	1	0
2014-05-04_sfoDF-at-seaRM	seaRM-10-kalmakis	0	0	0	1
2014-05-04_sfoDF-at-seaRM	sfoDF-2-Adamson	5	4	1	1
2014-05-04_sfoDF-at-seaRM	sfoDF-16-Yeager	4	0	4	1
2014-05-04_sfoDF-at-seaRM	sfoDF-88-Kissmann	3	3	0	0
2014-05-04_sfoDF-at-seaRM	sfoDF-18-Weaver	3	2	1	0
2014-05-04_sfoDF-at-seaRM	sfoDF-11-Lee	2	2	0	1
2014-05-04_sfoDF-at-seaRM	sfoDF-9-Farren	2	2	0	0
2014-05-04_sfoDF-at-seaRM	sfoDF-5-Cascino	2	1	1	1
2014-05-04_sfoDF-at-seaRM	sfoDF-21-Stearns	2	0	2	2
2014-05-04_sfoDF-at-seaRM	sfoDF-1-Ranahan	2	0	2	0
2014-05-04_sfoDF-at-seaRM	sfoDF-12-Bellinger	1	1	0	1
2014-05-04_sfoDF-at-seaRM	sfoDF-85-Brydon	1	1	0	1
2014-05-04_sfoDF-at-seaRM	sfoDF-46-McCarty	1	0	1	1
2014-05-04_sfoDF-at-seaRM	sfoDF-17-Boyd-Meredith	1	0	1	0
2014-05-04_sfoDF-at-seaRM	sfoDF-19-Weiss	1	0	1	0
2014-05-04_sfoDF-at-seaRM	sfoDF-6-Kim	1	0	1	0
2014-05-04_sfoDF-at-seaRM	sfoDF-8-Pollard	1	0	1	0
2014-05-04_sfoDF-at-seaRM	sfoDF-14-Hurst	0	0	0	1
