point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	New York	1	10:00:00	9:33:00
2	Washington DC	1	9:33:00	8:24:00
3	Washington DC	1	8:24:00	7:36:00
4	New York	1	7:36:00	7:08:00
5	Washington DC	1	7:08:00	6:21:00
6	New York	1	6:21:00	5:49:00
7	Washington DC	1	5:49:00	5:07:00
8	Washington DC	1	5:07:00	4:35:00
9	Washington DC	1	4:35:00	4:11:00
10	Washington DC	1	4:11:00	0:31:00
11	Washington DC	1	0:31:00	0:00:00
12	Washington DC	2	10:00:00	8:04:00
13	Washington DC	2	8:04:00	7:20:00
14	New York	2	7:20:00	5:32:00
15	New York	2	5:32:00	4:52:00
16	Washington DC	2	4:52:00	3:23:00
17	New York	2	3:23:00	3:03:00
18	Washington DC	2	3:03:00	2:47:00
19	New York	2	2:47:00	1:55:00
20	Washington DC	2	1:55:00	1:30:00
21	New York	2	1:30:00	0:45:00
22	Washington DC	2	0:45:00	0:10:00
23	New York	2	0:10:00	0:00:00
24	New York	3	10:00:00	9:31:00
25	Washington DC	3	9:31:00	8:57:00
26	Washington DC	3	8:57:00	7:01:00
27	Washington DC	3	7:01:00	6:44:00
28	New York	3	6:44:00	5:12:00
29	Washington DC	3	5:12:00	4:15:00
30	Washington DC	3	4:15:00	3:26:00
31	Washington DC	3	3:26:00	2:43:00
32	New York	3	2:43:00	2:10:00
33	Washington DC	3	2:10:00	1:32:00
34	Washington DC	3	1:32:00	0:43:00
35	New York	3	0:43:00	0:05:00
36	Washington DC	3	0:05:00	0:00:00
37	Washington DC	4	10:00:00	7:37:00
38	Washington DC	4	7:37:00	7:11:00
39	New York	4	7:11:00	6:08:00
40	Washington DC	4	6:08:00	5:42:00
41	Washington DC	4	5:42:00	4:44:00
42	Washington DC	4	4:44:00	4:04:00
43	New York	4	4:04:00	3:52:00
44	Washington DC	4	3:52:00	3:05:00
45	New York	4	3:05:00	2:01:00
46	Washington DC	4	2:01:00	1:48:00
47	New York	4	1:48:00	0:00:00
