point	period	clk_before	clk_after	pull_team	n_poss	scor_team	h_or_b	nykRM	wdcCT
1	1	10:00:00	9:33:00	nykRM	1	wdcCT	hold	0	1
2	1	9:33:00	8:24:00	wdcCT	2	wdcCT	break	0	2
3	1	8:24:00	7:36:00	wdcCT	1	nykRM	hold	1	2
4	1	7:36:00	7:08:00	nykRM	1	wdcCT	hold	1	3
5	1	7:08:00	6:21:00	wdcCT	1	nykRM	hold	2	3
6	1	6:21:00	5:49:00	nykRM	1	wdcCT	hold	2	4
7	1	5:49:00	5:07:00	wdcCT	2	wdcCT	break	2	5
8	1	5:07:00	4:35:00	wdcCT	2	wdcCT	break	2	6
9	1	4:35:00	4:11:00	wdcCT	2	wdcCT	break	2	7
10	1	4:11:00	0:31:00	wdcCT	6	wdcCT	break	2	8
11	1	0:31:00	0:00:00	wdcCT	NA	NA	NA	2	8
12	2	10:00:00	8:04:00	wdcCT	4	wdcCT	break	2	9
13	2	8:04:00	7:20:00	wdcCT	3	nykRM	hold	3	9
14	2	7:20:00	5:32:00	nykRM	4	nykRM	break	4	9
15	2	5:32:00	4:52:00	nykRM	1	wdcCT	hold	4	10
16	2	4:52:00	3:23:00	wdcCT	3	nykRM	hold	5	10
17	2	3:23:00	3:03:00	nykRM	1	wdcCT	hold	5	11
18	2	3:03:00	2:47:00	wdcCT	1	nykRM	hold	6	11
19	2	2:47:00	1:55:00	nykRM	1	wdcCT	hold	6	12
20	2	1:55:00	1:30:00	wdcCT	1	nykRM	hold	7	12
21	2	1:30:00	0:45:00	nykRM	3	wdcCT	hold	7	13
22	2	0:45:00	0:10:00	wdcCT	3	nykRM	hold	8	13
23	2	0:10:00	0:00:00	nykRM	NA	NA	NA	8	13
24	3	10:00:00	9:31:00	nykRM	1	wdcCT	hold	8	14
25	3	9:31:00	8:57:00	wdcCT	4	wdcCT	break	8	15
26	3	8:57:00	7:01:00	wdcCT	2	wdcCT	break	8	16
27	3	7:01:00	6:44:00	wdcCT	1	nykRM	hold	9	16
28	3	6:44:00	5:12:00	nykRM	3	wdcCT	hold	9	17
29	3	5:12:00	4:15:00	wdcCT	2	wdcCT	break	9	18
30	3	4:15:00	3:26:00	wdcCT	2	wdcCT	break	9	19
31	3	3:26:00	2:43:00	wdcCT	1	nykRM	hold	10	19
32	3	2:43:00	2:10:00	nykRM	1	wdcCT	hold	10	20
33	3	2:10:00	1:32:00	wdcCT	2	wdcCT	break	10	21
34	3	1:32:00	0:43:00	wdcCT	1	nykRM	hold	11	21
35	3	0:43:00	0:05:00	nykRM	3	wdcCT	hold	11	22
36	3	0:05:00	0:00:00	wdcCT	NA	NA	NA	11	22
37	4	10:00:00	7:37:00	wdcCT	6	wdcCT	break	11	23
38	4	7:37:00	7:11:00	wdcCT	1	nykRM	hold	12	23
39	4	7:11:00	6:08:00	nykRM	1	wdcCT	hold	12	24
40	4	6:08:00	5:42:00	wdcCT	2	wdcCT	break	12	25
41	4	5:42:00	4:44:00	wdcCT	2	wdcCT	break	12	26
42	4	4:44:00	4:04:00	wdcCT	1	nykRM	hold	13	26
43	4	4:04:00	3:52:00	nykRM	1	wdcCT	hold	13	27
44	4	3:52:00	3:05:00	wdcCT	1	nykRM	hold	14	27
45	4	3:05:00	2:01:00	nykRM	3	wdcCT	hold	14	28
46	4	2:01:00	1:48:00	wdcCT	1	nykRM	hold	15	28
47	4	1:48:00	0:00:00	nykRM	NA	NA	NA	15	28
