period	point	pull_team	event	poss_abs	poss_rel	poss_team	pl_team	pl_pnum	pl_code	n_events	huck	score	scor_team	who	a_code	b_code
1	1	nykRM	8	1	1	wdcCT	wdcCT	5	LG	8	TRUE	TRUE	wdcCT	o_line	G	G
1	2	wdcCT	8	2	1	nykRM	nykRM	19	TA	8	FALSE	FALSE	NA	o_line	TA	off -
1	2	wdcCT	21	3	2	wdcCT	wdcCT	25	G	13	FALSE	TRUE	wdcCT	d_line	G	G
1	3	wdcCT	13	4	1	nykRM	nykRM	22	G	13	FALSE	TRUE	nykRM	o_line	G	G
1	4	nykRM	9	5	1	wdcCT	wdcCT	8	G	9	TRUE	TRUE	wdcCT	o_line	G	G
1	5	wdcCT	16	6	1	nykRM	nykRM	19	G	16	FALSE	TRUE	nykRM	o_line	G	G
1	6	nykRM	11	7	1	wdcCT	wdcCT	80	G	11	FALSE	TRUE	wdcCT	o_line	G	G
1	7	wdcCT	5	8	1	nykRM	wdcCT	25	D	5	FALSE	FALSE	NA	o_line	D	def +
1	7	wdcCT	11	9	2	wdcCT	wdcCT	31	G	6	FALSE	TRUE	wdcCT	d_line	G	G
1	8	wdcCT	8	10	1	nykRM	nykRM	4	TD	8	FALSE	FALSE	NA	o_line	TD	off -
1	8	wdcCT	10	11	2	wdcCT	wdcCT	21	G	2	FALSE	TRUE	wdcCT	d_line	G	G
1	9	wdcCT	4	12	1	nykRM	wdcCT	25	D	4	FALSE	FALSE	NA	o_line	D	def +
1	9	wdcCT	7	13	2	wdcCT	wdcCT	42	G	3	FALSE	TRUE	wdcCT	d_line	G	G
1	10	wdcCT	16	14	1	nykRM	nykRM	47	TA	16	FALSE	FALSE	NA	o_line	TA	off -
1	10	wdcCT	26	15	2	wdcCT	nykRM	10	D	10	FALSE	FALSE	NA	d_line	D	def +
1	10	wdcCT	37	16	3	nykRM	nykRM	27	TA	11	FALSE	FALSE	NA	o_line	TA	off -
