game	player	points	goals	assists	Ds
2014-05-10_nykRM-at-wdcCT	nykRM-22-marsh	5	2	3	0
2014-05-10_nykRM-at-wdcCT	nykRM-47-murphy	4	2	2	0
2014-05-10_nykRM-at-wdcCT	nykRM-2-heljmen	4	1	3	0
2014-05-10_nykRM-at-wdcCT	nykRM-6-mazur	3	1	2	0
2014-05-10_nykRM-at-wdcCT	nykRM-14-vuckovich	2	2	0	1
2014-05-10_nykRM-at-wdcCT	nykRM-44-gillies	2	2	0	0
2014-05-10_nykRM-at-wdcCT	nykRM-13-hunziker	2	1	1	0
2014-05-10_nykRM-at-wdcCT	nykRM-18-yz	2	0	2	0
2014-05-10_nykRM-at-wdcCT	nykRM-19-saul	1	1	0	0
2014-05-10_nykRM-at-wdcCT	nykRM-3-cox	1	1	0	0
2014-05-10_nykRM-at-wdcCT	nykRM-33-herman	1	1	0	0
2014-05-10_nykRM-at-wdcCT	nykRM-41-faust	1	1	0	0
2014-05-10_nykRM-at-wdcCT	nykRM-27-wilson	1	0	1	0
2014-05-10_nykRM-at-wdcCT	nykRM-8-raymond	1	0	1	0
2014-05-10_nykRM-at-wdcCT	nykRM-21-anderson	0	0	0	2
2014-05-10_nykRM-at-wdcCT	nykRM-10-hennessy	0	0	0	1
2014-05-10_nykRM-at-wdcCT	nykRM-4-hennessy	0	0	0	1
2014-05-10_nykRM-at-wdcCT	nykRM-5-sender	0	0	0	1
2014-05-10_nykRM-at-wdcCT	wdcCT-99-kolick	8	2	6	0
2014-05-10_nykRM-at-wdcCT	wdcCT-8-prial	5	4	1	0
2014-05-10_nykRM-at-wdcCT	wdcCT-90-shofner	5	2	3	2
2014-05-10_nykRM-at-wdcCT	wdcCT-42-gibson	4	1	3	0
2014-05-10_nykRM-at-wdcCT	wdcCT-80-grabowski	3	3	0	0
2014-05-10_nykRM-at-wdcCT	wdcCT-22-marshall	3	2	1	3
2014-05-10_nykRM-at-wdcCT	wdcCT-4-johnson	3	2	1	1
2014-05-10_nykRM-at-wdcCT	wdcCT-45-wodatch	3	1	2	0
2014-05-10_nykRM-at-wdcCT	wdcCT-20-poole	3	0	3	0
2014-05-10_nykRM-at-wdcCT	wdcCT-25-gordon	2	2	0	2
2014-05-10_nykRM-at-wdcCT	wdcCT-9-doi	2	2	0	1
2014-05-10_nykRM-at-wdcCT	wdcCT-5-cranston	2	1	1	1
2014-05-10_nykRM-at-wdcCT	wdcCT-19-maloney	2	1	1	0
2014-05-10_nykRM-at-wdcCT	wdcCT-32-peters	2	1	1	0
2014-05-10_nykRM-at-wdcCT	wdcCT-14-blake	2	0	2	0
2014-05-10_nykRM-at-wdcCT	wdcCT-17-miner	1	1	0	2
2014-05-10_nykRM-at-wdcCT	wdcCT-6-gordon	1	1	0	1
2014-05-10_nykRM-at-wdcCT	wdcCT-21-dulabon	1	1	0	0
2014-05-10_nykRM-at-wdcCT	wdcCT-31-cobb	1	1	0	0
2014-05-10_nykRM-at-wdcCT	wdcCT-12-bellinger	1	0	1	0
2014-05-10_nykRM-at-wdcCT	wdcCT-2-keegan	1	0	1	0
2014-05-10_nykRM-at-wdcCT	wdcCT-3-fickley	1	0	1	0
