point	Pulling.team	Period	Clock.before.point	Clock.after.point
1	Boston	1	10:00:00	9:42:00
2	Philadelphia	1	9:42:00	8:53:00
3	Boston	1	8:53:00	6:02:00
4	Boston	1	6:02:00	4:59:00
5	Boston	1	4:59:00	4:14:00
6	Boston	1	4:14:00	4:11:00
7	Philadelphia	1	4:11:00	3:37:00
8	Boston	1	3:37:00	2:57:00
9	Philadelphia	1	2:57:00	2:54:00
10	Boston	1	2:54:00	2:19:00
11	Philadelphia	1	2:19:00	NA
12	Philadelphia	1	NA	NA
13	Boston	1	NA	0:00:00
14	Philadelphia	2	10:00:00	9:26:00
15	Boston	2	9:26:00	8:26:00
16	Boston	2	8:26:00	7:52:00
17	Philadelphia	2	7:52:00	7:41:00
18	Boston	2	7:41:00	7:21:00
19	Philadelphia	2	7:21:00	6:27:00
20	Boston	2	6:27:00	4:42:00
21	Boston	2	4:42:00	4:06:00
22	Boston	2	4:06:00	3:09:00
23	Boston	2	3:09:00	2:41:00
24	Boston	2	2:41:00	0:13:00
25	Boston	2	0:13:00	0:00:00
26	Boston	3	10:00:00	9:28:00
27	Philadelphia	3	9:28:00	7:49:00
28	Philadelphia	3	7:49:00	7:24:00
29	Boston	3	7:24:00	6:38:00
30	Philadelphia	3	6:38:00	5:55:00
31	Boston	3	5:55:00	2:46:00
32	Philadelphia	3	2:46:00	1:44:00
33	Philadelphia	3	1:44:00	0:39:00
34	Boston	3	0:39:00	0:06:00
35	Philadelphia	3	0:06:00	0:00:00
36	Philadelphia	4	10:00:00	8:42:00
37	Boston	4	8:42:00	8:08:00
38	Philadelphia	4	8:08:00	6:37:00
39	Philadelphia	4	6:37:00	5:01:00
40	Boston	4	5:01:00	4:09:00
41	Philadelphia	4	4:09:00	3:38:00
42	Boston	4	3:38:00	1:56:00
43	Philadelphia	4	1:56:00	1:42:00
44	Boston	4	1:42:00	0:45:00
45	Philadelphia	4	0:45:00	0:05:00
46	Boston	4	0:05:00	0:00:00
